Date,City,State,Place,Corps,Class,Score,Year
05/10,Manchester,NH,1,Pine Tree Warriors,World Class,84.2,1964
05/16,Shawinigan,Quebec,1,Les Ambassadrices,World Class,75.3,1964
05/16,Baldwinville,NY,1,Emerald Statesmen,World Class,83.3,1964
05/17,Garfield,NJ,1,Saint Lucy Cadets,World Class,82.16,1964
05/10,Manchester,NH,2,Kittery Point Mariners,World Class,75.6,1964
05/16,Shawinigan,Quebec,2,Les Majorettes,World Class,72.5,1964
05/16,Baldwinville,NY,2,St. Joseph's of Batavia,World Class,80.8,1964
05/17,Garfield,NJ,2,Blessed Sacrament,World Class,82.13,1964
05/16,Baldwinville,NY,3,Junior Brigadiers,World Class,75.4,1964
05/17,Garfield,NJ,3,Garfield Cadets,World Class,78.1,1964
05/10,Manchester,NH,1,Boston Assumption Cadets,World Class,91.3,1964
05/16,Shawinigan,Quebec,1,Les Majorettes de Ste-Therese,World Class,67.2,1964
05/16,Baldwinville,NY,4,Purple Lancers,World Class,72.0,1964
05/17,Garfield,NJ,4,PAL Cadets,World Class,76.96,1964
05/10,Manchester,NH,2,Monarchs,World Class,90.8,1964
05/16,Shawinigan,Quebec,2,Majorettes Fleur de Lys,World Class,66.6,1964
05/17,Garfield,NJ,5,Dumont Police Cadets,World Class,69.1,1964
05/10,Manchester,NH,3,Annunciators,World Class,90.4,1964
05/17,Garfield,NJ,6,Little Falls Cadets,World Class,65.9,1964
05/10,Manchester,NH,4,Musketeers,World Class,89.5,1964
05/16,Shawinigan,Quebec,1,Dynamiques,World Class,78.4,1964
05/16,Shawinigan,Quebec,2,Les Cadets St. Paul,World Class,78.2,1964
05/10,Manchester,NH,1,Spartans,World Class,92.4,1964
05/16,Shawinigan,Quebec,3,Les Empereurs,World Class,75.2,1964
05/10,Manchester,NH,2,Golden Eagles,World Class,92.2,1964
05/16,Shawinigan,Quebec,4,Les Cavaliers de Drummond.,World Class,75.0,1964
05/10,Manchester,NH,3,Shoemakers,World Class,90.7,1964
05/16,Shawinigan,Quebec,5,Les Conquistadors,World Class,72.1,1964
05/10,Manchester,NH,4,Graniteers,World Class,87.9,1964
05/16,Shawinigan,Quebec,6,Les Dynamiques,World Class,70.6,1964
05/16,Shawinigan,Quebec,7,Les Ecuyers,World Class,69.2,1964
05/10,Manchester,NH,1,Bath Cadets,World Class,85.7,1964
05/16,Shawinigan,Quebec,8,Les Cavaliers,World Class,69.0,1964
05/10,Manchester,NH,1,Muchachos,World Class,85.7,1964
05/10,Manchester,NH,3,Dirigo Jets,World Class,75.0,1964
05/16,Shawinigan,Quebec,1,Les Commandos,World Class,64.5,1964
05/16,Shawinigan,Quebec,2,La Garde Imperiale,World Class,60.2,1964
05/10,Manchester,NH,1,Rangers,World Class,70.1,1964
05/16,Shawinigan,Quebec,3,Les Senateurs,World Class,57.3,1964
05/10,Manchester,NH,1,Cadets,World Class,70.1,1964
05/16,Shawinigan,Quebec,4,Les Cadets de la Montagne,World Class,33.7,1964
05/17,Malden,MA,1,Boston Crusaders,World Class,82.98,1964
05/19,Plymouth,MA,1,Reading Buccaneers,World Class,81.11,1964
05/23,Flushing Meadows,NY,1,Blessed Sacrament,World Class,79.42,1964
05/23,Flushing Meadows,NY,1,Blessed Sacrament,World Class,82.52,1964
05/17,Malden,MA,2,Defenders,World Class,73.3,1964
05/19,Plymouth,MA,2,Yankee Rebels,World Class,80.996,1964
05/23,Flushing Meadows,NY,2,Saint Lucy Cadets,World Class,78.53,1964
05/23,Flushing Meadows,NY,2,Saint Lucy Cadets,World Class,81.8,1964
05/17,Malden,MA,3,IC Queensmen,World Class,61.2,1964
05/19,Plymouth,MA,3,Archer Epler Musketeers,World Class,80.23,1964
05/23,Flushing Meadows,NY,3,Garfield Cadets,World Class,78.2,1964
05/23,Flushing Meadows,NY,3,Garfield Cadets,World Class,79.9,1964
05/17,Malden,MA,4,Gatesmen,World Class,60.0,1964
05/19,Plymouth,MA,4,Rockets,World Class,75.523,1964
05/23,Flushing Meadows,NY,4,Muchachos,World Class,73.9,1964
05/19,Plymouth,MA,5,Rochester Crusaders,World Class,74.75,1964
05/23,Flushing Meadows,NY,5,Defenders,World Class,72.0,1964
05/23,Flushing Meadows,NY,1,Hawthorne Caballeros,World Class,83.4,1964
05/23,Flushing Meadows,NY,6,Royal Lancers,World Class,70.57,1964
05/23,Flushing Meadows,NY,2,Sunrisers,World Class,79.65,1964
05/23,Flushing Meadows,NY,7,Selden Cadets,World Class,69.63,1964
05/23,Flushing Meadows,NY,3,Marksmen,World Class,77.37,1964
05/23,Flushing Meadows,NY,8,Bronx Kingsmen,World Class,67.62,1964
05/23,Flushing Meadows,NY,9,Loyalaires,World Class,67.27,1964
05/23,Flushing Meadows,NY,10,OLPH Ridgemen,World Class,65.0,1964
05/23,Flushing Meadows,NY,11,Lindenaires,World Class,55.3,1964
05/23,Flushing Meadows,NY,1,Hawthorne Caballeros,World Class,80.78,1964
05/23,Flushing Meadows,NY,2,Marksmen,World Class,75.87,1964
05/23,Flushing Meadows,NY,3,Sunrisers,World Class,75.68,1964
05/23,Flushing Meadows,NY,4,Reilly Raiders,World Class,74.15,1964
05/23,Flushing Meadows,NY,5,Ballantine Brewers,World Class,71.63,1964
05/23,Flushing Meadows,NY,6,Carver Gay Blades,World Class,65.48,1964
05/23,Aurora,IL,1,Cavaliers,World Class,73.78,1964
05/23,Somerville,MA,1,Boston Crusaders,World Class,74.15,1964
05/23,Poughkeepsie,NY,1,Blue Rock,World Class,72.15,1964
05/23,Quebec City,Quebec,1,Les Empereurs,World Class,78.7,1964
05/23,Aurora,IL,2,Royalaires,World Class,72.62,1964
05/23,Somerville,MA,2,Pittsfield Cavaliers,World Class,67.1,1964
05/23,Poughkeepsie,NY,2,Royaleers,World Class,68.85,1964
05/23,Quebec City,Quebec,2,Gladiateurs,World Class,74.1,1964
05/23,Aurora,IL,3,Spartans-IL,World Class,61.08,1964
05/23,Somerville,MA,3,Bridgeport PAL Cadets,World Class,66.33,1964
05/23,Poughkeepsie,NY,3,Little Falls Cadets,World Class,66.08,1964
05/23,Quebec City,Quebec,3,Conqueror,World Class,70.2,1964
05/23,Aurora,IL,4,Des Plaines Vanguard,World Class,59.72,1964
05/23,Somerville,MA,4,Saint Rocco's Cadets,World Class,62.7,1964
05/23,Poughkeepsie,NY,4,Pittsfield Imperials,World Class,65.95,1964
05/23,Quebec City,Quebec,4,Calgary Cavaliers,World Class,69.8,1964
05/23,Aurora,IL,5,Phantom Regiment,World Class,54.22,1964
05/23,Somerville,MA,5,Pittsfield Monarchs,World Class,58.41,1964
05/23,Quebec City,Quebec,5,Etobicoke Knights,World Class,67.0,1964
05/23,Somerville,MA,6,IC Queensmen,World Class,56.78,1964
05/23,Quebec City,Quebec,6,Aiglons,World Class,64.7,1964
