Date,City,State,Place,Corps,Class,Score,Year
06/19,Chambersburg,PA,1,Holy Name Cadets,World Class,74.6,2009
06/20,Annapolis,MD,1,Holy Name Cadets,World Class,75.3,2009
06/20,Stillwater,MN,1,Cavaliers,World Class,75.1,2009
06/20,Walnut,CA,1,Blue Devils,World Class,76.1,2009
06/19,Chambersburg,PA,2,Carolina Crown,World Class,73.1,2009
06/20,Annapolis,MD,2,Carolina Crown,World Class,74.5,2009
06/20,Stillwater,MN,2,Phantom Regiment,World Class,72.7,2009
06/20,Walnut,CA,2,Vanguard,World Class,74.2,2009
06/19,Chambersburg,PA,3,Boston Crusaders,World Class,68.9,2009
06/20,Annapolis,MD,3,Boston Crusaders,World Class,70.3,2009
06/20,Stillwater,MN,3,Blue Stars,World Class,66.2,2009
06/20,Walnut,CA,3,Academy,World Class,66.0,2009
06/19,Chambersburg,PA,4,Glassmen,World Class,66.7,2009
06/20,Annapolis,MD,4,Glassmen,World Class,67.1,2009
06/20,Stillwater,MN,4,Madison Scouts,World Class,63.7,2009
06/20,Walnut,CA,4,Mandarins,World Class,63.8,2009
06/19,Chambersburg,PA,5,Colts,World Class,63.0,2009
06/20,Annapolis,MD,5,Colts,World Class,63.7,2009
06/20,Stillwater,MN,4,Spirit,World Class,63.7,2009
06/20,Walnut,CA,5,Pacific Crest,World Class,63.2,2009
06/20,Stillwater,MN,1,Colt Cadets,Open Class,57.6,2009
06/20,Walnut,CA,1,Gold,Open Class,63.3,2009
06/20,Stillwater,MN,2,Racine Scouts,Open Class,49.1,2009
06/20,Walnut,CA,2,Mystikal,Open Class,61.9,2009
06/20,Walnut,CA,3,Velvet Knights,Open Class,58.6,2009
06/20,Stillwater,MN,1,Minnesota Brass,DCA Open Class,73.1,2009
06/20,Walnut,CA,4,Incognito,Open Class,55.0,2009
06/20,Walnut,CA,5,Impulse,Open Class,54.0,2009
06/20,Stillwater,MN,1,Govenaires,DCA A Class,63.8,2009
06/20,Walnut,CA,1,Dream,DCA A Class,58.25,2009
06/20,Wildwood,NJ,1,Buccaneers,DCA Open Class,76.438,2009
06/21,Riverside,CA,1,Blue Devils,World Class,77.2,2009
06/22,Pittsburgh,PA,1,Holy Name Cadets,World Class,76.1,2009
06/22,Mankato,MN,1,Cavaliers,World Class,77.0,2009
06/20,Wildwood,NJ,2,Hawthorne Caballeros,DCA Open Class,72.713,2009
06/21,Riverside,CA,2,Vanguard,World Class,74.3,2009
06/22,Pittsburgh,PA,2,Carolina Crown,World Class,75.4,2009
06/22,Mankato,MN,2,Blue Stars,World Class,69.6,2009
06/20,Wildwood,NJ,3,Bushwackers,DCA Open Class,65.375,2009
06/21,Riverside,CA,3,Academy,World Class,67.5,2009
06/22,Pittsburgh,PA,3,Boston Crusaders,World Class,68.8,2009
06/22,Mankato,MN,3,Madison Scouts,World Class,67.1,2009
06/21,Riverside,CA,4,Pacific Crest,World Class,64.8,2009
06/22,Pittsburgh,PA,4,Glassmen,World Class,66.1,2009
06/22,Mankato,MN,4,Pioneer,World Class,59.1,2009
06/20,Wildwood,NJ,4,Carolina Gold,DCA A Class,58.65,2009
06/21,Riverside,CA,5,Mandarins,World Class,64.2,2009
06/22,Pittsburgh,PA,5,Colts,World Class,63.5,2009
06/21,Riverside,CA,1,Gold,Open Class,63.9,2009
06/22,Pittsburgh,PA,1,Capital Regiment,Open Class,64.3,2009
06/22,Mankato,MN,2,Racine Scouts,Open Class,51.0,2009
06/21,Riverside,CA,2,Mystikal,Open Class,62.3,2009
06/21,Riverside,CA,3,Velvet Knights,Open Class,61.5,2009
06/22,Mankato,MN,1,Minnesota Brass,DCA Open Class,77.375,2009
06/21,Riverside,CA,4,Incognito,Open Class,56.0,2009
06/21,Riverside,CA,5,Impulse,Open Class,55.7,2009
06/22,Mankato,MN,1,Govenaires,DCA A Class,65.5,2009
06/21,Riverside,CA,1,Dream,DCA A Class,60.0,2009
06/21,Riverside,CA,1,Anaheim Kingsmen Alumni,DCA A Class,56.625,2009
06/23,Dublin,OH,1,Holy Name Cadets,World Class,77.5,2009
06/23,Rio Rancho,NM,1,Bluecoats,World Class,74.9,2009
06/23,Sioux Falls,SD,1,Phantom Regiment,World Class,76.9,2009
06/24,Glendale,AZ,1,Vanguard,World Class,76.3,2009
06/23,Dublin,OH,2,Carolina Crown,World Class,76.6,2009
06/23,Rio Rancho,NM,2,Vanguard,World Class,74.6,2009
06/23,Sioux Falls,SD,2,Blue Stars,World Class,72.6,2009
06/24,Glendale,AZ,2,Bluecoats,World Class,74.6,2009
06/23,Dublin,OH,3,Boston Crusaders,World Class,69.9,2009
06/23,Rio Rancho,NM,3,Blue Knights,World Class,70.6,2009
06/23,Sioux Falls,SD,3,Madison Scouts,World Class,67.4,2009
06/24,Glendale,AZ,3,Blue Knights,World Class,71.9,2009
06/23,Dublin,OH,4,Glassmen,World Class,68.3,2009
06/23,Rio Rancho,NM,4,Academy,World Class,66.7,2009
06/23,Sioux Falls,SD,4,Spirit,World Class,66.4,2009
06/24,Glendale,AZ,4,Academy,World Class,67.7,2009
06/23,Dublin,OH,5,Colts,World Class,64.2,2009
06/23,Rio Rancho,NM,5,Troopers,World Class,65.5,2009
06/23,Sioux Falls,SD,5,Pioneer,World Class,59.0,2009
06/24,Glendale,AZ,5,Troopers,World Class,66.9,2009
06/23,Dublin,OH,1,Capital Regiment,Open Class,62.7,2009
06/23,Rio Rancho,NM,1,Incognito,Open Class,53.4,2009
06/23,Sioux Falls,SD,1,Colt Cadets,Open Class,61.2,2009
06/24,Glendale,AZ,1,Incognito,Open Class,54.0,2009
