Date,City,State,Place,Corps,Class,Score,Year
06/16,Wildwood,NJ,1,Reading Buccaneers,DCA Open Class,77.7,2012
06/16,Akron,OH,1,Cadets,World Class,70.2,2012
06/17,Louisville,KY,1,Carolina Crown,World Class,71.3,2012
06/19,Albuquerque,NM,1,Phantom Regiment,World Class,70.3,2012
06/16,Wildwood,NJ,2,Hawthorne Caballeros,DCA Open Class,73.05,2012
06/16,Akron,OH,2,Phantom Regiment,World Class,69.3,2012
06/17,Louisville,KY,2,Cadets,World Class,70.3,2012
06/19,Albuquerque,NM,2,Vanguard,World Class,66.6,2012
06/16,Wildwood,NJ,3,Fusion Core,DCA Open Class,67.75,2012
06/16,Akron,OH,3,Carolina Crown,World Class,68.65,2012
06/17,Louisville,KY,3,Bluecoats,World Class,68.45,2012
06/19,Albuquerque,NM,3,Blue Knights,World Class,60.6,2012
06/16,Akron,OH,4,Bluecoats,World Class,67.8,2012
06/17,Louisville,KY,4,Cavaliers,World Class,66.7,2012
06/19,Albuquerque,NM,4,Academy,World Class,55.4,2012
06/16,Wildwood,NJ,1,Carolina Gold,DCA A Class,65.8,2012
06/16,Akron,OH,5,Cavaliers,World Class,67.55,2012
06/17,Louisville,KY,5,Blue Stars,World Class,63.45,2012
06/16,Wildwood,NJ,2,Windsor Regiment,DCA A Class,59.35,2012
06/16,Akron,OH,6,Blue Stars,World Class,62.7,2012
06/20,Battle Creek,MI,1,Bluecoats,World Class,70.2,2012
06/20,Martin,TN,1,Carolina Crown,World Class,75.1,2012
06/20,Mesa,AZ,1,Phantom Regiment,World Class,73.1,2012
06/21,Dothan,AL,1,Carolina Crown,World Class,74.9,2012
06/20,Battle Creek,MI,2,Blue Stars,World Class,66.6,2012
06/20,Martin,TN,2,Cadets,World Class,73.3,2012
06/20,Mesa,AZ,2,Vanguard,World Class,67.6,2012
06/21,Dothan,AL,2,Cadets,World Class,73.1,2012
06/20,Battle Creek,MI,3,Troopers,World Class,62.0,2012
06/20,Martin,TN,3,Cavaliers,World Class,69.5,2012
06/20,Mesa,AZ,3,Blue Knights,World Class,62.1,2012
06/21,Dothan,AL,3,Cavaliers,World Class,70.5,2012
06/20,Battle Creek,MI,4,Glassmen,World Class,60.7,2012
06/20,Martin,TN,4,Spirit of Atlanta,World Class,65.6,2012
06/20,Mesa,AZ,4,Academy,World Class,57.0,2012
06/21,Dothan,AL,4,Crossmen,World Class,62.1,2012
06/20,Martin,TN,5,Crossmen,World Class,62.3,2012
06/22,Madison,WI,1,Bluecoats,World Class,71.1,2012
06/22,Clovis,CA,1,Blue Devils,World Class,73.7,2012
06/23,Orlando,FL,1,Carolina Crown,World Class,75.0,2012
06/23,Woodbury,MN,1,Bluecoats,World Class,74.1,2012
06/22,Madison,WI,2,Madison Scouts,World Class,68.2,2012
06/22,Clovis,CA,2,Vanguard,World Class,70.65,2012
06/23,Orlando,FL,2,Cadets,World Class,74.7,2012
06/23,Woodbury,MN,2,Madison Scouts,World Class,71.8,2012
06/22,Madison,WI,3,Spirit of Atlanta,World Class,68.1,2012
06/22,Clovis,CA,3,Boston Crusaders,World Class,69.05,2012
06/23,Orlando,FL,3,Cavaliers,World Class,69.8,2012
06/23,Woodbury,MN,3,Spirit of Atlanta,World Class,70.4,2012
06/22,Madison,WI,4,Blue Stars,World Class,64.2,2012
06/22,Clovis,CA,4,Blue Knights,World Class,65.5,2012
06/23,Orlando,FL,4,Crossmen,World Class,62.4,2012
06/23,Woodbury,MN,4,Blue Stars,World Class,66.0,2012
06/22,Madison,WI,5,Glassmen,World Class,63.6,2012
06/22,Clovis,CA,5,Pacific Crest,World Class,57.55,2012
06/23,Woodbury,MN,4,Glassmen,World Class,66.0,2012
06/22,Madison,WI,6,Troopers,World Class,62.4,2012
06/22,Clovis,CA,6,Mandarins,World Class,55.2,2012
06/23,Woodbury,MN,6,Troopers,World Class,63.3,2012
06/22,Madison,WI,7,Pioneer,World Class,52.1,2012
06/22,Clovis,CA,1,Blue Devils B,Open Class,65.6,2012
06/22,Madison,WI,1,Colt Cadets,Open Class,54.7,2012
06/22,Clovis,CA,2,Vanguard Cadets,Open Class,64.45,2012
06/22,Clovis,CA,3,Blue Devils C,Open Class,49.1,2012
06/23,Stanford,CA,1,Blue Devils,World Class,74.75,2012
06/24,Sioux Falls,SD,1,Madison Scouts,World Class,71.8,2012
06/25,Fort Mill,SC,1,Carolina Crown,World Class,74.9,2012
06/26,Mankato,MN,1,Bluecoats,World Class,74.2,2012
06/23,Stanford,CA,2,Phantom Regiment,World Class,73.1,2012
06/24,Sioux Falls,SD,2,Spirit of Atlanta,World Class,71.1,2012
06/25,Fort Mill,SC,2,Cadets,World Class,74.6,2012
06/26,Mankato,MN,2,Madison Scouts,World Class,72.4,2012
06/23,Stanford,CA,3,Vanguard,World Class,71.4,2012
06/24,Sioux Falls,SD,3,Blue Stars,World Class,67.0,2012
06/25,Fort Mill,SC,3,Cavaliers,World Class,70.3,2012
06/26,Mankato,MN,3,Spirit of Atlanta,World Class,69.8,2012
06/23,Stanford,CA,4,Boston Crusaders,World Class,68.75,2012
06/24,Sioux Falls,SD,4,Glassmen,World Class,65.5,2012
06/25,Fort Mill,SC,4,Crossmen,World Class,62.6,2012
06/26,Mankato,MN,4,Blue Stars,World Class,68.7,2012
06/23,Stanford,CA,5,Blue Knights,World Class,65.6,2012
06/24,Sioux Falls,SD,5,Troopers,World Class,63.4,2012
06/25,Fort Mill,SC,5,Colts,World Class,59.7,2012
06/26,Mankato,MN,5,Troopers,World Class,64.6,2012
06/23,Stanford,CA,6,Pacific Crest,World Class,58.3,2012
06/26,Mankato,MN,6,Pioneer,World Class,53.3,2012
06/23,Stanford,CA,7,Mandarins,World Class,55.55,2012
06/24,Sioux Falls,SD,1,Racine Scouts,Open Class,37.5,2012
06/26,Mankato,MN,1,Minnesota Brass,DCA Open Class,76.6,2012
06/23,Stanford,CA,1,Blue Devils B,Open Class,66.55,2012
06/23,Stanford,CA,2,Vanguard Cadets,Open Class,64.95,2012
06/26,Mankato,MN,1,Govenaires,DCA A Class,65.9,2012
06/23,Stanford,CA,3,Blue Devils C,Open Class,48.55,2012
06/23,Stanford,CA,1,Renegades,DCA Open Class,63.15,2012
06/26,Sevierville,TN,1,Carolina Crown,World Class,76.6,2012
06/26,Santa Clara,CA,1,Phantom Regiment,World Class,74.7,2012
06/27,Fairfield,OH,1,Cadets,World Class,75.8,2012
06/29,Fort Edward,NY,1,Cadets,World Class,77.2,2012
06/26,Sevierville,TN,2,Cadets,World Class,76.3,2012
06/26,Santa Clara,CA,2,Vanguard,World Class,73.0,2012
06/27,Fairfield,OH,2,Cavaliers,World Class,71.5,2012
06/29,Fort Edward,NY,2,Crossmen,World Class,66.8,2012
06/26,Sevierville,TN,3,Cavaliers,World Class,72.3,2012
06/26,Santa Clara,CA,3,Boston Crusaders,World Class,70.7,2012
06/27,Fairfield,OH,3,Crossmen,World Class,65.3,2012
06/29,Fort Edward,NY,3,Colts,World Class,65.1,2012
06/26,Sevierville,TN,4,Crossmen,World Class,63.7,2012
06/26,Santa Clara,CA,4,Pacific Crest,World Class,60.2,2012
06/27,Fairfield,OH,4,Colts,World Class,64.6,2012
06/29,Fort Edward,NY,4,Jersey Surf,World Class,62.7,2012
06/26,Sevierville,TN,5,Colts,World Class,63.6,2012
06/29,Fort Edward,NY,5,Teal Sound,World Class,59.2,2012
06/26,Santa Clara,CA,1,Blue Devils B,Open Class,68.8,2012
06/27,Fairfield,OH,1,Legends,Open Class,57.1,2012
06/26,Sevierville,TN,1,Legends,Open Class,50.7,2012
06/26,Santa Clara,CA,2,Vanguard Cadets,Open Class,68.6,2012
06/29,Fort Edward,NY,1,7th Regiment,Open Class,59.4,2012
06/27,Fairfield,OH,1,Cincinnati Tradition,DCA A Class,66.2,2012
06/29,Muncie,IN,1,Carolina Crown,World Class,76.9,2012
06/29,Oceanside,CA,1,Phantom Regiment,World Class,75.8,2012
06/29,Hillsboro,OR,1,Boston Crusaders,World Class,72.1,2012
06/30,Lynn,MA,1,Cadets,World Class,77.7,2012
06/29,Muncie,IN,2,Madison Scouts,World Class,72.8,2012
06/29,Oceanside,CA,2,Vanguard,World Class,74.45,2012
06/29,Hillsboro,OR,2,Blue Knights,World Class,67.3,2012
06/30,Lynn,MA,2,Crossmen,World Class,69.2,2012
06/29,Muncie,IN,3,Cavaliers,World Class,71.7,2012
06/29,Oceanside,CA,3,Academy,World Class,64.4,2012
06/29,Hillsboro,OR,3,Cascades,World Class,52.5,2012
06/30,Lynn,MA,3,Colts,World Class,66.3,2012
06/29,Muncie,IN,4,Spirit of Atlanta,World Class,69.8,2012
06/29,Oceanside,CA,4,Pacific Crest,World Class,63.25,2012
06/30,Lynn,MA,4,Jersey Surf,World Class,63.9,2012
06/29,Muncie,IN,5,Blue Stars,World Class,67.5,2012
06/29,Oceanside,CA,5,Mandarins,World Class,61.05,2012
06/29,Hillsboro,OR,1,Oregon Crusaders,Open Class,72.1,2012
06/29,Muncie,IN,6,Glassmen,World Class,65.9,2012
06/29,Hillsboro,OR,2,Thunder,Open Class,62.0,2012
06/30,Lynn,MA,1,7th Regiment,Open Class,64.2,2012
06/29,Muncie,IN,7,Troopers,World Class,64.8,2012
06/29,Oceanside,CA,1,Gold,Open Class,64.75,2012
06/30,Lynn,MA,2,Spartans,Open Class,64.0,2012
06/29,Oceanside,CA,2,Impulse,Open Class,60.1,2012
06/29,Oceanside,CA,3,Velvet Knights,Open Class,54.65,2012
06/29,Oceanside,CA,4,City Sound,Open Class,49.2,2012
06/30,Michigan City,IN,1,Carolina Crown,World Class,76.5,2012
06/30,Renton,WA,1,Boston Crusaders,World Class,72.5,2012
06/30,Walnut,CA,1,Blue Devils,World Class,77.65,2012
06/30,Michigan City,IN,2,Bluecoats,World Class,72.7,2012
06/30,Renton,WA,2,Blue Knights,World Class,68.5,2012
06/30,Walnut,CA,2,Phantom Regiment,World Class,75.8,2012
06/30,Michigan City,IN,3,Cavaliers,World Class,70.2,2012
06/30,Renton,WA,3,Cascades,World Class,51.8,2012
06/30,Walnut,CA,3,Vanguard,World Class,74.25,2012
06/30,Michigan City,IN,4,Spirit of Atlanta,World Class,69.3,2012
06/30,Walnut,CA,4,Academy,World Class,64.2,2012
06/30,Michigan City,IN,5,Blue Stars,World Class,64.9,2012
06/30,Renton,WA,1,Oregon Crusaders,Open Class,73.5,2012
06/30,Walnut,CA,5,Pacific Crest,World Class,63.55,2012
06/30,Michigan City,IN,6,Glassmen,World Class,64.8,2012
06/30,Renton,WA,2,Thunder,Open Class,63.2,2012
06/30,Walnut,CA,6,Mandarins,World Class,61.3,2012
06/30,Michigan City,IN,7,Troopers,World Class,63.7,2012
06/30,Michigan City,IN,8,Pioneer,World Class,55.9,2012
06/30,Walnut,CA,1,Gold,Open Class,67.4,2012
06/30,Walnut,CA,2,Impulse,Open Class,59.4,2012
06/30,Michigan City,IN,1,Colt Cadets,Open Class,55.0,2012
06/30,Walnut,CA,3,Velvet Knights,Open Class,54.7,2012
06/30,Walnut,CA,4,City Sound,Open Class,50.6,2012
06/30,Walnut,CA,1,SoCal Dream,DCA A Class,56.05,2012
07/01,New Haven,CT,1,Cadets,World Class,78.6,2012
07/01,Muscatine,IA,1,Bluecoats,World Class,75.1,2012
07/01,Riverside,CA,1,Blue Devils,World Class,80.25,2012
07/01,Pasco,WA,1,Blue Knights,World Class,69.5,2012
07/01,New Haven,CT,2,Crossmen,World Class,71.1,2012
07/01,Muscatine,IA,2,Madison Scouts,World Class,73.2,2012
07/01,Riverside,CA,2,Phantom Regiment,World Class,77.4,2012
07/01,Pasco,WA,2,Cascades,World Class,52.7,2012
07/01,New Haven,CT,3,Colts,World Class,68.5,2012
07/01,Muscatine,IA,3,Blue Stars,World Class,69.0,2012
07/01,Riverside,CA,3,Vanguard,World Class,75.3,2012
07/01,New Haven,CT,4,Jersey Surf,World Class,65.9,2012
07/01,Muscatine,IA,4,Glassmen,World Class,68.9,2012
07/01,Riverside,CA,4,Academy,World Class,66.2,2012
07/01,Pasco,WA,1,Oregon Crusaders,Open Class,75.2,2012
07/01,New Haven,CT,5,Teal Sound,World Class,63.9,2012
07/01,Muscatine,IA,5,Troopers,World Class,66.5,2012
07/01,Riverside,CA,5,Pacific Crest,World Class,65.1,2012
07/01,Pasco,WA,2,Thunder,Open Class,66.7,2012
07/01,New Haven,CT,1,7th Regiment,Open Class,64.7,2012
07/01,Muscatine,IA,1,Legends,Open Class,63.9,2012
07/01,New Haven,CT,1,Spartans,Open Class,64.7,2012
07/01,Muscatine,IA,2,Colt Cadets,Open Class,57.6,2012
07/01,Riverside,CA,1,Gold,Open Class,67.75,2012
07/01,Muscatine,IA,3,Racine Scouts,Open Class,39.5,2012
07/01,Riverside,CA,2,Impulse,Open Class,60.45,2012
07/01,Riverside,CA,3,Velvet Knights,Open Class,55.05,2012
07/01,Riverside,CA,4,City Sound,Open Class,51.05,2012
07/01,Riverside,CA,1,SoCal Dream,DCA A Class,55.25,2012
07/02,Eagle,ID,1,Boston Crusaders,World Class,73.5,2012
07/03,Bristol,RI,1,Carolina Crown,World Class,81.8,2012
07/03,Cedarburg,WI,1,Bluecoats,World Class,76.3,2012
07/03,Ogden,UT,1,Blue Devils,World Class,81.3,2012
07/02,Eagle,ID,2,Blue Knights,World Class,69.7,2012
07/03,Bristol,RI,2,Cadets,World Class,80.6,2012
07/03,Cedarburg,WI,2,Madison Scouts,World Class,74.5,2012
07/03,Ogden,UT,2,Phantom Regiment,World Class,78.1,2012
07/02,Eagle,ID,3,Cascades,World Class,51.1,2012
07/03,Bristol,RI,3,Crossmen,World Class,73.2,2012
07/03,Cedarburg,WI,3,Cavaliers,World Class,72.4,2012
07/03,Ogden,UT,3,Vanguard,World Class,76.2,2012
07/03,Bristol,RI,4,Colts,World Class,70.6,2012
07/03,Cedarburg,WI,4,Spirit of Atlanta,World Class,71.9,2012
07/03,Ogden,UT,4,Boston Crusaders,World Class,73.4,2012
07/02,Eagle,ID,1,Oregon Crusaders,Open Class,73.9,2012
07/03,Bristol,RI,5,Jersey Surf,World Class,66.1,2012
07/03,Cedarburg,WI,5,Blue Stars,World Class,70.0,2012
07/03,Ogden,UT,5,Blue Knights,World Class,69.9,2012
07/02,Eagle,ID,2,Thunder,Open Class,67.2,2012
07/03,Bristol,RI,6,Teal Sound,World Class,66.0,2012
07/03,Cedarburg,WI,6,Troopers,World Class,67.3,2012
07/03,Ogden,UT,6,Cascades,World Class,51.8,2012
07/03,Bristol,RI,1,Spartans,Open Class,64.4,2012
07/03,Ogden,UT,1,Thunder,Open Class,68.3,2012
07/03,Bristol,RI,2,Raiders,Open Class,58.4,2012
07/03,Cedarburg,WI,1,Legends,Open Class,63.7,2012
07/06,Quincy,MA,1,Carolina Crown,World Class,82.85,2012
07/06,Whitewater,WI,1,Bluecoats,World Class,77.65,2012
07/06,Casper,WY,1,Phantom Regiment,World Class,78.4,2012
07/07,Jackson,NJ,1,Carolina Crown,World Class,83.25,2012
07/06,Quincy,MA,2,Cadets,World Class,81.2,2012
07/06,Whitewater,WI,2,Madison Scouts,World Class,74.3,2012
07/06,Casper,WY,2,Vanguard,World Class,76.95,2012
07/07,Jackson,NJ,2,Cadets,World Class,82.15,2012
07/06,Quincy,MA,3,Crossmen,World Class,73.8,2012
07/06,Whitewater,WI,3,Cavaliers,World Class,73.2,2012
07/06,Casper,WY,3,Boston Crusaders,World Class,72.75,2012
07/07,Jackson,NJ,3,Crossmen,World Class,74.45,2012
07/06,Quincy,MA,4,Colts,World Class,70.75,2012
07/06,Whitewater,WI,4,Spirit of Atlanta,World Class,72.5,2012
07/06,Casper,WY,4,Troopers,World Class,66.85,2012
07/07,Jackson,NJ,4,Colts,World Class,71.1,2012
07/06,Quincy,MA,5,Jersey Surf,World Class,66.9,2012
07/06,Whitewater,WI,5,Blue Stars,World Class,70.25,2012
07/06,Casper,WY,5,Cascades,World Class,54.9,2012
07/07,Jackson,NJ,5,Jersey Surf,World Class,67.8,2012
07/06,Whitewater,WI,6,Glassmen,World Class,68.7,2012
07/07,Jackson,NJ,6,Teal Sound,World Class,66.4,2012
07/06,Quincy,MA,1,Spartans,Open Class,67.6,2012
07/06,Whitewater,WI,7,Pioneer,World Class,55.75,2012
07/06,Quincy,MA,2,7th Regiment,Open Class,66.95,2012
07/07,Jackson,NJ,1,Raiders,Open Class,61.7,2012
07/06,Whitewater,WI,1,Colt Cadets,Open Class,58.25,2012
07/07,Kalamazoo,MI,1,Bluecoats,World Class,78.65,2012
07/07,Sacramento,CA,1,Mandarins,World Class,65.25,2012
07/07,Nokesville,VA,1,Corpsvets,DCA Open Class,71.0,2012
07/08,Chambersburg,PA,1,Carolina Crown,World Class,82.05,2012
07/07,Kalamazoo,MI,2,Madison Scouts,World Class,75.15,2012
07/07,Nokesville,VA,2,Fusion Core,DCA Open Class,69.4,2012
07/08,Chambersburg,PA,2,Cadets,World Class,81.1,2012
07/07,Kalamazoo,MI,3,Spirit of Atlanta,World Class,74.15,2012
07/07,Sacramento,CA,1,Blue Devils B,Open Class,74.65,2012
07/08,Chambersburg,PA,3,Crossmen,World Class,72.55,2012
07/07,Kalamazoo,MI,4,Cavaliers,World Class,73.55,2012
07/07,Sacramento,CA,2,Vanguard Cadets,Open Class,73.8,2012
07/07,Nokesville,VA,1,Carolina Gold,DCA A Class,67.4,2012
07/08,Chambersburg,PA,4,Colts,World Class,68.55,2012
07/07,Kalamazoo,MI,5,Blue Stars,World Class,71.4,2012
07/07,Sacramento,CA,3,Impulse,Open Class,65.3,2012
07/07,Nokesville,VA,2,Shenandoah Sound,DCA A Class,56.15,2012
07/08,Chambersburg,PA,5,Teal Sound,World Class,63.55,2012
07/07,Kalamazoo,MI,6,Glassmen,World Class,69.5,2012
07/07,Sacramento,CA,4,City Sound,Open Class,54.75,2012
07/07,Kalamazoo,MI,7,Pioneer,World Class,56.8,2012
07/07,Sacramento,CA,5,Blue Devils C,Open Class,50.65,2012
07/08,Chambersburg,PA,1,Raiders,Open Class,60.15,2012
07/07,Kalamazoo,MI,1,Legends,Open Class,64.55,2012
07/07,Sacramento,CA,1,Renegades,DCA Open Class,67.6,2012
07/07,Sacramento,CA,1,SoCal Dream,DCA A Class,59.8,2012
07/08,Pleasant Hill,CA,1,Mandarins,World Class,65.25,2012
07/09,Centerville,OH,1,Carolina Crown,World Class,82.85,2012
07/09,Omaha,NE,1,Blue Devils,World Class,82.9,2012
