Date,City,State,Place,Corps,Class,Score,Year
06/02,Fairlawn,NJ,1,Hawthorne Caballeros,Open Class,71.3,1990
06/09,Colonie,NY,1,Empire Statesmen,Open Class,69.9,1990
06/09,Appleton,WI,1,Madison Scouts,Open Class,63.4,1990
06/10,West Bend,WI,1,Cavaliers,Open Class,68.6,1990
06/02,Fairlawn,NJ,2,New York Skyliners,Open Class,69.4,1990
06/09,Colonie,NY,2,New York Skyliners,Open Class,65.5,1990
06/09,Appleton,WI,2,Pioneer,Open Class,45.1,1990
06/10,West Bend,WI,2,Madison Scouts,Open Class,65.6,1990
06/02,Fairlawn,NJ,3,Reading Buccaneers,Open Class,66.9,1990
06/09,Colonie,NY,3,Steel City Ambassadors,Open Class,63.8,1990
06/09,Appleton,WI,3,Joliet Kingsmen,Open Class,29.6,1990
06/10,West Bend,WI,3,CapitolAires,Open Class,24.1,1990
06/02,Fairlawn,NJ,4,Sound of Long Island,Open Class,55.3,1990
06/09,Colonie,NY,4,Connecticut Hurricanes,Open Class,60.1,1990
06/09,Appleton,WI,4,CapitolAires,Open Class,23.1,1990
06/10,West Bend,WI,4,Madison Junior Scouts,Open Class,23.4,1990
06/09,Colonie,NY,5,Sunrisers,Open Class,59.7,1990
06/09,Appleton,WI,5,Madison Junior Scouts,Open Class,22.2,1990
06/09,Colonie,NY,6,Reading Buccaneers,Open Class,59.0,1990
06/15,Indianapolis,IN,1,Phantom Regiment,Open Class,73.4,1990
06/16,Reading,PA,1,Westshoremen,Open Class,70.3,1990
06/16,Platteville,WI,1,Cavaliers,Open Class,71.5,1990
06/16,Canton,OH,1,Phantom Regiment,Open Class,72.7,1990
06/15,Indianapolis,IN,2,Star of Indiana,Open Class,68.3,1990
06/16,Reading,PA,2,Hawthorne Caballeros,Open Class,69.3,1990
06/16,Platteville,WI,2,Madison Scouts,Open Class,67.7,1990
06/16,Canton,OH,2,Star of Indiana,Open Class,66.9,1990
06/15,Indianapolis,IN,3,Bluecoats,Open Class,67.8,1990
06/16,Reading,PA,3,New York Skyliners,Open Class,68.1,1990
06/16,Platteville,WI,3,Colts,Open Class,47.1,1990
06/16,Canton,OH,3,Bluecoats,Open Class,64.3,1990
06/15,Indianapolis,IN,4,Glassmen,Open Class,58.7,1990
06/16,Reading,PA,4,Reading Buccaneers,Open Class,66.1,1990
06/16,Platteville,WI,4,Knight Command,Open Class,33.5,1990
06/16,Canton,OH,4,Northern Aurora,Open Class,40.0,1990
06/15,Indianapolis,IN,5,Pioneer,Open Class,41.4,1990
06/16,Reading,PA,5,Steel City Ambassadors,Open Class,64.8,1990
06/16,Platteville,WI,5,Phantom Regiment Cadets,Open Class,32.8,1990
06/16,Canton,OH,5,Limited Edition,Open Class,36.1,1990
06/15,Indianapolis,IN,6,Limited Edition,Open Class,37.7,1990
06/16,Reading,PA,6,Sunrisers,Open Class,61.1,1990
06/16,Platteville,WI,6,Blue Stars,Open Class,32.0,1990
06/16,Canton,OH,6,Northmen,Open Class,17.1,1990
06/15,Indianapolis,IN,7,Northmen,Open Class,16.3,1990
06/16,Platteville,WI,7,Emerald Knights-IA,Open Class,29.2,1990
06/16,Concord,CA,1,Blue Devils,Open Class,72.4,1990
06/17,Oswego,IL,1,Cavaliers,Open Class,72.9,1990
06/17,Rock Island,IL,1,Madison Scouts,Open Class,66.8,1990
06/17,Wadsworth,OH,1,Phantom Regiment,Open Class,72.7,1990
06/16,Concord,CA,2,Vanguard,Open Class,69.7,1990
06/17,Oswego,IL,2,Americanos,Open Class,49.7,1990
06/17,Rock Island,IL,2,Colts,Open Class,47.8,1990
06/17,Wadsworth,OH,2,Bluecoats,Open Class,65.9,1990
06/17,Oswego,IL,3,Phantom Regiment Cadets,Open Class,46.0,1990
06/17,Rock Island,IL,3,Emerald Knights-IA,Open Class,35.9,1990
06/17,Wadsworth,OH,3,Glassmen,Open Class,54.8,1990
06/16,Concord,CA,1,Blue Devils B,Open Class,52.2,1990
06/17,Oswego,IL,4,CapitolAires,Open Class,33.1,1990
06/17,Rock Island,IL,4,Knight Command,Open Class,34.3,1990
06/17,Wadsworth,OH,4,Northern Aurora,Open Class,39.0,1990
06/16,Concord,CA,2,Vanguard Cadets,Open Class,51.8,1990
06/17,Oswego,IL,5,Madison Junior Scouts,Open Class,30.6,1990
06/17,Rock Island,IL,5,Blue Stars,Open Class,33.9,1990
06/17,Wadsworth,OH,5,Limited Edition,Open Class,34.9,1990
06/16,Concord,CA,3,Mandarins,Open Class,51.3,1990
06/17,Oswego,IL,6,Guardsmen,Open Class,21.4,1990
06/17,Rock Island,IL,6,Joliet Kingsmen,Open Class,29.6,1990
06/17,Wadsworth,OH,6,Northmen,Open Class,18.6,1990
06/18,Springfield,MO,1,Madison Scouts,Open Class,67.3,1990
06/18,Columbus,OH,1,Phantom Regiment,Open Class,73.0,1990
06/19,Oklahoma City,OK,1,Madison Scouts,Open Class,69.3,1990
06/19,Port Clinton,OH,1,Phantom Regiment,Open Class,77.0,1990
06/18,Springfield,MO,2,Sky Ryders,Open Class,54.8,1990
06/18,Columbus,OH,2,Star of Indiana,Open Class,68.9,1990
06/19,Oklahoma City,OK,2,Sky Ryders,Open Class,55.4,1990
06/19,Port Clinton,OH,2,Bluecoats,Open Class,67.6,1990
06/18,Springfield,MO,3,Colts,Open Class,51.0,1990
06/18,Columbus,OH,3,Bluecoats,Open Class,65.2,1990
06/19,Oklahoma City,OK,3,Black Gold,Open Class,48.3,1990
06/19,Port Clinton,OH,3,Glassmen,Open Class,55.7,1990
06/18,Springfield,MO,4,Black Gold,Open Class,46.7,1990
06/18,Columbus,OH,4,Glassmen,Open Class,53.9,1990
06/19,Oklahoma City,OK,4,Railmen,Open Class,43.0,1990
06/19,Port Clinton,OH,4,Pioneer,Open Class,45.8,1990
06/18,Springfield,MO,5,Americanos,Open Class,34.0,1990
06/18,Columbus,OH,5,Pioneer,Open Class,38.3,1990
06/19,Oklahoma City,OK,5,Americanos,Open Class,37.1,1990
06/19,Port Clinton,OH,5,Northern Aurora,Open Class,43.6,1990
06/18,Springfield,MO,6,Blue Stars,Open Class,32.1,1990
06/18,Columbus,OH,6,Northern Aurora,Open Class,35.7,1990
06/19,Oklahoma City,OK,6,Emerald Knights-IA,Open Class,32.7,1990
06/19,Port Clinton,OH,6,Limited Edition,Open Class,41.3,1990
06/18,Springfield,MO,7,Knight Command,Open Class,27.1,1990
06/18,Columbus,OH,7,Limited Edition,Open Class,34.7,1990
06/19,Oklahoma City,OK,7,Knight Command,Open Class,30.0,1990
06/19,Port Clinton,OH,7,Northmen,Open Class,29.4,1990
06/18,Columbus,OH,8,Northmen,Open Class,20.1,1990
06/19,Oklahoma City,OK,8,Blue Stars,Open Class,24.3,1990
06/20,Wyandotte,MI,1,Star of Indiana,Open Class,73.4,1990
06/21,Lincoln,NE,1,Sky Ryders,Open Class,56.3,1990
06/21,Muncie,IN,1,Cavaliers,Open Class,73.2,1990
06/22,Milwaukee,WI,1,Phantom Regiment,Open Class,74.0,1990
06/20,Wyandotte,MI,1,Cavaliers,Open Class,73.4,1990
06/21,Lincoln,NE,2,Colts,Open Class,55.3,1990
06/21,Muncie,IN,2,Star of Indiana,Open Class,71.7,1990
06/22,Milwaukee,WI,2,Cavaliers,Open Class,72.1,1990
06/20,Wyandotte,MI,3,Bluecoats,Open Class,67.3,1990
06/21,Lincoln,NE,3,Railmen,Open Class,44.2,1990
