Date,City,State,Place,Corps,Class,Score,Year
06/08,Albany,NY,1,Empire Statesmen,World Class,66.79,1991
06/09,West Bend,WI,1,Cavaliers,World Class,68.1,1991
06/14,Indianapolis,IN,1,Star of Indiana,World Class,72.3,1991
06/15,Menasha,WI,1,Cavaliers,World Class,68.9,1991
06/08,Albany,NY,2,Hawthorne Caballeros,World Class,64.61,1991
06/09,West Bend,WI,2,Madison Scouts,World Class,66.2,1991
06/14,Indianapolis,IN,2,Phantom Regiment,World Class,71.0,1991
06/15,Menasha,WI,2,Madison Scouts,World Class,67.4,1991
06/08,Albany,NY,3,Rochester Crusaders,World Class,60.98,1991
06/09,West Bend,WI,3,Phantom Regiment Cadets,World Class,38.8,1991
06/14,Indianapolis,IN,3,Glassmen,World Class,56.4,1991
06/15,Menasha,WI,3,Blue Stars,World Class,42.6,1991
06/08,Albany,NY,4,Connecticut Hurricanes,World Class,56.36,1991
06/09,West Bend,WI,4,CapitolAires,World Class,36.1,1991
06/14,Indianapolis,IN,4,Colts,World Class,48.8,1991
06/15,Menasha,WI,4,Phantom Regiment Cadets,World Class,38.8,1991
06/08,Albany,NY,5,Capital Brass Ensemble,World Class,42.49,1991
06/09,West Bend,WI,5,Bandettes,World Class,35.7,1991
06/14,Indianapolis,IN,5,Limited Edition,World Class,42.5,1991
06/15,Menasha,WI,5,CapitolAires,World Class,37.2,1991
06/09,West Bend,WI,6,Chicago Vanguard,World Class,30.8,1991
06/14,Indianapolis,IN,6,Pioneer,World Class,38.6,1991
06/15,Canton,OH,1,Star of Indiana,World Class,72.1,1991
06/15,Hasbrouck Heights,NJ,1,Hawthorne Caballeros,World Class,74.2,1991
06/15,Concord,CA,1,Blue Devils,World Class,67.5,1991
06/16,Oswego,IL,1,Cavaliers,World Class,68.9,1991
06/15,Canton,OH,2,Phantom Regiment,World Class,67.3,1991
06/15,Hasbrouck Heights,NJ,2,Connecticut Hurricanes,World Class,66.9,1991
06/15,Concord,CA,2,Vanguard,World Class,63.4,1991
06/16,Oswego,IL,2,Madison Scouts,World Class,67.4,1991
06/15,Canton,OH,3,Bluecoats,World Class,64.9,1991
06/15,Hasbrouck Heights,NJ,3,New York Skyliners,World Class,63.3,1991
06/16,Oswego,IL,3,Blue Stars,World Class,43.0,1991
06/15,Canton,OH,4,Glassmen,World Class,54.5,1991
06/15,Hasbrouck Heights,NJ,4,Chieftains,World Class,49.0,1991
06/15,Concord,CA,1,Mandarins,World Class,57.9,1991
06/16,Oswego,IL,4,Phantom Regiment Cadets,World Class,38.8,1991
06/15,Canton,OH,5,Colts,World Class,45.0,1991
06/15,Concord,CA,2,Vanguard Cadets,World Class,56.6,1991
06/16,Oswego,IL,5,CapitolAires,World Class,37.2,1991
06/15,Canton,OH,6,Limited Edition,World Class,38.4,1991
06/15,Concord,CA,3,Blue Devils B,World Class,42.8,1991
06/17,Columbus,OH,1,Phantom Regiment,World Class,69.3,1991
06/18,Omaha,NE,1,Cavaliers,World Class,70.9,1991
06/18,Port Clinton,OH,1,Star of Indiana,World Class,70.7,1991
06/20,Monmouth,IL,1,Cavaliers,World Class,78.9,1991
06/17,Columbus,OH,2,Madison Scouts,World Class,68.7,1991
06/18,Omaha,NE,2,Blue Knights,World Class,61.4,1991
06/18,Port Clinton,OH,2,Phantom Regiment,World Class,69.8,1991
06/20,Monmouth,IL,2,Blue Knights,World Class,70.7,1991
06/17,Columbus,OH,3,Bluecoats,World Class,63.7,1991
06/18,Omaha,NE,3,Railmen,World Class,47.6,1991
06/18,Port Clinton,OH,3,Madison Scouts,World Class,68.0,1991
06/20,Monmouth,IL,3,Railmen,World Class,62.4,1991
06/17,Columbus,OH,4,Glassmen,World Class,57.0,1991
06/18,Omaha,NE,4,Knights,World Class,42.6,1991
06/18,Port Clinton,OH,4,Glassmen,World Class,57.9,1991
06/20,Monmouth,IL,4,Pioneer,World Class,59.3,1991
06/18,Port Clinton,OH,5,Colts,World Class,51.6,1991
06/20,Monmouth,IL,5,Royalaires,World Class,41.7,1991
06/17,Columbus,OH,5,Limited Edition,World Class,45.3,1991
06/17,Columbus,OH,6,Northern Aurora,World Class,39.1,1991
06/18,Port Clinton,OH,1,Limited Edition,World Class,40.9,1991
06/17,Columbus,OH,7,Pioneer,World Class,37.6,1991
06/18,Port Clinton,OH,2,Pioneer,World Class,40.3,1991
06/17,Columbus,OH,8,Northmen-WI,World Class,24.7,1991
06/18,Port Clinton,OH,3,Northern Aurora,World Class,34.9,1991
06/18,Port Clinton,OH,4,Northmen-WI,World Class,30.4,1991
06/20,Wyandotte,MI,1,Star of Indiana,World Class,72.4,1991
06/21,Clovis,CA,1,Blue Devils,World Class,75.3,1991
06/21,Comstock Park,MI,1,Star of Indiana,World Class,71.5,1991
06/21,Whitewater,WI,1,Madison Scouts,World Class,70.5,1991
06/20,Wyandotte,MI,2,Madison Scouts,World Class,71.0,1991
06/21,Clovis,CA,2,Vanguard,World Class,68.9,1991
06/21,Whitewater,WI,2,Cavaliers,World Class,70.4,1991
06/20,Wyandotte,MI,3,Bluecoats,World Class,67.3,1991
06/21,Clovis,CA,3,Freelancers,World Class,59.9,1991
06/21,Comstock Park,MI,1,Limited Edition,World Class,46.6,1991
06/21,Whitewater,WI,3,Bluecoats,World Class,66.5,1991
06/20,Wyandotte,MI,4,Glassmen,World Class,57.5,1991
06/21,Comstock Park,MI,2,Northern Aurora,World Class,38.3,1991
06/21,Whitewater,WI,4,Glassmen,World Class,55.6,1991
06/20,Wyandotte,MI,5,Limited Edition,World Class,44.3,1991
06/21,Clovis,CA,1,Vanguard Cadets,World Class,59.9,1991
06/21,Comstock Park,MI,3,Rapid City Express,World Class,32.5,1991
06/21,Whitewater,WI,5,Colts,World Class,49.8,1991
06/20,Wyandotte,MI,6,Northern Aurora,World Class,40.5,1991
06/21,Clovis,CA,2,Mandarins,World Class,56.1,1991
06/21,Comstock Park,MI,4,Northmen-WI,World Class,31.3,1991
06/21,Whitewater,WI,6,Minnesota Brass,World Class,49.2,1991
06/20,Wyandotte,MI,7,Northmen-WI,World Class,32.0,1991
06/21,Clovis,CA,3,Blue Devils B,World Class,44.6,1991
06/21,Comstock Park,MI,5,Racine Scouts,World Class,17.4,1991
06/21,Whitewater,WI,6,Railmen,World Class,49.2,1991
06/21,Whitewater,WI,7,Blue Stars,World Class,40.0,1991
06/21,Whitewater,WI,8,CapitolAires,World Class,34.8,1991
06/22,Bayonne,NJ,1,Phantom Regiment,World Class,69.3,1991
06/22,West Allis,WI,1,Cavaliers,Open Class,72.7,1991
06/22,Waterbury,CT,1,Hawthorne Caballeros,Open Class,75.8,1991
06/22,Burlington,Ontario,1,Empire Statesmen,Open Class,77.1,1991
06/22,Bayonne,NJ,2,Crossmen,World Class,63.9,1991
06/22,West Allis,WI,2,Madison Scouts,Open Class,71.7,1991
06/22,Waterbury,CT,2,Rochester Crusaders,Open Class,72.6,1991
06/22,Burlington,Ontario,2,Royal Lancers,Open Class,52.5,1991
06/22,Bayonne,NJ,3,Boston Crusaders,World Class,53.9,1991
06/22,West Allis,WI,3,Bluecoats,Open Class,66.9,1991
06/22,Waterbury,CT,3,Bushwackers,Open Class,69.9,1991
06/22,Burlington,Ontario,3,Grey Knights,Open Class,48.1,1991
06/22,West Allis,WI,4,Blue Knights,Open Class,62.6,1991
06/22,Waterbury,CT,4,Connecticut Hurricanes,Open Class,68.1,1991
06/22,Bayonne,NJ,1,Spartans-NH,World Class,58.0,1991
06/22,West Allis,WI,5,Minnesota Brass,Open Class,52.4,1991
06/22,Waterbury,CT,5,Chieftains,Open Class,44.3,1991
06/22,Bayonne,NJ,2,Raiders,World Class,40.7,1991
06/22,West Allis,WI,6,Colts,Open Class,48.8,1991
06/22,Waterbury,CT,6,"Free Sound of Long
  Island",Open Class,40.7,1991
06/22,Bayonne,NJ,3,Fajardo,World Class,37.1,1991
06/22,West Allis,WI,7,Pioneer,Open Class,45.1,1991
06/22,Bayonne,NJ,4,Musketeers,World Class,30.5,1991
06/22,West Allis,WI,8,Knights,Open Class,39.7,1991
06/22,West Allis,WI,9,Americanos,Open Class,31.3,1991
06/22,Riverside,CA,1,Blue Devils,World Class,75.1,1991
06/22,Waterloo,Ontario,1,Kiwanis Kavaliers,Open Class,51.7,1991
06/22,Rosemont,IL,1,Phantom Regiment Cadets,Open Class,47.8,1991
06/23,Costa Mesa,CA,1,Blue Devils,Open Class,78.1,1991
06/22,Riverside,CA,2,Vanguard,World Class,73.5,1991
06/22,Waterloo,Ontario,2,Cardinals,Open Class,42.6,1991
06/22,Rosemont,IL,2,Blue Stars,Open Class,47.4,1991
06/23,Costa Mesa,CA,2,Vanguard,Open Class,74.8,1991
06/22,Riverside,CA,3,Freelancers,World Class,64.6,1991
06/22,Waterloo,Ontario,3,Northwind Rebels,Open Class,27.8,1991
06/22,Rosemont,IL,3,CapitolAires,Open Class,42.7,1991
06/23,Costa Mesa,CA,3,Freelancers,Open Class,66.2,1991
06/22,Riverside,CA,4,Sky Ryders,World Class,64.5,1991
06/22,Rosemont,IL,4,Bandettes,Open Class,40.3,1991
06/23,Costa Mesa,CA,4,Sky Ryders,Open Class,65.4,1991
06/22,Riverside,CA,5,Velvet Knights,World Class,61.8,1991
06/22,Waterloo,Ontario,1,Saint John's,Open Class,37.2,1991
06/22,Rosemont,IL,5,Northmen-WI,Open Class,38.4,1991
06/23,Costa Mesa,CA,5,Velvet Knights,Open Class,60.4,1991
06/22,Waterloo,Ontario,2,Dutch Boy Cadets,Open Class,29.2,1991
06/22,Rosemont,IL,6,Madison Junior Scouts,Open Class,33.2,1991
06/22,Riverside,CA,1,Blue Devils B,World Class,56.1,1991
06/22,Waterloo,Ontario,3,Ridge Raiders,Open Class,28.6,1991
06/23,Costa Mesa,CA,1,Mandarins,Open Class,58.9,1991
06/22,Riverside,CA,2,Mandarins,World Class,55.8,1991
