Date,City,State,Place,Corps,Class,Score,Year
06/16,Oswego,IL,1,Cavaliers,World Class,73.9,2006
06/17,Toledo,OH,1,Cavaliers,World Class,74.85,2006
06/17,Coon Rapids,MN,1,Madison Scouts,World Class,66.475,2006
06/17,Pleasant Hill,CA,1,Blue Devils,World Class,74.3,2006
06/16,Oswego,IL,2,Glassmen,World Class,67.1,2006
06/17,Toledo,OH,2,Phantom Regiment,World Class,71.6,2006
06/17,Coon Rapids,MN,2,Colts,World Class,62.325,2006
06/17,Pleasant Hill,CA,2,Vanguard,World Class,70.1,2006
06/16,Oswego,IL,3,Southwind,World Class,58.65,2006
06/17,Toledo,OH,3,Bluecoats,World Class,70.65,2006
06/17,Coon Rapids,MN,3,Blue Stars,World Class,61.175,2006
06/17,Pleasant Hill,CA,3,Mandarins,World Class,57.05,2006
06/16,Oswego,IL,4,Pioneer,World Class,49.85,2006
06/17,Toledo,OH,4,Glassmen,World Class,67.65,2006
06/17,Toledo,OH,5,Southwind,World Class,58.2,2006
06/17,Coon Rapids,MN,1,Capital Sound,World Class,46.775,2006
06/17,Pleasant Hill,CA,1,Blue Devils B,World Class,64.8,2006
06/17,Pleasant Hill,CA,2,Vanguard Cadets,World Class,59.65,2006
06/17,Coon Rapids,MN,1,Minnesota Brass,World Class,69.25,2006
06/17,Coon Rapids,MN,2,Govenaires,World Class,58.063,2006
06/17,Pleasant Hill,CA,1,Fever,World Class,52.9,2006
06/17,Coon Rapids,MN,3,"Chops, Inc.",World Class,56.976,2006
06/17,Pleasant Hill,CA,2,Blue Devils C,World Class,43.5,2006
06/17,Pleasant Hill,CA,1,Renegades,World Class,66.58,2006
06/17,Pleasant Hill,CA,2,River City Regiment,World Class,62.17,2006
06/17,Wildwood,NJ,1,Reading Buccaneers,World Class,76.788,2006
06/18,Lisle,IL,1,Cavaliers,World Class,75.25,2006
06/18,Menomonie,WI,1,Madison Scouts,World Class,69.5,2006
06/18,Modesto,CA,1,Blue Devils,World Class,74.6,2006
06/17,Wildwood,NJ,2,Empire Statesmen,World Class,76.0,2006
06/18,Lisle,IL,2,Bluecoats,World Class,72.7,2006
06/18,Menomonie,WI,2,Colts,World Class,63.95,2006
06/18,Modesto,CA,2,Vanguard,World Class,69.65,2006
06/17,Wildwood,NJ,3,Hawthorne Caballeros,World Class,74.538,2006
06/18,Lisle,IL,3,Phantom Regiment,World Class,72.4,2006
06/18,Menomonie,WI,3,Blue Stars,World Class,61.975,2006
06/18,Modesto,CA,3,Mandarins,World Class,57.4,2006
06/17,Wildwood,NJ,4,Connecticut Hurricanes,World Class,66.863,2006
06/18,Lisle,IL,4,Glassmen,World Class,67.3,2006
06/17,Wildwood,NJ,5,New York Skyliners,World Class,62.2,2006
06/18,Lisle,IL,5,Pioneer,World Class,50.7,2006
06/18,Menomonie,WI,1,Colt Cadets,World Class,38.4,2006
06/18,Modesto,CA,1,Blue Devils B,World Class,66.3,2006
06/18,Modesto,CA,2,Vanguard Cadets,World Class,63.45,2006
06/18,Lisle,IL,1,Kilties,World Class,52.85,2006
06/18,Menomonie,WI,1,Capital Sound,World Class,44.05,2006
06/18,Modesto,CA,1,Fever,World Class,52.15,2006
06/18,Menomonie,WI,1,Minnesota Brass,World Class,68.238,2006
06/18,Modesto,CA,2,Blue Devils C,World Class,47.15,2006
06/18,Menomonie,WI,2,"Chops, Inc.",World Class,56.925,2006
06/18,Modesto,CA,1,Renegades,World Class,64.33,2006
06/18,Modesto,CA,2,River City Regiment,World Class,64.17,2006
06/20,Memphis,TN,1,Phantom Regiment,World Class,72.6,2006
06/20,Ankeny,IA,1,Bluecoats,World Class,72.85,2006
