Date,City,State,Place,Corps,Class,Score,Year
06/16,Annapolis,MD,1,Cavaliers,World Class,73.9,2007
06/16,Coon Rapids,MN,1,Phantom Regiment,World Class,72.8,2007
06/16,Pleasant Hill,CA,1,Blue Devils,World Class,75.9,2007
06/16,Wildwood,NJ,1,Reading Buccaneers,World Class,75.988,2007
06/16,Annapolis,MD,2,Bluecoats,World Class,71.6,2007
06/16,Coon Rapids,MN,2,Blue Knights,World Class,67.05,2007
06/16,Pleasant Hill,CA,2,Vanguard,World Class,75.4,2007
06/16,Wildwood,NJ,2,Hawthorne Caballeros,World Class,74.463,2007
06/16,Annapolis,MD,3,Cadets,World Class,70.7,2007
06/16,Coon Rapids,MN,3,Colts,World Class,65.6,2007
06/16,Pleasant Hill,CA,3,Mandarins,World Class,63.4,2007
06/16,Wildwood,NJ,3,Empire Statesmen,World Class,73.438,2007
06/16,Annapolis,MD,4,Carolina Crown,World Class,70.35,2007
06/16,Coon Rapids,MN,4,Blue Stars,World Class,62.65,2007
06/16,Wildwood,NJ,4,Syracuse Brigadiers,World Class,68.838,2007
06/16,Annapolis,MD,5,Glassmen,World Class,61.85,2007
06/16,Coon Rapids,MN,5,Pioneer,World Class,53.75,2007
06/16,Pleasant Hill,CA,1,Blue Devils B,World Class,66.2,2007
06/16,Wildwood,NJ,5,Connecticut Hurricanes,World Class,65.913,2007
06/16,Annapolis,MD,6,Spirit,World Class,60.9,2007
06/16,Pleasant Hill,CA,2,Vanguard Cadets,World Class,63.7,2007
06/16,Coon Rapids,MN,1,Capital Sound,World Class,53.5,2007
06/16,Pleasant Hill,CA,1,Impulse,World Class,57.05,2007
06/16,Coon Rapids,MN,1,Minnesota Brass,World Class,66.95,2007
06/16,Pleasant Hill,CA,2,Fever,World Class,56.3,2007
06/16,Coon Rapids,MN,2,Govenaires,World Class,61.138,2007
06/16,Pleasant Hill,CA,3,Blue Devils C,World Class,45.6,2007
06/16,Coon Rapids,MN,3,"Chops, Inc.",World Class,58.438,2007
06/16,Pleasant Hill,CA,1,Renegades,World Class,67.925,2007
06/16,Pleasant Hill,CA,2,River City Regiment,World Class,55.325,2007
06/17,Pittsburgh,PA,1,Cavaliers,World Class,75.05,2007
06/17,Menomonie,WI,1,Phantom Regiment,World Class,74.4,2007
06/17,Stockton,CA,1,Vanguard,World Class,76.05,2007
06/19,Fairfield,OH,1,Cadets,World Class,75.1,2007
06/17,Pittsburgh,PA,2,Cadets,World Class,73.5,2007
06/17,Menomonie,WI,2,Blue Knights,World Class,69.95,2007
06/17,Stockton,CA,2,Blue Devils,World Class,75.55,2007
06/19,Fairfield,OH,2,Bluecoats,World Class,74.4,2007
06/17,Pittsburgh,PA,3,Bluecoats,World Class,72.7,2007
06/17,Menomonie,WI,3,Colts,World Class,67.6,2007
06/17,Stockton,CA,3,Mandarins,World Class,64.3,2007
06/19,Fairfield,OH,3,Glassmen,World Class,64.65,2007
06/17,Pittsburgh,PA,4,Glassmen,World Class,65.1,2007
06/17,Menomonie,WI,4,Blue Stars,World Class,63.75,2007
06/19,Fairfield,OH,4,Madison Scouts,World Class,63.55,2007
06/17,Pittsburgh,PA,5,Southwind,World Class,57.0,2007
06/17,Menomonie,WI,5,Pioneer,World Class,54.75,2007
06/17,Stockton,CA,1,Blue Devils B,World Class,65.95,2007
06/19,Fairfield,OH,5,Southwind,World Class,58.2,2007
06/17,Stockton,CA,2,Vanguard Cadets,World Class,63.2,2007
06/17,Menomonie,WI,1,Capital Sound,World Class,54.2,2007
06/17,Stockton,CA,1,Impulse,World Class,59.3,2007
06/17,Menomonie,WI,1,Minnesota Brass,World Class,67.113,2007
06/17,Stockton,CA,2,Fever,World Class,58.05,2007
06/17,Menomonie,WI,2,"Chops, Inc.",World Class,58.113,2007
06/17,Stockton,CA,3,Blue Devils C,World Class,48.15,2007
06/17,Stockton,CA,1,Renegades,World Class,61.175,2007
06/17,Stockton,CA,2,River City Regiment,World Class,56.088,2007
06/19,Sioux Falls,SD,1,Phantom Regiment,World Class,75.75,2007
06/20,Decatur,IN,1,Cavaliers,World Class,77.1,2007
06/20,Omaha,NE,1,Phantom Regiment,World Class,76.5,2007
06/20,Bakersfield,CA,1,Vanguard,World Class,77.05,2007
06/19,Sioux Falls,SD,2,Blue Knights,World Class,69.35,2007
06/20,Decatur,IN,2,Bluecoats,World Class,75.45,2007
06/20,Omaha,NE,2,Blue Knights,World Class,71.0,2007
06/20,Bakersfield,CA,2,Blue Devils,World Class,76.55,2007
06/19,Sioux Falls,SD,3,Colts,World Class,66.5,2007
06/20,Decatur,IN,3,Glassmen,World Class,66.0,2007
06/20,Omaha,NE,3,Colts,World Class,67.65,2007
06/20,Bakersfield,CA,3,Pacific Crest,World Class,63.6,2007
06/19,Sioux Falls,SD,4,Blue Stars,World Class,64.15,2007
06/20,Decatur,IN,4,Madison Scouts,World Class,61.1,2007
06/20,Omaha,NE,4,Blue Stars,World Class,64.5,2007
06/19,Sioux Falls,SD,5,Troopers,World Class,61.6,2007
06/20,Decatur,IN,5,Southwind,World Class,59.35,2007
06/20,Omaha,NE,5,Troopers,World Class,60.4,2007
06/20,Bakersfield,CA,1,Vanguard Cadets,World Class,65.0,2007
06/19,Sioux Falls,SD,6,Pioneer,World Class,55.65,2007
06/20,Omaha,NE,6,Pioneer,World Class,55.6,2007
06/20,Bakersfield,CA,1,Fever,World Class,60.0,2007
06/19,Sioux Falls,SD,1,Colt Cadets,World Class,47.85,2007
06/20,Omaha,NE,1,Colt Cadets,World Class,45.85,2007
06/20,Bakersfield,CA,2,Mystikal,World Class,50.65,2007
06/21,Benson,NC,1,Cadets,World Class,78.0,2007
06/22,Columbia,SC,1,Cadets,World Class,78.7,2007
06/22,Racine,WI,1,Madison Scouts,World Class,64.45,2007
06/22,Riverside,CA,1,Blue Devils,World Class,78.65,2007
06/21,Benson,NC,2,Carolina Crown,World Class,75.2,2007
06/22,Columbia,SC,2,Carolina Crown,World Class,76.2,2007
06/22,Racine,WI,2,Troopers,World Class,61.25,2007
