Date,City,State,Place,Corps,Class,Score,Year
06/05,LaCrosse,WI,1,Phantom Regiment,World Class,69.75,1982
06/06,Webster City,IA,1,Crimson Cadets,World Class,66.2,1982
06/06,Whitewater,WI,1,Phantom Regiment,World Class,74.25,1982
06/12,Lynn,MA,1,Bridgemen,World Class,64.65,1982
06/05,LaCrosse,WI,2,Madison Scouts,World Class,66.25,1982
06/06,Webster City,IA,2,Rivermen,World Class,65.55,1982
06/06,Whitewater,WI,2,Madison Scouts,World Class,68.9,1982
06/12,Lynn,MA,2,27th Lancers,World Class,61.95,1982
06/05,LaCrosse,WI,3,Knights,World Class,54.2,1982
06/06,Webster City,IA,3,Emerald Knights,World Class,61.3,1982
06/06,Whitewater,WI,3,Cavaliers,World Class,60.5,1982
06/12,Lynn,MA,3,Garfield Cadets,World Class,60.45,1982
06/05,LaCrosse,WI,4,Rivermen,World Class,36.75,1982
06/06,Webster City,IA,4,Pioneer,World Class,58.3,1982
06/06,Whitewater,WI,4,Knights,World Class,59.75,1982
06/12,Lynn,MA,4,Defenders,World Class,48.85,1982
06/06,Webster City,IA,5,CapitolAires,World Class,57.65,1982
06/12,Lynn,MA,5,Valley Airs,World Class,31.2,1982
06/12,Appleton,WI,1,Rivermen,World Class,48.9,1982
06/12,Rome,NY,1,Westshoremen,World Class,72.95,1982
06/12,Ramsey,NJ,1,Hawthorne Caballeros,World Class,71.8,1982
06/12,Chicago,IL,1,Phantom Regiment,World Class,76.05,1982
06/12,Appleton,WI,2,Colts,World Class,46.3,1982
06/12,Rome,NY,2,Sunrisers,World Class,69.85,1982
06/12,Ramsey,NJ,2,Sunrisers,World Class,70.05,1982
06/12,Chicago,IL,2,Madison Scouts,World Class,71.45,1982
06/12,Appleton,WI,3,Memorial Lancers,World Class,43.1,1982
06/12,Rome,NY,3,Reading Buccaneers,World Class,68.65,1982
06/12,Ramsey,NJ,3,New York Skyliners,World Class,67.5,1982
06/12,Chicago,IL,3,Knights,World Class,61.8,1982
06/12,Appleton,WI,4,Illiana Lancers,World Class,38.6,1982
06/12,Rome,NY,4,Thunderbirds,World Class,45.2,1982
06/12,Ramsey,NJ,4,Matadors,World Class,58.2,1982
06/12,Chicago,IL,4,Pioneer,World Class,45.6,1982
06/12,Appleton,WI,5,Wausau Story,World Class,28.4,1982
06/12,Rome,NY,5,Rochester Crusaders,World Class,44.45,1982
06/12,Ramsey,NJ,5,Bushwackers,World Class,52.55,1982
06/12,Chicago,IL,5,Royal Grenadiers,World Class,36.95,1982
06/12,Appleton,WI,6,Kilties,World Class,25.6,1982
06/12,Appleton,WI,7,Marquis,World Class,21.8,1982
06/12,Saratoga Springs,NY,1,Crossmen,World Class,62.0,1982
06/13,Woonsocket,RI,1,Garfield Cadets,World Class,65.8,1982
06/13,Findlay,OH,1,Saginaires,World Class,63.4,1982
06/13,Oshkosh,WI,1,Phantom Regiment,World Class,73.9,1982
06/12,Saratoga Springs,NY,2,Alliance,World Class,59.8,1982
06/13,Woonsocket,RI,2,Bridgemen,World Class,63.2,1982
06/13,Findlay,OH,2,Golden Garrison,World Class,58.4,1982
06/13,Oshkosh,WI,2,Madison Scouts,World Class,70.45,1982
06/12,Saratoga Springs,NY,3,Les Eclipses,World Class,50.0,1982
06/13,Woonsocket,RI,3,27th Lancers,World Class,58.8,1982
06/13,Findlay,OH,3,Glassmen,World Class,58.2,1982
06/13,Oshkosh,WI,3,Cavaliers,World Class,62.95,1982
06/12,Saratoga Springs,NY,4,Fantasia III,World Class,38.3,1982
06/13,Woonsocket,RI,4,Defenders,World Class,44.1,1982
06/13,Findlay,OH,4,Emerald Knights,World Class,53.8,1982
06/13,Oshkosh,WI,4,Knights,World Class,59.65,1982
06/12,Saratoga Springs,NY,5,Volunteers,World Class,36.4,1982
06/13,Woonsocket,RI,5,Valley Airs,World Class,25.7,1982
06/13,Findlay,OH,5,Coachmen,World Class,52.5,1982
06/13,Oshkosh,WI,5,Rivermen,World Class,42.95,1982
06/12,Saratoga Springs,NY,6,Fusion,World Class,32.4,1982
06/13,Findlay,OH,6,Pride of Cincinnati,World Class,51.6,1982
06/13,Oshkosh,WI,6,Colts,World Class,41.6,1982
06/13,Oshkosh,WI,7,Pioneer,World Class,37.6,1982
06/13,San Pablo,CA,1,Blue Devils,World Class,72.55,1982
06/17,Opelika,AL,1,Spirit of Atlanta,World Class,65.65,1982
06/18,Maumee,OH,1,Madison Scouts,World Class,75.3,1982
06/18,McLeansboro,IL,1,Pioneer,World Class,60.6,1982
06/13,San Pablo,CA,2,San Jose Raiders,World Class,51.3,1982
06/17,Opelika,AL,2,Memphis Blues,World Class,55.0,1982
06/18,Maumee,OH,2,Saginaires,World Class,45.8,1982
06/18,McLeansboro,IL,2,Royal Grenadiers,World Class,54.4,1982
06/13,San Pablo,CA,3,Valley Fever,World Class,50.0,1982
06/17,Opelika,AL,3,Suncoast Sound,World Class,51.4,1982
06/18,Maumee,OH,3,Guardsmen,World Class,43.2,1982
06/18,McLeansboro,IL,3,CapitolAires,World Class,50.3,1982
06/13,San Pablo,CA,4,Blue Devils B,World Class,30.65,1982
06/17,Opelika,AL,4,Pride of Cincinnati,World Class,39.2,1982
06/18,Maumee,OH,4,Americanos,World Class,32.55,1982
06/18,McLeansboro,IL,4,Saint Louis Lancers,World Class,49.5,1982
06/17,Opelika,AL,5,Southwind,World Class,34.25,1982
06/18,Maumee,OH,5,Golden Garrison,World Class,28.3,1982
06/18,McLeansboro,IL,5,Marquis,World Class,44.2,1982
06/17,Opelika,AL,6,Nighthawks,World Class,32.85,1982
06/18,Maumee,OH,6,Coachmen,World Class,28.25,1982
06/18,Maumee,OH,7,Kilties,World Class,18.25,1982
06/18,Columbia,TN,1,Spirit of Atlanta,World Class,68.8,1982
06/19,Boston,MA,1,27th Lancers,World Class,61.4,1982
06/19,Canton,IL,1,Phantom Regiment,World Class,81.75,1982
06/19,Saginaw,MI,1,Madison Scouts,World Class,76.5,1982
06/18,Columbia,TN,2,Memphis Blues,World Class,58.2,1982
06/19,Boston,MA,2,Defenders,World Class,46.8,1982
06/19,Canton,IL,2,Knights,World Class,68.45,1982
06/19,Saginaw,MI,2,Guardsmen,World Class,45.9,1982
06/18,Columbia,TN,3,Suncoast Sound,World Class,56.4,1982
06/19,Boston,MA,3,Alliance,World Class,46.1,1982
06/19,Canton,IL,3,Cavaliers,World Class,66.85,1982
06/19,Saginaw,MI,3,Glassmen,World Class,31.1,1982
06/18,Columbia,TN,4,Pride of Cincinnati,World Class,43.55,1982
06/19,Boston,MA,4,North Star,World Class,41.4,1982
06/19,Canton,IL,4,Colts,World Class,50.05,1982
06/19,Saginaw,MI,4,Coachmen,World Class,30.2,1982
06/18,Columbia,TN,5,Southwind,World Class,40.1,1982
06/19,Boston,MA,5,Les Eclipses,World Class,39.2,1982
06/19,Canton,IL,5,Emerald Knights,World Class,34.1,1982
06/19,Saginaw,MI,5,Americanos,World Class,27.6,1982
06/18,Columbia,TN,6,Nighthawks,World Class,34.6,1982
06/19,Saginaw,MI,6,Kilties,World Class,18.3,1982
06/18,Columbia,TN,7,Black Knights,World Class,27.2,1982
06/19,Saginaw,MI,7,Bandettes,World Class,11.2,1982
06/19,Memphis,TN,1,Spirit of Atlanta,World Class,71.9,1982
06/19,Ferguson,MI,1,Pioneer,World Class,63.3,1982
06/19,Cleveland,OH,1,Bluecoats,World Class,71.2,1982
06/19,Hershey,PA,1,Westshoremen,World Class,78.05,1982
06/19,Memphis,TN,2,Suncoast Sound,World Class,63.1,1982
06/19,Ferguson,MI,2,Imperial Guard,World Class,53.2,1982
06/19,Cleveland,OH,2,Caballaros,World Class,58.75,1982
06/19,Hershey,PA,2,New York Skyliners,World Class,73.0,1982
06/19,Memphis,TN,3,Pride of Cincinnati,World Class,44.7,1982
06/19,Ferguson,MI,3,Royal Grenadiers,World Class,51.4,1982
06/19,Cleveland,OH,3,Marion Cadets,World Class,44.6,1982
06/19,Hershey,PA,3,Reading Buccaneers,World Class,71.9,1982
06/19,Memphis,TN,4,Southwind,World Class,36.8,1982
06/19,Ferguson,MI,4,CapitolAires,World Class,47.4,1982
06/19,Hershey,PA,4,Archer Epler Muskateers,World Class,58.55,1982
06/19,Memphis,TN,5,Nighthawks,World Class,36.1,1982
06/19,Ferguson,MI,5,Vaqueros,World Class,43.5,1982
06/19,Hershey,PA,5,Steel City Ambassadors,World Class,49.9,1982
06/19,Memphis,TN,6,Black Knights,World Class,26.6,1982
06/19,Ferguson,MI,6,Marquis,World Class,42.7,1982
06/19,Hershey,PA,6,Rochester Crusaders,World Class,45.95,1982
06/19,Hershey,PA,7,Hanover Lancers,World Class,43.05,1982
06/19,New Haven,CT,1,Connecticut Hurricanes,World Class,71.2,1982
06/20,East Lyme,CT,1,Alliance,World Class,54.3,1982
06/20,Ramsey,NJ,1,Garfield Cadets,World Class,71.5,1982
06/20,Geneseo,IL,1,Phantom Regiment,World Class,83.5,1982
06/19,New Haven,CT,2,Sunrisers,World Class,68.7,1982
06/20,East Lyme,CT,2,Les Eclipses,World Class,50.8,1982
06/20,Ramsey,NJ,2,Bridgemen,World Class,69.4,1982
06/20,Geneseo,IL,2,Cavaliers,World Class,69.0,1982
06/19,New Haven,CT,3,Matadors,World Class,63.7,1982
06/20,East Lyme,CT,3,North Star,World Class,48.4,1982
06/20,Ramsey,NJ,3,Crossmen,World Class,65.9,1982
06/20,Geneseo,IL,3,Knights,World Class,68.7,1982
06/20,East Lyme,CT,4,Valley Airs,World Class,33.45,1982
06/20,Ramsey,NJ,4,Fantasia III,World Class,34.8,1982
06/20,Geneseo,IL,4,Colts,World Class,46.2,1982
06/20,Ramsey,NJ,5,Black Watch,World Class,25.7,1982
06/20,Geneseo,IL,5,Emerald Knights,World Class,34.5,1982
06/20,Grand Rapids,MI,1,Madison Scouts,World Class,73.6,1982
06/23,Boulder,CO,1,Sky Ryders,World Class,62.85,1982
06/24,Montrose,CO,1,Sky Ryders,World Class,68.0,1982
06/26,North Hunterdon,NJ,1,Bridgemen,World Class,69.85,1982
06/20,Grand Rapids,MI,2,Saginaires,World Class,48.55,1982
06/23,Boulder,CO,2,San Jose Raiders,World Class,51.25,1982
06/24,Montrose,CO,2,San Jose Raiders,World Class,58.33,1982
06/26,North Hunterdon,NJ,2,27th Lancers,World Class,69.15,1982
06/20,Grand Rapids,MI,3,Guardsmen,World Class,48.35,1982
06/23,Boulder,CO,3,Troopers,World Class,51.1,1982
06/24,Montrose,CO,2,Troopers,World Class,58.33,1982
06/26,North Hunterdon,NJ,3,North Star,World Class,59.05,1982
06/20,Grand Rapids,MI,4,Glassmen,World Class,37.35,1982
06/23,Boulder,CO,4,Blue Knights,World Class,37.1,1982
06/24,Montrose,CO,4,Blue Knights,World Class,48.0,1982
06/26,North Hunterdon,NJ,4,Fantasia III,World Class,41.8,1982
06/20,Grand Rapids,MI,5,Americanos,World Class,32.6,1982
06/23,Boulder,CO,5,Blue Stars,World Class,33.45,1982
06/24,Montrose,CO,5,Blue Stars,World Class,28.33,1982
06/26,North Hunterdon,NJ,5,Black Watch,World Class,30.05,1982
06/20,Grand Rapids,MI,6,Kilties,World Class,23.5,1982
06/23,Boulder,CO,6,Crimson Cadets,World Class,29.65,1982
06/20,Grand Rapids,MI,7,Bandettes,World Class,18.3,1982
06/26,Rockford,IL,1,Phantom Regiment,World Class,79.35,1982
06/26,Riverside,CA,1,Blue Devils,World Class,79.55,1982
06/26,Bridgeport,CT,1,Connecticut Hurricanes,World Class,77.0,1982
06/26,Mechanicsburg,PA,1,Westshoremen,World Class,78.45,1982
06/26,Rockford,IL,2,Knights,World Class,66.85,1982
06/26,Riverside,CA,2,Vanguard,World Class,76.55,1982
06/26,Bridgeport,CT,2,Sunrisers,World Class,75.45,1982
06/26,Mechanicsburg,PA,2,Archer Epler Muskateers,World Class,56.1,1982
06/26,Rockford,IL,3,Cavaliers,World Class,66.4,1982
06/26,Riverside,CA,3,Freelancers,World Class,67.35,1982
06/26,Bridgeport,CT,3,Hawthorne Caballeros,World Class,74.8,1982
06/26,Mechanicsburg,PA,3,Bushwackers,World Class,54.6,1982
06/26,Rockford,IL,4,Guardsmen,World Class,47.3,1982
06/26,Riverside,CA,4,Sky Ryders,World Class,67.15,1982
06/26,Bridgeport,CT,4,New York Skyliners,World Class,72.45,1982
06/26,Mechanicsburg,PA,4,Hanover Lancers,World Class,49.9,1982
06/26,Rockford,IL,5,Colts,World Class,46.55,1982
06/26,Riverside,CA,5,Valley Fever,World Class,55.7,1982
06/26,Bridgeport,CT,5,Reading Buccaneers,World Class,69.6,1982
06/26,Mechanicsburg,PA,5,Rochester Crusaders,World Class,48.95,1982
06/26,Rockford,IL,6,Emerald Knights,World Class,41.7,1982
06/26,Riverside,CA,6,Troopers,World Class,54.4,1982
06/26,Bridgeport,CT,6,Matadors,World Class,65.15,1982
06/26,Riverside,CA,7,Seattle Imperials,World Class,50.7,1982
06/26,Riverside,CA,8,Velvet Knights,World Class,45.9,1982
06/26,Riverside,CA,9,Anaheim Kingsmen,World Class,35.95,1982
06/26,Riverside,CA,10,Blue Stars,World Class,28.4,1982
06/27,Burke,VA,1,Bridgemen,World Class,70.95,1982
06/27,Madison,WI,1,Phantom Regiment,World Class,78.35,1982
06/27,Los Angeles,CA,1,Blue Devils,World Class,78.8,1982
06/28,Alton,IL,1,Phantom Regiment,World Class,79.95,1982
06/27,Burke,VA,2,27th Lancers,World Class,70.7,1982
06/27,Madison,WI,2,Madison Scouts,World Class,76.75,1982
06/27,Los Angeles,CA,2,Vanguard,World Class,72.9,1982
06/28,Alton,IL,2,Madison Scouts,World Class,76.15,1982
06/27,Burke,VA,3,Crossmen,World Class,70.6,1982
06/27,Madison,WI,3,Garfield Cadets,World Class,72.7,1982
06/27,Los Angeles,CA,3,Sky Ryders,World Class,65.75,1982
06/28,Alton,IL,3,Garfield Cadets,World Class,71.7,1982
06/27,Burke,VA,4,North Star,World Class,59.75,1982
06/27,Madison,WI,4,Cavaliers,World Class,67.35,1982
06/27,Los Angeles,CA,4,Freelancers,World Class,65.35,1982
06/28,Alton,IL,4,Knights,World Class,63.1,1982
06/27,Burke,VA,5,Black Watch,World Class,32.8,1982
06/27,Madison,WI,5,Guardsmen,World Class,46.25,1982
06/27,Los Angeles,CA,5,Valley Fever,World Class,53.3,1982
06/28,Alton,IL,5,Memphis Blues,World Class,54.75,1982
06/27,Madison,WI,6,CapitolAires,World Class,33.55,1982
06/27,Los Angeles,CA,6,Troopers,World Class,52.35,1982
06/28,Alton,IL,6,Guardsmen,World Class,41.65,1982
06/27,Los Angeles,CA,7,Seattle Imperials,World Class,43.9,1982
06/28,Alton,IL,7,Rivermen,World Class,40.2,1982
