Date,City,State,Place,Corps,Class,Score,Year
06/04,New Haven,CT,1,Westshoremen,World Class,63.4,1983
06/04,Janesville,WI,1,Phantom Regiment,World Class,59.25,1983
06/04,Bayonne,NJ,1,Garfield Cadets,World Class,63.6,1983
06/05,Manitowoc,WI,1,Madison Scouts,World Class,56.5,1983
06/04,New Haven,CT,2,Sunrisers,World Class,60.2,1983
06/04,Janesville,WI,2,Madison Scouts,World Class,58.15,1983
06/04,Bayonne,NJ,2,27th Lancers,World Class,55.4,1983
06/05,Manitowoc,WI,2,Phantom Regiment,World Class,54.0,1983
06/04,New Haven,CT,3,Hawthorne Caballeros,World Class,59.65,1983
06/04,Janesville,WI,3,Knights,World Class,49.9,1983
06/04,Bayonne,NJ,3,Alliance,World Class,53.4,1983
06/05,Manitowoc,WI,3,Pioneer,World Class,30.55,1983
06/04,New Haven,CT,4,New York Skyliners,World Class,58.1,1983
06/04,Janesville,WI,4,Saginaires,World Class,42.5,1983
06/04,Bayonne,NJ,4,Valley Airs,World Class,42.05,1983
06/05,Manitowoc,WI,4,Saint Louis Lancers,World Class,28.3,1983
06/04,Janesville,WI,5,Pioneer,World Class,38.15,1983
06/04,Bayonne,NJ,5,Les Eclipses,World Class,40.25,1983
06/05,Manitowoc,WI,5,Wausau Story,World Class,16.0,1983
06/11,Saratoga Springs,NY,1,Valley Airs,World Class,49.8,1983
06/11,Lynn,MA,1,Garfield Cadets,World Class,63.65,1983
06/11,Des Plaines,IL,1,Madison Scouts,World Class,56.45,1983
06/11,Appleton,WI,1,Phantom Regiment,World Class,63.2,1983
06/11,Saratoga Springs,NY,2,Volunteers,World Class,41.2,1983
06/11,Lynn,MA,2,Alliance,World Class,55.4,1983
06/11,Des Plaines,IL,2,Knights,World Class,52.0,1983
06/11,Appleton,WI,2,Pioneer,World Class,36.0,1983
06/11,Saratoga Springs,NY,3,Black Watch,World Class,36.8,1983
06/11,Lynn,MA,3,Bridgemen,World Class,47.15,1983
06/11,Des Plaines,IL,3,Royal Grenadiers,World Class,34.0,1983
06/11,Appleton,WI,3,Illiana Lancers,World Class,30.0,1983
06/11,Saratoga Springs,NY,4,Firebirds,World Class,32.8,1983
06/11,Lynn,MA,4,Crossmen,World Class,46.2,1983
06/11,Des Plaines,IL,4,Emerald Knights,World Class,26.8,1983
06/11,Appleton,WI,4,Spirit of '76,World Class,20.45,1983
06/11,Saratoga Springs,NY,5,CMCC Warriors,World Class,32.4,1983
06/11,Lynn,MA,5,Les Eclipses,World Class,40.65,1983
06/11,Appleton,WI,5,Northmen-WI,World Class,19.65,1983
06/11,Saratoga Springs,NY,6,Jersey Brass,World Class,17.0,1983
06/11,Appleton,WI,6,Rivermen,World Class,16.7,1983
06/12,Troy,NY,1,Bridgemen,World Class,48.95,1983
06/12,Oshkosh,WI,1,Phantom Regiment,World Class,62.08,1983
06/12,Hershey,PA,1,Westshoremen,World Class,72.15,1983
06/17,Toledo,OH,1,Madison Scouts,World Class,67.45,1983
06/12,Troy,NY,2,Crossmen,World Class,48.3,1983
06/12,Oshkosh,WI,2,Madison Scouts,World Class,59.18,1983
06/12,Hershey,PA,2,New York Skyliners,World Class,67.05,1983
06/17,Toledo,OH,2,Saginaires,World Class,41.0,1983
06/12,Troy,NY,3,Les Eclipses,World Class,40.35,1983
06/12,Oshkosh,WI,3,Knights,World Class,54.05,1983
06/12,Hershey,PA,3,Hawthorne Caballeros,World Class,65.15,1983
06/17,Toledo,OH,3,Royal Grenadiers,World Class,35.4,1983
06/12,Troy,NY,4,Volunteers,World Class,29.35,1983
06/12,Oshkosh,WI,4,Cavaliers,World Class,53.7,1983
06/12,Hershey,PA,4,Bushwackers,World Class,52.3,1983
06/17,Toledo,OH,4,Marion Cadets,World Class,33.05,1983
06/12,Troy,NY,5,Valley Airs,World Class,22.0,1983
06/12,Oshkosh,WI,5,Colts,World Class,36.95,1983
06/12,Hershey,PA,5,Archer Epler Musketeers,World Class,50.8,1983
06/12,Troy,NY,5,Black Watch,World Class,22.0,1983
06/12,Oshkosh,WI,6,Pioneer,World Class,34.0,1983
06/12,Hershey,PA,6,Steel City Ambassadors,World Class,46.65,1983
06/12,Oshkosh,WI,7,Rivermen,World Class,25.05,1983
06/18,Saginaw,MI,1,Madison Scouts,World Class,63.85,1983
06/18,Concord,CA,1,Vanguard,World Class,68.65,1983
06/18,West Chester,PA,1,Garfield Cadets,World Class,63.95,1983
06/19,Nanticoke,PA,1,Garfield Cadets,World Class,68.05,1983
06/18,Saginaw,MI,2,Dutch Boy,World Class,44.5,1983
06/18,Concord,CA,2,Blue Devils,World Class,67.65,1983
06/18,West Chester,PA,2,27th Lancers,World Class,52.15,1983
