Date,City,State,Place,Corps,Class,Score,Year
06/18,Allentown,PA,1,Carolina Crown,World Class,73.75,2010
06/19,Chesapeake,VA,1,Carolina Crown,World Class,75.95,2010
06/19,Wildwood,NJ,1,Buccaneers,DCA Open Class,80.538,2010
06/20,Fort Mill,SC,1,Carolina Crown,World Class,75.9,2010
06/18,Allentown,PA,2,Cadets,World Class,72.2,2010
06/19,Chesapeake,VA,2,Cadets,World Class,72.9,2010
06/19,Wildwood,NJ,2,Caballeros,DCA Open Class,75.363,2010
06/20,Fort Mill,SC,2,Cadets,World Class,75.1,2010
06/18,Allentown,PA,3,Cavaliers,World Class,70.75,2010
06/19,Chesapeake,VA,3,Cavaliers,World Class,72.45,2010
06/19,Wildwood,NJ,3,Bushwackers,DCA Open Class,69.338,2010
06/20,Fort Mill,SC,3,Cavaliers,World Class,71.8,2010
06/20,Fort Mill,SC,4,Spirit,World Class,66.0,2010
06/19,Wildwood,NJ,1,Fusion Core,DCA Class A,64.738,2010
06/20,Fort Mill,SC,5,Teal Sound,World Class,61.2,2010
06/20,Fort Mill,SC,1,Alliance,DCA Open Class,65.2,2010
06/20,Fort Mill,SC,2,Corpsvets,DCA Open Class,64.7,2010
06/21,Charleston,WV,1,Carolina Crown,World Class,76.5,2010
06/22,Louisville,KY,1,Bluecoats,World Class,75.6,2010
06/22,Rio Rancho,NM,1,Blue Knights,World Class,66.9,2010
06/23,Mesa,AZ,1,Blue Knights,World Class,68.6,2010
06/21,Charleston,WV,2,Cadets,World Class,75.8,2010
06/22,Louisville,KY,2,Cavaliers,World Class,74.2,2010
06/22,Rio Rancho,NM,2,Troopers,World Class,65.2,2010
06/23,Mesa,AZ,2,Academy,World Class,66.9,2010
06/21,Charleston,WV,3,Bluecoats,World Class,73.6,2010
06/22,Louisville,KY,3,Phantom Regiment,World Class,74.0,2010
06/22,Rio Rancho,NM,3,Academy,World Class,64.8,2010
06/23,Mesa,AZ,3,Troopers,World Class,66.1,2010
06/21,Charleston,WV,4,Phantom Regiment,World Class,73.5,2010
06/22,Louisville,KY,4,Glassmen,World Class,71.2,2010
06/21,Charleston,WV,5,Glassmen,World Class,70.3,2010
06/22,Louisville,KY,5,Madison Scouts,World Class,71.1,2010
06/22,Rio Rancho,NM,1,Revolution,Open Class,63.5,2010
06/23,Mesa,AZ,1,Revolution,Open Class,66.2,2010
06/21,Charleston,WV,6,Spirit,World Class,67.0,2010
06/22,Louisville,KY,6,Teal Sound,World Class,62.0,2010
06/21,Charleston,WV,7,Teal Sound,World Class,63.3,2010
06/22,Louisville,KY,7,Pioneer,World Class,59.7,2010
06/24,Toledo,OH,1,Bluecoats,World Class,78.0,2010
06/25,Normal,IL,1,Carolina Crown,World Class,78.7,2010
06/25,Clovis,CA,1,Blue Devils,World Class,77.5,2010
06/26,Arlington,VA,1,Bluecoats,World Class,78.1,2010
06/24,Toledo,OH,2,Phantom Regiment,World Class,76.7,2010
06/25,Normal,IL,2,Cadets,World Class,77.6,2010
06/25,Clovis,CA,2,Vanguard,World Class,75.3,2010
06/26,Arlington,VA,2,Phantom Regiment,World Class,77.1,2010
06/24,Toledo,OH,3,Glassmen,World Class,71.9,2010
06/25,Normal,IL,3,Cavaliers,World Class,75.2,2010
06/25,Clovis,CA,3,Blue Knights,World Class,70.8,2010
06/26,Arlington,VA,3,Boston Crusaders,World Class,75.0,2010
06/24,Toledo,OH,4,Crossmen,World Class,68.0,2010
06/25,Normal,IL,4,Blue Stars,World Class,74.0,2010
06/25,Clovis,CA,4,Troopers,World Class,67.3,2010
06/26,Arlington,VA,4,Crossmen,World Class,67.9,2010
06/24,Toledo,OH,5,Teal Sound,World Class,63.7,2010
06/25,Normal,IL,5,Madison Scouts,World Class,71.6,2010
06/25,Clovis,CA,5,Pacific Crest,World Class,64.6,2010
06/26,Arlington,VA,5,Spirit,World Class,67.1,2010
06/24,Toledo,OH,6,Pioneer,World Class,61.2,2010
06/25,Normal,IL,6,Glassmen,World Class,69.5,2010
06/25,Clovis,CA,6,Mandarins,World Class,63.9,2010
06/26,Arlington,VA,6,Jersey Surf,World Class,62.1,2010
06/25,Normal,IL,7,Colts,World Class,67.3,2010
06/25,Normal,IL,8,Pioneer,World Class,59.5,2010
06/25,Clovis,CA,1,Blue Devils B,Open Class,70.0,2010
06/25,Clovis,CA,2,Vanguard Cadets,Open Class,67.5,2010
06/25,Clovis,CA,3,Revolution,Open Class,63.6,2010
06/25,Clovis,CA,4,Blue Devils C,Open Class,50.0,2010
06/26,Middleton,WI,1,Cadets,World Class,78.8,2010
06/26,Stanford,CA,1,Blue Devils,World Class,78.65,2010
06/27,Stillwater,MN,1,Cadets,World Class,79.3,2010
06/27,Stockton,CA,1,Blue Devils,World Class,80.05,2010
06/26,Middleton,WI,2,Cavaliers,World Class,76.6,2010
06/26,Stanford,CA,2,Vanguard,World Class,77.1,2010
06/27,Stillwater,MN,2,Cavaliers,World Class,77.2,2010
06/27,Stockton,CA,2,Blue Knights,World Class,73.8,2010
06/26,Middleton,WI,3,Blue Stars,World Class,73.5,2010
06/26,Stanford,CA,3,Blue Knights,World Class,73.1,2010
06/27,Stillwater,MN,3,Blue Stars,World Class,74.1,2010
06/27,Stockton,CA,3,Troopers,World Class,68.45,2010
06/26,Middleton,WI,4,Madison Scouts,World Class,70.9,2010
06/26,Stanford,CA,4,Troopers,World Class,69.0,2010
06/27,Stillwater,MN,4,Madison Scouts,World Class,70.4,2010
06/27,Stockton,CA,4,Mandarins,World Class,65.6,2010
06/26,Middleton,WI,5,Glassmen,World Class,69.4,2010
06/26,Stanford,CA,5,Mandarins,World Class,66.5,2010
06/27,Stillwater,MN,5,Colts,World Class,65.9,2010
06/26,Middleton,WI,6,Pioneer,World Class,59.8,2010
06/26,Stanford,CA,6,Pacific Crest,World Class,64.5,2010
06/27,Stockton,CA,1,Blue Devils B,Open Class,76.3,2010
06/27,Stillwater,MN,1,Colt Cadets,Open Class,60.8,2010
06/27,Stockton,CA,2,Vanguard Cadets,Open Class,73.05,2010
06/26,Middleton,WI,1,Colt Cadets,Open Class,59.9,2010
06/26,Stanford,CA,1,Blue Devils B,Open Class,72.25,2010
06/27,Stillwater,MN,2,Racine Scouts,Open Class,55.0,2010
06/27,Stockton,CA,3,Blue Devils C,Open Class,52.4,2010
06/26,Middleton,WI,2,Racine Scouts,Open Class,54.5,2010
06/26,Stanford,CA,2,Vanguard Cadets,Open Class,69.5,2010
06/26,Stanford,CA,3,Revolution,Open Class,65.25,2010
06/27,Stillwater,MN,1,Minnesota Brass,DCA Open Class,73.0,2010
06/27,Stockton,CA,1,Renegades,DCA Open Class,59.538,2010
06/26,Middleton,WI,1,Minnesota Brass,DCA Open Class,78.0,2010
06/26,Stanford,CA,4,Blue Devils C,Open Class,52.15,2010
06/26,Middleton,WI,2,Kilties,DCA Open Class,68.25,2010
06/27,Stillwater,MN,2,Govenaires,DCA Class A,61.625,2010
06/26,Stanford,CA,1,Renegades,DCA Open Class,66.963,2010
06/27,Atascadero,CA,1,Vanguard,World Class,77.5,2010
06/29,Ewing,NJ,1,Carolina Crown,World Class,80.5,2010
06/30,Fort Edward,NY,1,Bluecoats,World Class,80.9,2010
06/30,Dubuque,IA,1,Cadets,World Class,80.8,2010
06/27,Atascadero,CA,2,Pacific Crest,World Class,67.2,2010
06/29,Ewing,NJ,2,Bluecoats,World Class,79.9,2010
06/30,Fort Edward,NY,2,Phantom Regiment,World Class,78.8,2010
06/30,Dubuque,IA,2,Cavaliers,World Class,78.4,2010
06/29,Ewing,NJ,3,Phantom Regiment,World Class,77.5,2010
06/30,Fort Edward,NY,3,Boston Crusaders,World Class,77.4,2010
06/30,Dubuque,IA,3,Blue Stars,World Class,76.4,2010
06/27,Atascadero,CA,1,Revolution,Open Class,65.2,2010
06/29,Ewing,NJ,4,Boston Crusaders,World Class,77.2,2010
06/30,Fort Edward,NY,4,Spirit,World Class,72.2,2010
06/30,Dubuque,IA,4,Colts,World Class,68.8,2010
06/27,Atascadero,CA,2,Velvet Knights,Open Class,57.5,2010
06/29,Ewing,NJ,5,Spirit,World Class,69.7,2010
06/30,Fort Edward,NY,5,Crossmen,World Class,71.1,2010
06/30,Dubuque,IA,5,Pioneer,World Class,64.4,2010
06/29,Ewing,NJ,6,Crossmen,World Class,68.1,2010
06/30,Fort Edward,NY,6,Jersey Surf,World Class,64.6,2010
06/29,Ewing,NJ,7,Jersey Surf,World Class,63.7,2010
06/30,Dubuque,IA,1,Colt Cadets,Open Class,64.2,2010
06/30,Dubuque,IA,2,Racine Scouts,Open Class,58.6,2010
07/01,Oswego,IL,1,Cavaliers,World Class,80.8,2010
07/02,Bristol,RI,1,Carolina Crown,World Class,83.7,2010
07/02,Cedarburg,WI,1,Cadets,World Class,82.7,2010
07/02,San Diego,CA,1,Vanguard,World Class,78.55,2010
07/01,Oswego,IL,2,Glassmen,World Class,76.0,2010
07/02,Bristol,RI,2,Bluecoats,World Class,82.8,2010
07/02,Cedarburg,WI,2,Blue Stars,World Class,78.2,2010
07/02,San Diego,CA,2,Academy,World Class,71.1,2010
07/01,Oswego,IL,3,Madison Scouts,World Class,75.7,2010
07/02,Bristol,RI,3,Phantom Regiment,World Class,79.2,2010
07/02,Cedarburg,WI,3,Madison Scouts,World Class,73.5,2010
07/02,San Diego,CA,3,Pacific Crest,World Class,68.3,2010
07/01,Oswego,IL,4,Colts,World Class,72.1,2010
07/02,Bristol,RI,3,Boston Crusaders,World Class,79.2,2010
07/02,Cedarburg,WI,4,Colts,World Class,70.4,2010
07/02,San Diego,CA,4,Mandarins,World Class,66.55,2010
07/01,Oswego,IL,5,Teal Sound,World Class,68.0,2010
07/02,Bristol,RI,5,Crossmen,World Class,71.6,2010
07/02,Cedarburg,WI,5,Pioneer,World Class,65.4,2010
07/01,Oswego,IL,6,Pioneer,World Class,66.2,2010
07/02,Bristol,RI,6,Jersey Surf,World Class,66.8,2010
07/02,San Diego,CA,1,Gold,Open Class,71.15,2010
07/02,Cedarburg,WI,1,Racine Scouts,Open Class,61.5,2010
07/02,San Diego,CA,2,Impulse,Open Class,68.15,2010
07/01,Oswego,IL,1,Colt Cadets,Open Class,63.8,2010
07/02,Bristol,RI,1,7th Regiment,Open Class,67.0,2010
07/02,San Diego,CA,3,Revolution,Open Class,66.95,2010
07/01,Oswego,IL,2,Racine Scouts,Open Class,60.4,2010
07/02,San Diego,CA,4,Velvet Knights,Open Class,60.1,2010
07/02,Salem,OR,1,Blue Knights,World Class,76.5,2010
07/03,Lynn,MA,1,Carolina Crown,World Class,83.5,2010
07/03,Michigan City,IN,1,Cadets,World Class,84.9,2010
07/03,Walnut,CA,1,Blue Devils,World Class,83.3,2010
07/02,Salem,OR,2,Troopers,World Class,71.7,2010
07/03,Lynn,MA,2,Bluecoats,World Class,83.2,2010
07/03,Michigan City,IN,2,Cavaliers,World Class,83.0,2010
07/03,Walnut,CA,2,Vanguard,World Class,80.25,2010
07/03,Lynn,MA,3,Phantom Regiment,World Class,81.9,2010
07/03,Michigan City,IN,3,Glassmen,World Class,77.4,2010
07/03,Walnut,CA,3,Academy,World Class,72.6,2010
07/02,Salem,OR,1,Vanguard Cadets,Open Class,74.6,2010
07/03,Lynn,MA,4,Boston Crusaders,World Class,79.9,2010
07/03,Michigan City,IN,4,Madison Scouts,World Class,76.7,2010
07/03,Walnut,CA,4,Pacific Crest,World Class,70.05,2010
07/02,Salem,OR,2,Oregon Crusaders,Open Class,70.0,2010
07/03,Lynn,MA,5,Spirit,World Class,71.8,2010
07/03,Michigan City,IN,5,Colts,World Class,72.7,2010
07/03,Walnut,CA,5,Mandarins,World Class,66.95,2010
07/02,Salem,OR,3,Spokane Thunder,Open Class,58.1,2010
07/03,Lynn,MA,6,Jersey Surf,World Class,68.6,2010
07/03,Michigan City,IN,6,Teal Sound,World Class,69.6,2010
07/03,Walnut,CA,1,Gold,Open Class,72.35,2010
07/03,Michigan City,IN,1,Colt Cadets,Open Class,67.1,2010
07/03,Walnut,CA,2,Impulse,Open Class,70.0,2010
07/03,Michigan City,IN,2,Legends,Open Class,65.5,2010
07/03,Walnut,CA,3,Revolution,Open Class,67.5,2010
07/03,Michigan City,IN,3,Blue Saints,Open Class,40.9,2010
07/03,Walnut,CA,4,Velvet Knights,Open Class,61.75,2010
07/03,Walnut,CA,5,City Sound,DCA Class A,59.3,2010
07/03,Walnut,CA,1,Dream,DCA Class A,65.763,2010
07/03,Hillsboro,OR,1,Blue Knights,World Class,78.9,2010
07/03,Rochester,NY,1,Statesmen,DCA Class A,80.95,2010
07/05,Bridgeport,CT,1,Boston Crusaders,World Class,80.4,2010
07/05,Riverside,CA,1,Blue Devils,World Class,84.5,2010
07/03,Hillsboro,OR,2,Troopers,World Class,73.7,2010
07/05,Bridgeport,CT,2,Crossmen,World Class,73.5,2010
07/05,Riverside,CA,2,Vanguard,World Class,80.7,2010
07/03,Hillsboro,OR,3,Cascades,World Class,67.2,2010
07/03,Rochester,NY,1,Grenadiers,DCA Class A,67.8,2010
07/05,Bridgeport,CT,3,Spirit,World Class,73.35,2010
07/05,Riverside,CA,3,Academy,World Class,74.1,2010
07/03,Rochester,NY,2,White Sabers,DCA Class A,59.638,2010
07/05,Bridgeport,CT,4,Jersey Surf,World Class,69.45,2010
07/05,Riverside,CA,4,Pacific Crest,World Class,70.25,2010
07/03,Hillsboro,OR,1,Vanguard Cadets,Open Class,75.4,2010
07/05,Riverside,CA,5,Mandarins,World Class,68.1,2010
07/03,Hillsboro,OR,2,Oregon Crusaders,Open Class,71.9,2010
07/05,Bridgeport,CT,1,Spartans,Open Class,70.8,2010
07/03,Hillsboro,OR,3,Spokane Thunder,Open Class,61.3,2010
07/05,Bridgeport,CT,2,7th Regiment,Open Class,65.75,2010
07/05,Riverside,CA,1,Gold,Open Class,72.15,2010
07/05,Riverside,CA,2,Revolution,Open Class,69.9,2010
07/05,Riverside,CA,3,Impulse,Open Class,69.8,2010
07/05,Riverside,CA,4,Velvet Knights,Open Class,62.95,2010
07/05,Riverside,CA,5,City Sound,DCA Class A,60.25,2010
07/05,Riverside,CA,1,Dream,DCA Class A,63.35,2010
07/05,Tri Cities,WA,1,Blue Knights,World Class,79.9,2010
07/06,Chambersburg,PA,1,Carolina Crown,World Class,84.85,2010
07/06,Metamora,IL,1,Blue Stars,World Class,80.9,2010
07/06,Boise,ID,1,Blue Knights,World Class,81.4,2010
07/05,Tri Cities,WA,2,Troopers,World Class,72.7,2010
07/06,Chambersburg,PA,2,Phantom Regiment,World Class,82.35,2010
07/06,Metamora,IL,2,Madison Scouts,World Class,77.25,2010
07/06,Boise,ID,2,Troopers,World Class,72.9,2010
07/05,Tri Cities,WA,3,Cascades,World Class,66.0,2010
07/06,Chambersburg,PA,3,Boston Crusaders,World Class,81.8,2010
07/06,Metamora,IL,3,Glassmen,World Class,76.85,2010
07/06,Boise,ID,3,Cascades,World Class,66.7,2010
07/06,Chambersburg,PA,4,Spirit,World Class,73.7,2010
07/06,Metamora,IL,4,Teal Sound,World Class,69.65,2010
07/05,Tri Cities,WA,1,Vanguard Cadets,Open Class,75.4,2010
07/06,Chambersburg,PA,5,Crossmen,World Class,73.6,2010
07/06,Metamora,IL,5,Pioneer,World Class,68.05,2010
07/06,Boise,ID,1,Vanguard Cadets,Open Class,76.0,2010
07/05,Tri Cities,WA,2,Oregon Crusaders,Open Class,69.2,2010
07/06,Chambersburg,PA,6,Jersey Surf,World Class,69.0,2010
07/06,Boise,ID,2,Oregon Crusaders,Open Class,70.2,2010
07/05,Tri Cities,WA,3,Spokane Thunder,Open Class,61.9,2010
07/06,Metamora,IL,1,Colt Cadets,Open Class,68.1,2010
07/06,Boise,ID,3,Spokane Thunder,Open Class,62.1,2010
07/06,Chambersburg,PA,1,Raiders,Open Class,66.7,2010
07/06,Metamora,IL,2,Legends,Open Class,64.7,2010
07/06,Metamora,IL,3,Blue Saints,Open Class,62.7,2010
07/07,Dublin,OH,1,Carolina Crown,World Class,84.7,2010
07/07,Ogden,UT,1,Blue Devils,World Class,85.1,2010
07/08,Pittsburgh,PA,1,Cavaliers,World Class,84.7,2010
07/09,Akron,OH,1,Bluecoats,World Class,85.35,2010
07/07,Dublin,OH,2,Bluecoats,World Class,83.4,2010
07/07,Ogden,UT,2,Blue Knights,World Class,81.6,2010
07/08,Pittsburgh,PA,2,Phantom Regiment,World Class,82.35,2010
07/09,Akron,OH,2,Carolina Crown,World Class,84.7,2010
07/07,Dublin,OH,3,Cavaliers,World Class,82.8,2010
07/07,Ogden,UT,3,Vanguard,World Class,81.3,2010
07/08,Pittsburgh,PA,3,Boston Crusaders,World Class,81.1,2010
07/09,Akron,OH,3,Cavaliers,World Class,84.65,2010
07/07,Dublin,OH,4,Blue Stars,World Class,79.15,2010
07/07,Ogden,UT,4,Troopers,World Class,73.8,2010
07/08,Pittsburgh,PA,4,Madison Scouts,World Class,78.45,2010
07/09,Akron,OH,4,Phantom Regiment,World Class,82.45,2010
07/07,Dublin,OH,5,Madison Scouts,World Class,78.3,2010
07/07,Ogden,UT,5,Cascades,World Class,68.2,2010
07/08,Pittsburgh,PA,5,Spirit,World Class,72.3,2010
07/09,Akron,OH,5,Boston Crusaders,World Class,81.2,2010
07/07,Dublin,OH,6,Teal Sound,World Class,70.25,2010
07/08,Pittsburgh,PA,6,Crossmen,World Class,72.1,2010
07/09,Akron,OH,6,Madison Scouts,World Class,78.55,2010
07/07,Ogden,UT,1,Vanguard Cadets,Open Class,77.0,2010
07/09,Akron,OH,7,Spirit,World Class,72.6,2010
07/07,Dublin,OH,1,Legends,Open Class,64.2,2010
07/07,Ogden,UT,2,Spokane Thunder,Open Class,63.5,2010
07/07,Dublin,OH,1,Cincinnati Tradition,DCA Class A,59.538,2010
07/09,Loveland,CO,1,Cadets,World Class,85.6,2010
07/10,Kalamazoo,MI,1,Carolina Crown,World Class,86.35,2010
07/10,Denver,CO,1,Blue Devils,World Class,88.0,2010
07/10,Fremont,CA,1,Mandarins,World Class,70.7,2010
07/09,Loveland,CO,2,Vanguard,World Class,82.6,2010
07/10,Kalamazoo,MI,2,Bluecoats,World Class,86.25,2010
07/10,Denver,CO,2,Cadets,World Class,85.7,2010
07/10,Fremont,CA,2,Cascades,World Class,70.6,2010
07/09,Loveland,CO,3,Blue Knights,World Class,82.25,2010
