Date,City,State,Place,Corps,Class,Score,Year
06/14,Wildwood,NJ,1,Reading Buccaneers,DCA Open Class,76.45,2014
06/18,Indianapolis,IN,1,Cadets,World Class,72.1,2014
06/20,Rockford,IL,1,Carolina Crown,World Class,73.3,2014
06/20,Clovis,CA,1,Blue Devils,World Class,73.2,2014
06/14,Wildwood,NJ,2,Hawthorne Caballeros,DCA Open Class,76.0,2014
06/18,Indianapolis,IN,2,Carolina Crown,World Class,70.8,2014
06/20,Rockford,IL,2,Phantom Regiment,World Class,70.4,2014
06/20,Clovis,CA,2,Vanguard,World Class,70.15,2014
06/14,Wildwood,NJ,3,Fusion Core,DCA Open Class,74.3,2014
06/18,Indianapolis,IN,3,Phantom Regiment,World Class,68.3,2014
06/20,Rockford,IL,3,Cavaliers,World Class,69.7,2014
06/20,Clovis,CA,3,Blue Knights,World Class,65.15,2014
06/14,Wildwood,NJ,4,Windsor Regiment,DCA Open Class,65.4,2014
06/18,Indianapolis,IN,4,Cavaliers,World Class,67.3,2014
06/20,Rockford,IL,4,Madison Scouts,World Class,66.2,2014
06/20,Clovis,CA,4,Crossmen,World Class,62.2,2014
06/18,Indianapolis,IN,5,Troopers,World Class,61.7,2014
06/20,Rockford,IL,5,Blue Stars,World Class,63.8,2014
06/20,Clovis,CA,5,Pacific Crest,World Class,59.45,2014
06/20,Rockford,IL,6,Troopers,World Class,61.1,2014
06/20,Clovis,CA,6,Mandarins,World Class,57.9,2014
06/20,Rockford,IL,7,Spirit of Atlanta,World Class,60.3,2014
06/20,Rockford,IL,8,Pioneer,World Class,47.5,2014
06/20,Clovis,CA,1,Vanguard Cadets,Open Class,53.65,2014
06/20,Clovis,CA,2,Blue Devils B,Open Class,52.7,2014
06/20,Rockford,IL,1,Colt Cadets,Open Class,38.5,2014
06/20,Clovis,CA,3,Golden Empire,Open Class,46.05,2014
06/20,Clovis,CA,4,Blue Devils C,Open Class,33.5,2014
06/21,Akron,OH,1,Cadets,World Class,76.05,2014
06/21,Plainwell,MI,1,Troopers,World Class,62.1,2014
06/21,Stanford,CA,1,Blue Devils,World Class,74.2,2014
06/21,Bayonne,NJ,1,Hawthorne Caballeros,DCA Open Class,78.8,2014
06/21,Akron,OH,2,Carolina Crown,World Class,74.95,2014
06/21,Plainwell,MI,2,Spirit of Atlanta,World Class,60.6,2014
06/21,Stanford,CA,2,Vanguard,World Class,70.9,2014
06/21,Bayonne,NJ,2,Fusion Core,DCA Open Class,77.35,2014
06/21,Akron,OH,3,Bluecoats,World Class,72.8,2014
06/21,Plainwell,MI,3,Colts,World Class,60.4,2014
06/21,Stanford,CA,3,Blue Knights,World Class,65.95,2014
06/21,Bayonne,NJ,3,Cadets 2,DCA Open Class,71.85,2014
06/21,Akron,OH,4,Phantom Regiment,World Class,72.05,2014
06/21,Plainwell,MI,4,Pioneer,World Class,47.2,2014
06/21,Stanford,CA,4,Crossmen,World Class,63.95,2014
06/21,Akron,OH,5,Cavaliers,World Class,70.8,2014
06/21,Stanford,CA,5,Pacific Crest,World Class,60.5,2014
06/21,Bayonne,NJ,1,White Sabers,DCA A Class,67.7,2014
06/21,Akron,OH,6,Madison Scouts,World Class,67.35,2014
06/21,Plainwell,MI,1,Colt Cadets,Open Class,38.8,2014
06/21,Stanford,CA,6,Mandarins,World Class,59.25,2014
06/21,Akron,OH,7,Boston Crusaders,World Class,66.4,2014
