Date,City,State,Place,Corps,Class,Score,Year
06/28,Rockford,MI,1,Phantom Regiment,World Class,71.3,2023
06/30,Muncie,IN,1,Carolina Crown,World Class,75.0,2023
06/28,Rockford,MI,2,Blue Stars,World Class,69.9,2023
06/30,Muncie,IN,2,Phantom Regiment,World Class,72.55,2023
06/28,Rockford,MI,3,Troopers,World Class,66.75,2023
06/30,Muncie,IN,3,Blue Stars,World Class,70.45,2023
06/28,Rockford,MI,4,Colts,World Class,65.3,2023
06/30,Muncie,IN,4,Cavaliers,World Class,70.1,2023
06/30,Muncie,IN,6,Colts,World Class,65.85,2023
07/01,Bridgeport,CT,1,Hawthorne Caballeros,DCA World Class,74.1,2023
07/01,Lynn,MA,1,Boston Crusaders,World Class,77.15,2023
07/01,Madison,WI,1,Blue Stars,World Class,70.6,2023
07/01,Vista,CA,1,Blue Devils,World Class,77.3,2023
07/01,Bridgeport,CT,2,Bushwackers,DCA World Class,68.45,2023
07/01,Lynn,MA,2,Cadets,World Class,73.75,2023
07/01,Madison,WI,2,Troopers,World Class,67.35,2023
07/01,Vista,CA,2,Mandarins,World Class,71.2,2023
07/01,Madison,WI,3,Colts,World Class,66.2,2023
07/01,Vista,CA,3,Academy,World Class,65.55,2023
07/01,Bridgeport,CT,1,Connecticut Hurricanes,DCA Open Class,68.85,2023
07/01,Lynn,MA,1,Spartans,Open Class,61.4,2023
07/01,Madison,WI,4,Madison Scouts,World Class,64.8,2023
07/01,Vista,CA,4,Pacific Crest,World Class,64.05,2023
07/01,Madison,WI,1,Colt Cadets,Open Class,47.9,2023
07/01,Vista,CA,1,Blue Devils B,Open Class,62.1,2023
07/01,Vista,CA,2,Gold,Open Class,61.65,2023
07/01,Madison,WI,1,Govenaires,DCA A Class,56.05,2023
07/01,Vista,CA,3,Golden Empire,Open Class,56.75,2023
07/01,Vista,CA,4,Vessel,Open Class,52.75,2023
07/01,Vista,CA,5,Impulse,Open Class,52.65,2023
07/01,Vista,CA,6,Blue Devils C,Open Class,48.85,2023
07/02,Quincy,MA,1,Boston Crusaders,World Class,78.55,2023
07/02,Lisle,IL,1,Carolina Crown,World Class,77.95,2023
07/02,San Bernardino,CA,1,Blue Devils,World Class,79.15,2023
07/03,Cedarburg,WI,1,Phantom Regiment,World Class,76.6,2023
07/02,Quincy,MA,2,Cadets,World Class,74.75,2023
07/02,Lisle,IL,2,Phantom Regiment,World Class,74.0,2023
07/02,San Bernardino,CA,2,Mandarins,World Class,73.2,2023
07/03,Cedarburg,WI,2,Blue Stars,World Class,74.35,2023
07/02,Lisle,IL,3,Cavaliers,World Class,72.05,2023
07/02,San Bernardino,CA,3,Academy,World Class,65.35,2023
07/03,Cedarburg,WI,3,Cavaliers,World Class,73.5,2023
07/02,Quincy,MA,1,Spartans,Open Class,62.3,2023
07/02,Lisle,IL,4,Colts,World Class,69.25,2023
07/02,San Bernardino,CA,4,Pacific Crest,World Class,64.15,2023
07/03,Cedarburg,WI,4,Troopers,World Class,72.55,2023
07/02,Quincy,MA,2,7th Regiment,Open Class,53.8,2023
07/02,Lisle,IL,5,Madison Scouts,World Class,66.95,2023
07/03,Cedarburg,WI,5,Madison Scouts,World Class,69.7,2023
07/02,Lisle,IL,1,Colt Cadets,Open Class,52.0,2023
07/02,San Bernardino,CA,2,Gold,Open Class,61.55,2023
07/03,Cedarburg,WI,1,Colt Cadets,Open Class,52.65,2023
07/02,San Bernardino,CA,3,Golden Empire,Open Class,55.6,2023
07/02,San Bernardino,CA,4,Vessel,Open Class,53.8,2023
07/02,San Bernardino,CA,5,Impulse,Open Class,52.2,2023
07/02,San Bernardino,CA,6,Blue Devils C,Open Class,49.5,2023
07/03,Mesa,AZ,1,Blue Devils,World Class,80.1,2023
07/05,Mason,OH,1,Carolina Crown,World Class,80.15,2023
07/07,DeKalb,IL,1,Boston Crusaders,World Class,81.3,2023
07/07,Fresno,CA,1,Blue Devils,World Class,81.9,2023
07/03,Mesa,AZ,2,Mandarins,World Class,74.05,2023
07/05,Mason,OH,2,Bluecoats,World Class,79.85,2023
07/07,DeKalb,IL,2,Phantom Regiment,World Class,78.45,2023
07/07,Fresno,CA,2,Mandarins,World Class,75.6,2023
07/03,Mesa,AZ,3,Academy,World Class,66.9,2023
07/05,Mason,OH,3,Boston Crusaders,World Class,79.75,2023
07/07,DeKalb,IL,3,Blue Stars,World Class,76.65,2023
07/07,Fresno,CA,3,Blue Knights,World Class,71.9,2023
07/05,Mason,OH,4,Troopers,World Class,72.05,2023
07/07,DeKalb,IL,4,Cavaliers,World Class,76.35,2023
07/07,Fresno,CA,4,Pacific Crest,World Class,68.0,2023
07/05,Mason,OH,5,Music City,World Class,66.25,2023
07/07,DeKalb,IL,5,Troopers,World Class,74.6,2023
07/07,DeKalb,IL,6,Colts,World Class,73.65,2023
07/07,Fresno,CA,1,Blue Devils B,Open Class,65.3,2023
07/05,Mason,OH,1,Cincinnati Tradition,DCA Open Class,71.1,2023
07/07,DeKalb,IL,7,Madison Scouts,World Class,70.9,2023
07/07,Fresno,CA,2,Gold,Open Class,63.85,2023
07/07,DeKalb,IL,8,Crossmen,World Class,70.65,2023
07/07,Fresno,CA,3,Golden Empire,Open Class,58.75,2023
07/05,Mason,OH,1,Columbus Saints,DCA A Class,62.0,2023
07/07,DeKalb,IL,9,Genesis,World Class,65.4,2023
07/08,Clifton,NJ,1,Reading Buccaneers,DCA World Class,81.15,2023
07/08,Lexington,SC,1,Carolina Crown,World Class,81.7,2023
07/08,Whitewater,WI,1,Boston Crusaders,World Class,82.55,2023
07/08,Pasadena,CA,1,Blue Devils,World Class,84.1,2023
07/08,Clifton,NJ,2,Hawthorne Caballeros,DCA World Class,78.65,2023
