Date,City,State,Place,Corps,Class,Score,Year
06/13,Stony Creek,Ontario,1,Kiwanis Kavaliers,World Class,55.5,1992
06/13,Appleton,WI,1,Phantom Regiment,World Class,74.6,1992
06/13,Normal,IL,1,Cavaliers,World Class,70.9,1992
06/13,Concord,CA,1,Vanguard,World Class,68.8,1992
06/13,Appleton,WI,2,Glassmen,World Class,62.1,1992
06/13,Normal,IL,2,Madison Scouts,World Class,67.2,1992
06/13,Concord,CA,2,Blue Devils,World Class,67.4,1992
06/13,Stony Creek,Ontario,1,Saint John's,World Class,38.6,1992
06/13,Appleton,WI,3,Colts,World Class,57.3,1992
06/13,Normal,IL,3,Bluecoats,World Class,62.1,1992
06/13,Concord,CA,3,Freelancers,World Class,58.2,1992
06/13,Stony Creek,Ontario,2,Conqueror II,World Class,33.3,1992
06/13,Appleton,WI,4,Blue Stars,World Class,43.9,1992
06/13,Normal,IL,4,Northern Aurora,World Class,47.1,1992
06/13,Stony Creek,Ontario,3,Ridge Raiders,World Class,26.0,1992
06/13,Appleton,WI,5,Americanos,World Class,40.4,1992
06/13,Normal,IL,5,Pioneer,World Class,42.8,1992
06/13,Concord,CA,1,Vanguard Cadets,World Class,51.7,1992
06/13,Stony Creek,Ontario,4,Northwind Rebels,World Class,22.3,1992
06/13,Appleton,WI,6,Phantom Regiment Cadets,World Class,39.4,1992
06/13,Normal,IL,6,Limited Edition,World Class,39.5,1992
06/13,Concord,CA,2,Blue Devils B,World Class,49.6,1992
06/13,Appleton,WI,7,Madison Junior Scouts,World Class,29.4,1992
06/13,Normal,IL,7,CapitolAires,World Class,39.0,1992
06/13,Concord,CA,3,Mandarins,World Class,56.5,1992
06/13,Stony Creek,Ontario,1,Canadian Knights,World Class,51.5,1992
06/13,Normal,IL,8,Chicago Vanguard,World Class,34.7,1992
06/13,Jersey City,NJ,1,Bushwackers,World Class,66.6,1992
06/14,LaPorte,IN,1,Madison Scouts,World Class,70.0,1992
06/14,Kenosha,WI,1,Cavaliers,World Class,71.1,1992
06/15,Mansfield,OH,1,Madison Scouts,World Class,68.0,1992
06/13,Jersey City,NJ,2,Hawthorne Caballeros,World Class,65.3,1992
06/14,LaPorte,IN,2,Bluecoats,World Class,63.4,1992
06/14,Kenosha,WI,2,Phantom Regiment,World Class,70.1,1992
06/15,Mansfield,OH,2,Bluecoats,World Class,62.1,1992
06/13,Jersey City,NJ,3,Connecticut Hurricanes,World Class,62.4,1992
06/14,LaPorte,IN,3,Glassmen,World Class,60.4,1992
06/14,Kenosha,WI,3,Colts,World Class,54.8,1992
06/15,Mansfield,OH,3,Glassmen,World Class,62.0,1992
06/13,Jersey City,NJ,4,New York Skyliners,World Class,56.8,1992
06/14,LaPorte,IN,4,Limited Edition,World Class,46.0,1992
06/14,Kenosha,WI,4,Pioneer,World Class,47.5,1992
06/15,Mansfield,OH,4,Colts,World Class,54.6,1992
06/13,Jersey City,NJ,5,Reading Buccaneers,World Class,54.6,1992
06/14,LaPorte,IN,5,CapitolAires,World Class,41.6,1992
06/14,Kenosha,WI,5,Americanos,World Class,37.4,1992
06/15,Mansfield,OH,5,Limited Edition,World Class,44.2,1992
06/13,Jersey City,NJ,6,Chieftains,World Class,48.4,1992
06/14,LaPorte,IN,6,Blue Stars,World Class,35.7,1992
06/14,Kenosha,WI,6,Phantom Regiment Cadets,World Class,35.4,1992
06/15,Mansfield,OH,6,Northern Aurora,World Class,43.7,1992
06/14,Kenosha,WI,7,Madison Junior Scouts,World Class,28.2,1992
06/15,Mansfield,OH,7,Pioneer,World Class,38.8,1992
06/16,Wyandotte,MI,1,Cavaliers,World Class,72.0,1992
06/14,LaPorte,IN,1,Madison Scouts,World Class,70.0,1992
06/14,Kenosha,WI,1,Cavaliers,World Class,71.1,1992
06/15,Mansfield,OH,1,Madison Scouts,World Class,68.0,1992
06/16,Wyandotte,MI,2,Phantom Regiment,World Class,70.7,1992
06/14,LaPorte,IN,2,Bluecoats,World Class,63.4,1992
06/14,Kenosha,WI,2,Phantom Regiment,World Class,70.1,1992
06/15,Mansfield,OH,2,Bluecoats,World Class,62.1,1992
06/16,Wyandotte,MI,3,Madison Scouts,World Class,69.8,1992
06/14,LaPorte,IN,3,Glassmen,World Class,60.4,1992
06/14,Kenosha,WI,3,Colts,World Class,54.8,1992
06/15,Mansfield,OH,3,Glassmen,World Class,62.0,1992
06/16,Wyandotte,MI,4,Glassmen,World Class,62.5,1992
06/14,LaPorte,IN,4,Limited Edition,World Class,46.0,1992
06/14,Kenosha,WI,4,Pioneer,World Class,47.5,1992
06/15,Mansfield,OH,4,Colts,World Class,54.6,1992
06/16,Wyandotte,MI,5,Bluecoats,World Class,61.8,1992
06/14,LaPorte,IN,5,CapitolAires,World Class,41.6,1992
06/14,Kenosha,WI,5,Americanos,World Class,37.4,1992
06/15,Mansfield,OH,5,Limited Edition,World Class,44.2,1992
06/16,Wyandotte,MI,6,Colts,World Class,52.8,1992
06/14,LaPorte,IN,6,Blue Stars,World Class,35.7,1992
06/14,Kenosha,WI,6,Phantom Regiment Cadets,World Class,35.4,1992
06/15,Mansfield,OH,6,Northern Aurora,World Class,43.7,1992
06/16,Wyandotte,MI,7,Northern Aurora,World Class,47.5,1992
06/14,Kenosha,WI,7,Madison Junior Scouts,World Class,28.2,1992
06/15,Mansfield,OH,7,Pioneer,World Class,38.8,1992
06/16,Wyandotte,MI,8,Pioneer,World Class,43.6,1992
06/16,Wyandotte,MI,9,Limited Edition,World Class,41.6,1992
06/16,Wyandotte,MI,10,Blue Stars,World Class,37.2,1992
06/16,Wyandotte,MI,1,Cavaliers,World Class,72.0,1992
06/18,Otsego,MI,1,Cavaliers,World Class,73.8,1992
06/19,DeKalb,IL,1,Cavaliers,World Class,74.2,1992
06/19,Clovis,CA,1,Blue Devils,World Class,72.3,1992
06/16,Wyandotte,MI,2,Phantom Regiment,World Class,70.7,1992
06/18,Otsego,MI,2,Phantom Regiment,World Class,71.5,1992
06/19,DeKalb,IL,2,Star of Indiana,World Class,72.8,1992
06/19,Clovis,CA,2,Vanguard,World Class,72.1,1992
06/16,Wyandotte,MI,3,Madison Scouts,World Class,69.8,1992
06/18,Otsego,MI,3,Madison Scouts,World Class,68.8,1992
06/19,DeKalb,IL,3,Madison Scouts,World Class,68.1,1992
06/19,Clovis,CA,3,Freelancers,World Class,61.7,1992
06/16,Wyandotte,MI,4,Glassmen,World Class,62.5,1992
06/18,Otsego,MI,4,Glassmen,World Class,62.4,1992
06/19,DeKalb,IL,4,Bluecoats,World Class,60.7,1992
06/16,Wyandotte,MI,5,Bluecoats,World Class,61.8,1992
06/18,Otsego,MI,5,Colts,World Class,53.9,1992
06/19,DeKalb,IL,5,Glassmen,World Class,60.6,1992
06/19,Clovis,CA,1,Mandarins,World Class,56.9,1992
06/16,Wyandotte,MI,6,Colts,World Class,52.8,1992
06/18,Otsego,MI,6,Northern Aurora,World Class,50.0,1992
06/19,DeKalb,IL,6,Minnesota Brass,World Class,52.6,1992
06/16,Wyandotte,MI,7,Northern Aurora,World Class,47.5,1992
06/19,DeKalb,IL,7,Colts,World Class,52.4,1992
06/16,Wyandotte,MI,8,Pioneer,World Class,43.6,1992
06/19,DeKalb,IL,8,Troopers,World Class,49.2,1992
06/16,Wyandotte,MI,9,Limited Edition,World Class,41.6,1992
06/19,DeKalb,IL,9,Pioneer,World Class,42.5,1992
06/16,Wyandotte,MI,10,Blue Stars,World Class,37.2,1992
06/19,DeKalb,IL,10,Limited Edition,World Class,40.3,1992
06/19,Phoenix,AZ,1,Blue Knights,World Class,66.2,1992
06/19,Malden,MA,1,Buccaneers,World Class,60.2,1992
06/20,Burlington,Ontario,1,Empire Statesmen,World Class,78.2,1992
06/20,Charleston,IL,1,Cavaliers,World Class,75.1,1992
06/19,Malden,MA,2,Satellites,World Class,47.3,1992
06/20,Burlington,Ontario,2,Reading Buccaneers,World Class,68.0,1992
06/20,Charleston,IL,2,Bluecoats,World Class,64.9,1992
06/19,Phoenix,AZ,1,Vanguard Cadets,World Class,54.3,1992
06/19,Malden,MA,3,Springfield Ambassadors,World Class,45.5,1992
06/20,Burlington,Ontario,3,Westshoremen,World Class,65.2,1992
06/20,Charleston,IL,3,Colts,World Class,54.1,1992
06/19,Phoenix,AZ,2,Blue Devils B,World Class,50.4,1992
06/20,Burlington,Ontario,4,Rochester Crusaders,World Class,64.3,1992
06/20,Charleston,IL,4,Northern Aurora,World Class,50.9,1992
06/19,Phoenix,AZ,3,Arizona Sun,World Class,48.4,1992
06/19,Malden,MA,1,Royal Cadets,World Class,54.5,1992
06/20,Burlington,Ontario,5,Grey Knights,World Class,45.7,1992
06/20,Charleston,IL,5,Troopers,World Class,47.7,1992
06/19,Malden,MA,2,Phoenix,World Class,54.4,1992
06/20,Charleston,IL,6,Limited Edition,World Class,45.8,1992
06/19,Malden,MA,3,East Coast Jazz,World Class,52.9,1992
06/20,Charleston,IL,7,Nite Express,World Class,36.9,1992
06/19,Malden,MA,4,Joanettes,World Class,46.0,1992
06/20,Charleston,IL,8,Knights,World Class,34.0,1992
06/19,Malden,MA,1,Citations,World Class,52.0,1992
06/19,Malden,MA,2,East Coast Cadets,World Class,36.8,1992
06/20,Milwaukee,WI,1,Star of Indiana,World Class,75.7,1992
06/20,Riverside,CA,1,Blue Devils,World Class,74.3,1992
06/20,Waterloo,Ontario,1,Kiwanis Kavaliers,World Class,61.9,1992
06/20,Rochester,NY,1,Spartans,World Class,59.5,1992
06/20,Milwaukee,WI,2,Phantom Regiment,World Class,73.5,1992
06/20,Riverside,CA,2,Vanguard,World Class,73.5,1992
06/20,Rochester,NY,2,Patriots,World Class,48.4,1992
06/20,Milwaukee,WI,3,Madison Scouts,World Class,70.7,1992
06/20,Riverside,CA,3,Blue Knights,World Class,69.9,1992
06/20,Waterloo,Ontario,1,Saint John's,World Class,48.0,1992
06/20,Rochester,NY,3,Cardinals,World Class,44.7,1992
06/20,Milwaukee,WI,4,Glassmen,World Class,66.1,1992
06/20,Riverside,CA,4,Velvet Knights,World Class,63.1,1992
06/20,Waterloo,Ontario,2,Conqueror II,World Class,43.7,1992
06/20,Rochester,NY,4,Royal Columbians,World Class,43.0,1992
06/20,Milwaukee,WI,5,Minnesota Brass,World Class,55.9,1992
06/20,Riverside,CA,5,Freelancers,World Class,61.6,1992
06/20,Waterloo,Ontario,3,Emerald Knights,World Class,39.1,1992
06/20,Rochester,NY,5,Eagles of Central NY,World Class,24.8,1992
06/20,Milwaukee,WI,6,Pioneer,World Class,49.3,1992
06/20,Waterloo,Ontario,4,Northwind Rebels,World Class,33.1,1992
06/20,Milwaukee,WI,7,Blue Stars,World Class,40.6,1992
06/20,Riverside,CA,1,Vanguard Cadets,World Class,60.1,1992
06/20,Waterloo,Ontario,5,Ridge Raiders,World Class,26.9,1992
06/20,Milwaukee,WI,8,Americanos,World Class,34.2,1992
06/20,Riverside,CA,2,Blue Devils B,World Class,55.8,1992
06/20,Riverside,CA,3,Arizona Sun,World Class,54.4,1992
06/20,Waterloo,Ontario,1,Dutch Boy Cadets,World Class,54.0,1992
06/20,Riverside,CA,4,Mandarins,World Class,53.3,1992
06/20,Waterloo,Ontario,2,Canadian Knights,World Class,52.2,1992
06/20,Billerica,MA,1,Buccaneers,World Class,65.3,1992
06/21,Green Bay,WI,1,Madison Scouts,World Class,70.9,1992
06/21,Oswego,IL,1,Phantom Regiment,World Class,75.7,1992
06/21,Terre Haute,IN,1,Star of Indiana,World Class,75.7,1992
06/20,Billerica,MA,2,Satellites,World Class,49.3,1992
06/21,Green Bay,WI,2,Blue Stars,World Class,48.7,1992
06/21,Oswego,IL,2,Glassmen,World Class,65.6,1992
06/21,Terre Haute,IN,2,Colts,World Class,56.6,1992
06/21,Green Bay,WI,3,Americanos,World Class,41.8,1992
06/21,Oswego,IL,3,Pioneer,World Class,51.1,1992
06/21,Terre Haute,IN,3,Northern Aurora,World Class,53.2,1992
06/20,Billerica,MA,1,East Coast Jazz,World Class,58.6,1992
06/21,Green Bay,WI,4,Madison Junior Scouts,World Class,33.4,1992
06/21,Oswego,IL,4,CapitolAires,World Class,47.8,1992
06/21,Terre Haute,IN,4,Limited Edition,World Class,47.2,1992
06/20,Billerica,MA,2,Phoenix,World Class,56.6,1992
06/21,Green Bay,WI,5,Racine Scouts,World Class,14.9,1992
06/21,Oswego,IL,5,Chicago Vanguard,World Class,42.7,1992
06/21,Terre Haute,IN,5,Royalaires,World Class,33.0,1992
06/20,Billerica,MA,3,Royal Cadets,World Class,55.6,1992
06/21,Oswego,IL,6,Phantom Regiment Cadets,World Class,37.9,1992
06/21,Terre Haute,IN,6,Knights,World Class,32.1,1992
06/20,Billerica,MA,4,Joanettes,World Class,48.5,1992
06/21,Oswego,IL,7,Rapid City Express,World Class,21.6,1992
06/20,Billerica,MA,1,Citations,World Class,53.4,1992
06/20,Billerica,MA,2,East Coast Cadets,World Class,38.8,1992
06/20,Billerica,MA,3,Braintree Braves,World Class,13.8,1992
06/21,Scarborough,Ontario,1,Kiwanis Kavaliers,World Class,65.0,1992
06/21,Costa Mesa,CA,1,Blue Devils,World Class,76.4,1992
06/22,Canton,MI,1,Cavaliers,World Class,78.2,1992
06/24,Modesto,CA,1,Blue Knights,World Class,77.1,1992
06/21,Scarborough,Ontario,2,Saint John's,World Class,51.5,1992
06/21,Costa Mesa,CA,2,Vanguard,World Class,75.0,1992
06/22,Canton,MI,2,Bluecoats,World Class,68.2,1992
06/24,Modesto,CA,2,Velvet Knights,World Class,69.2,1992
06/21,Scarborough,Ontario,3,Patriots,World Class,50.8,1992
06/21,Costa Mesa,CA,3,Blue Knights,World Class,72.4,1992
06/22,Canton,MI,3,Northern Aurora,World Class,58.2,1992
06/21,Scarborough,Ontario,4,Cardinals,World Class,45.9,1992
06/21,Costa Mesa,CA,4,Velvet Knights,World Class,64.2,1992
06/22,Canton,MI,4,Kiwanis Kavaliers,World Class,48.9,1992
06/24,Modesto,CA,1,Vanguard Cadets,World Class,68.5,1992
06/21,Scarborough,Ontario,5,Royal Columbians,World Class,39.9,1992
06/21,Costa Mesa,CA,5,Freelancers,World Class,59.3,1992
06/22,Canton,MI,5,Bandettes,World Class,33.7,1992
06/24,Modesto,CA,2,Mandarins,World Class,62.0,1992
06/21,Scarborough,Ontario,6,New York Lancers,World Class,36.9,1992
06/22,Canton,MI,6,12th Command,World Class,25.2,1992
06/24,Modesto,CA,3,Arizona Sun,World Class,60.9,1992
06/21,Scarborough,Ontario,7,Ridge Raiders,World Class,32.0,1992
06/21,Costa Mesa,CA,1,Vanguard Cadets,World Class,63.7,1992
06/21,Scarborough,Ontario,8,Eagles of Central NY,World Class,29.1,1992
06/21,Costa Mesa,CA,2,Blue Devils B,World Class,58.6,1992
06/21,Costa Mesa,CA,3,Arizona Sun,World Class,56.8,1992
06/21,Costa Mesa,CA,4,Mandarins,World Class,55.0,1992
06/24,Biddeford,MA,1,Academie Musicale,World Class,75.0,1992
06/25,Pittsburgh,PA,1,Cadets,World Class,71.6,1992
06/25,Streator,IL,1,Cavaliers,World Class,75.7,1992
06/26,Clearwater,FL,1,Spirit of Atlanta,World Class,61.1,1992
06/24,Biddeford,MA,2,Southern Knights,World Class,63.8,1992
06/25,Pittsburgh,PA,2,Crossmen,World Class,70.0,1992
06/25,Streator,IL,2,Phantom Regiment,World Class,74.3,1992
06/26,Clearwater,FL,2,Sky Ryders,World Class,54.6,1992
06/24,Biddeford,MA,3,Empire Loyalists,World Class,59.9,1992
06/25,Pittsburgh,PA,3,Bluecoats,World Class,65.5,1992
06/25,Streator,IL,3,Colts,World Class,57.8,1992
06/26,Clearwater,FL,3,Magic of Orlando,World Class,51.7,1992
