Date,City,State,Place,Corps,Class,Score,Year
06/07,Wheaton,IL,1,Cavaliers,World Class,72.2,1986
06/08,Janesville,WI,1,Cavaliers,World Class,73.5,1986
06/14,Fairfield,ME,1,27th Lancers,World Class,62.2,1986
06/14,Menasha,WI,1,Cavaliers,World Class,74.4,1986
06/07,Wheaton,IL,2,Madison Scouts,World Class,67.7,1986
06/08,Janesville,WI,2,Madison Scouts,World Class,69.2,1986
06/14,Fairfield,ME,2,Diplomats,World Class,48.1,1986
06/14,Menasha,WI,2,Madison Scouts,World Class,71.8,1986
06/07,Wheaton,IL,3,Phantom Regiment,World Class,65.8,1986
06/08,Janesville,WI,3,Phantom Regiment,World Class,63.9,1986
06/14,Fairfield,ME,3,20th Maine Regiment,World Class,43.6,1986
06/14,Menasha,WI,3,Phantom Regiment,World Class,69.4,1986
06/07,Wheaton,IL,4,Knights,World Class,50.7,1986
06/08,Janesville,WI,4,Knights,World Class,47.3,1986
06/14,Fairfield,ME,4,Transit,World Class,33.4,1986
06/14,Menasha,WI,4,Knights,World Class,52.7,1986
06/07,Wheaton,IL,5,Phantom Regiment Cadets,World Class,39.9,1986
06/08,Janesville,WI,5,Phantom Regiment Cadets,World Class,33.3,1986
06/14,Fairfield,ME,5,Suburbanettes,World Class,31.2,1986
06/14,Menasha,WI,5,Colts,World Class,50.4,1986
06/07,Wheaton,IL,6,Madison Junior Scouts,World Class,27.6,1986
06/08,Janesville,WI,6,Guardsmen,World Class,27.5,1986
06/14,Fairfield,ME,6,Marauders-QUE,World Class,15.5,1986
06/14,Menasha,WI,6,Northmen-WI,World Class,35.6,1986
06/08,Janesville,WI,7,Madison Junior Scouts,World Class,25.0,1986
06/14,Fairfield,ME,7,Les Chrystalines,World Class,13.9,1986
06/14,Menasha,WI,7,Blue Star Cadets,World Class,20.1,1986
06/14,Menasha,WI,8,Pioneer,World Class,15.2,1986
06/14,Fairfield,ME,1,Citations,World Class,59.9,1986
06/14,Fairfield,ME,2,20th Maine Regiment,World Class,59.6,1986
06/14,Fairfield,ME,3,Suburbanettes,World Class,54.8,1986
06/14,Fairfield,ME,1,Toreadors,World Class,56.4,1986
06/14,Fairfield,ME,2,Constellations,World Class,50.8,1986
06/14,Fairfield,ME,3,Satellites,World Class,48.0,1986
06/14,Fairfield,ME,4,Buccaneers,World Class,43.6,1986
06/14,Fairfield,ME,1,Royal Cadets,World Class,46.0,1986
06/14,Fairfield,ME,2,Suburban Cadets,World Class,42.3,1986
06/14,Fairfield,ME,1,Pine Tree Warriors,World Class,56.8,1986
06/14,Spring Valley,IL,1,Phantom Regiment Cadets,Open Class,46.3,1986
06/14,Kitchner,Ontario,1,Dutch Boy,Open Class,49.8,1986
06/15,East Weymouth,MA,1,Boston Crusaders,Open Class,51.8,1986
06/15,Madison,WI,1,Madison Scouts,Open Class,74.0,1986
06/14,Spring Valley,IL,2,Black Knights,Open Class,44.0,1986
06/15,East Weymouth,MA,2,Diplomats,Open Class,44.9,1986
06/15,Madison,WI,2,Colts,Open Class,49.5,1986
06/14,Spring Valley,IL,3,Guardsmen,Open Class,42.8,1986
06/14,Kitchner,Ontario,1,Canadian Knights,Open Class,45.6,1986
06/15,East Weymouth,MA,3,Saint Francis Sancians,Open Class,41.2,1986
06/15,Madison,WI,3,Phantom Regiment Cadets,Open Class,39.2,1986
06/14,Spring Valley,IL,4,Madison Junior Scouts,Open Class,37.0,1986
06/14,Kitchner,Ontario,2,Ventures,Open Class,41.8,1986
06/15,East Weymouth,MA,4,Transit,Open Class,32.0,1986
06/15,Madison,WI,4,Northmen-WI,Open Class,37.8,1986
06/14,Spring Valley,IL,5,Joliet Kingsmen,Open Class,30.7,1986
06/14,Kitchner,Ontario,3,Oshawa Rebels,Open Class,29.8,1986
06/15,East Weymouth,MA,5,Marauders-QUE,Open Class,12.7,1986
06/15,Madison,WI,5,Madison Junior Scouts,Open Class,29.3,1986
06/14,Spring Valley,IL,6,Coachmen,Open Class,28.3,1986
06/14,Kitchner,Ontario,4,Conqueror II,Open Class,26.7,1986
06/15,Madison,WI,6,Blue Star Cadets,Open Class,16.3,1986
06/14,Kitchner,Ontario,5,Kiwanis Kavaliers,Open Class,22.5,1986
06/14,Kitchner,Ontario,6,Saint John's,Open Class,11.4,1986
06/15,Geneseo,IL,1,Cavaliers,Open Class,75.5,1986
06/15,Lewiston,MA,1,Citations,Open Class,62.2,1986
06/20,Waterbury,CT,1,Garfield Cadets,Open Class,68.9,1986
06/20,Toledo,OH,1,Cavaliers,Open Class,79.1,1986
06/15,Geneseo,IL,2,Phantom Regiment,Open Class,70.4,1986
06/15,Lewiston,MA,2,20th Maine Regiment,Open Class,57.3,1986
06/20,Waterbury,CT,2,27th Lancers,Open Class,60.8,1986
06/20,Toledo,OH,2,Troopers,Open Class,72.7,1986
06/15,Geneseo,IL,3,Madison Scouts,Open Class,68.6,1986
06/15,Lewiston,MA,3,Granite State Garrison,Open Class,42.5,1986
06/20,Waterbury,CT,3,Les Eclipses,Open Class,37.7,1986
06/20,Toledo,OH,3,Bluecoats,Open Class,58.5,1986
06/15,Geneseo,IL,4,Phantom Regiment Cadets,Open Class,53.4,1986
06/20,Waterbury,CT,4,Saint Francis Sancians,Open Class,35.5,1986
06/20,Toledo,OH,4,Glassmen,Open Class,47.5,1986
