Date,City,State,Place,Corps,Class,Score,Year
06/01,Harvard,IL,1,Phantom Regiment,World Class,70.8,1985
06/08,Bayonne,NJ,1,Garfield Cadets,World Class,74.0,1985
06/08,Des Plaines,IL,1,Madison Scouts,World Class,75.0,1985
06/08,Hamilton,Ontario,1,Oshawa Rebels,World Class,62.2,1985
06/01,Harvard,IL,2,Phantom Regiment Cadets,World Class,44.7,1985
06/08,Bayonne,NJ,2,27th Lancers,World Class,59.6,1985
06/08,Des Plaines,IL,2,Cavaliers,World Class,68.4,1985
06/08,Hamilton,Ontario,2,Kiwanis Kavaliers,World Class,41.8,1985
06/01,Harvard,IL,3,Guardsmen,World Class,31.7,1985
06/08,Bayonne,NJ,3,Boston Crusaders,World Class,46.1,1985
06/08,Des Plaines,IL,3,Phantom Regiment,World Class,67.7,1985
06/08,Hamilton,Ontario,3,Brantford Girls,World Class,35.3,1985
06/01,Harvard,IL,4,Joliet Kingsmen,World Class,19.6,1985
06/08,Bayonne,NJ,4,Les Eclipses,World Class,44.4,1985
06/08,Des Plaines,IL,4,Knights,World Class,54.1,1985
06/01,Harvard,IL,5,Spirit of '76,World Class,16.8,1985
06/08,Bayonne,NJ,5,Diplomats,World Class,39.6,1985
06/08,Des Plaines,IL,5,Glassmen,World Class,35.7,1985
06/08,Hamilton,Ontario,1,Conqueror II,World Class,36.0,1985
06/01,Harvard,IL,6,Coachmen,World Class,11.1,1985
06/08,Des Plaines,IL,6,Spirit of '76,World Class,22.8,1985
06/08,Hamilton,Ontario,2,Ridge Raiders,World Class,30.5,1985
06/08,Hamilton,Ontario,3,Emerald Cadets,World Class,21.2,1985
06/08,Des Plaines,IL,1,Phantom Regiment Cadets,World Class,34.9,1985
06/08,Des Plaines,IL,2,Madison Junior Scouts,World Class,34.0,1985
06/08,Des Plaines,IL,3,Guardsmen,World Class,25.9,1985
06/08,Des Plaines,IL,4,Joliet Kingsmen,World Class,17.5,1985
06/08,Des Plaines,IL,5,Cavalier Cadets,World Class,14.8,1985
06/08,Bridgeport,CT,1,Hawthorne Caballeros,World Class,75.4,1985
06/09,Waterloo,Ontario,1,Oshawa Rebels,World Class,61.0,1985
06/09,Janesville,WI,1,Madison Scouts,World Class,76.0,1985
06/14,Toledo,OH,1,Madison Scouts,World Class,79.2,1985
06/08,Bridgeport,CT,2,Reading Buccaneers,World Class,69.6,1985
06/09,Waterloo,Ontario,1,Ventures,World Class,61.0,1985
06/09,Janesville,WI,2,Cavaliers,World Class,69.2,1985
06/14,Toledo,OH,2,Bluecoats,World Class,61.3,1985
06/08,Bridgeport,CT,3,Sunrisers,World Class,65.35,1985
06/09,Waterloo,Ontario,3,Dutch Boy,World Class,58.7,1985
06/09,Janesville,WI,3,Phantom Regiment,World Class,64.7,1985
06/14,Toledo,OH,3,Marion Cadets,World Class,40.0,1985
06/08,Bridgeport,CT,4,Matadors,World Class,57.45,1985
06/09,Waterloo,Ontario,4,Kiwanis Kavaliers,World Class,41.8,1985
06/09,Janesville,WI,4,Colts,World Class,51.5,1985
06/14,Toledo,OH,4,Northern Aurora,World Class,33.0,1985
06/08,Bridgeport,CT,4,Bushwackers,World Class,57.45,1985
06/09,Waterloo,Ontario,5,Ridge Raiders,World Class,30.3,1985
06/14,Toledo,OH,5,Coachmen,World Class,29.8,1985
06/08,Bridgeport,CT,6,New York Skyliners,World Class,57.1,1985
06/09,Janesville,WI,1,Phantom Regiment Cadets,World Class,36.3,1985
06/09,Janesville,WI,2,Madison Junior Scouts,World Class,32.5,1985
06/09,Janesville,WI,3,Joliet Kingsmen,World Class,17.3,1985
06/09,Janesville,WI,4,Cavalier Cadets,World Class,10.1,1985
06/14,Dubuque,IA,1,Phantom Regiment,World Class,68.9,1985
06/15,New Bedford,MA,1,Garfield Cadets,World Class,78.4,1985
06/15,Saratoga,NY,1,Northmen-NY,World Class,40.7,1985
06/15,Geneseo,IL,1,Cavaliers,World Class,72.4,1985
06/14,Dubuque,IA,2,Knights,World Class,60.0,1985
06/15,New Bedford,MA,2,27th Lancers,World Class,63.8,1985
06/15,Saratoga,NY,2,Diplomats,World Class,38.0,1985
06/15,Geneseo,IL,2,Phantom Regiment,World Class,70.0,1985
06/14,Dubuque,IA,3,Colts,World Class,58.8,1985
06/15,New Bedford,MA,3,Boston Crusaders,World Class,45.1,1985
06/15,Saratoga,NY,3,CMCC Warriors,World Class,24.5,1985
06/15,Geneseo,IL,3,Colts,World Class,60.2,1985
06/14,Dubuque,IA,4,Sky Ryders,World Class,46.0,1985
06/15,New Bedford,MA,4,Bridgemen,World Class,56.4,1985
06/15,Saratoga,NY,4,Suburbanettes,World Class,24.2,1985
06/15,Geneseo,IL,4,Knights,World Class,56.0,1985
06/14,Dubuque,IA,5,Madison Junior Scouts,World Class,29.0,1985
06/15,New Bedford,MA,5,Citations,World Class,38.4,1985
06/15,Saratoga,NY,5,Buccaneers,World Class,14.5,1985
06/15,Geneseo,IL,5,Sky Ryders,World Class,46.4,1985
06/14,Dubuque,IA,6,CapitolAires,World Class,25.2,1985
