Date,City,State,Place,Corps,Class,Score,Year
05/28,Clifton,NJ,1,"Reading
  Buccaneers",World Class,70.05,1981
05/30,Gloversville,NY,1,"Reading
  Buccaneers",World Class,75.65,1981
05/28,Clifton,NJ,2,Hawthorne Caballeros,World Class,68.6,1981
05/30,Gloversville,NY,2,Hawthorne Caballeros,World Class,71.5,1981
05/28,Clifton,NJ,3,Sunrisers,World Class,65.7,1981
05/30,Gloversville,NY,3,Sunrisers,World Class,69.2,1981
05/28,Clifton,NJ,4,Westshoremen,World Class,63.15,1981
05/30,Gloversville,NY,4,New York Skyliners,World Class,67.5,1981
05/30,Gloversville,NY,5,Westshoremen,World Class,64.65,1981
06/06,Mechanicsburg,PA,1,Reading Buccaneers,World Class,77.75,1981
06/06,Hamden,CT,1,Hawthorne Caballeros,World Class,71.95,1981
06/06,LaCrosse,WI,1,Madison Scouts,World Class,72.05,1981
06/07,Decorah,IA,1,Madison Scouts,World Class,69.5,1981
06/06,Mechanicsburg,PA,2,Westshoremen,World Class,69.15,1981
06/06,Hamden,CT,2,New York Skyliners,World Class,70.4,1981
06/06,LaCrosse,WI,2,Phantom Regiment,World Class,69.3,1981
06/07,Decorah,IA,2,Phantom Regiment,World Class,66.9,1981
06/06,Mechanicsburg,PA,3,Thunderbirds,World Class,49.25,1981
06/06,Hamden,CT,3,Sunrisers,World Class,67.65,1981
06/06,LaCrosse,WI,3,Blue Stars,World Class,58.05,1981
06/07,Decorah,IA,3,Blue Stars,World Class,53.9,1981
06/06,Hamden,CT,4,Connecticut Hurricanes,World Class,66.7,1981
06/06,LaCrosse,WI,4,Knights,World Class,52.0,1981
06/07,Decorah,IA,4,Knights,World Class,51.5,1981
06/06,Hamden,CT,5,Matadors,World Class,61.35,1981
06/06,LaCrosse,WI,5,Rivermen,World Class,50.45,1981
06/07,Decorah,IA,5,Rivermen,World Class,47.9,1981
06/07,Decorah,IA,6,Sundowners,World Class,23.8,1981
06/07,Decorah,IA,7,Emerald Knights,World Class,20.7,1981
06/12,Dubuque,IA,1,Madison Scouts,World Class,73.05,1981
06/13,Dubois,PA,1,Reading Buccaneers,World Class,77.7,1981
06/13,Lowell,MA,1,27th Lancers,World Class,73.4,1981
06/13,Park Ridge,IL,1,Phantom Regiment,World Class,66.4,1981
06/12,Dubuque,IA,2,Phantom Regiment,World Class,71.4,1981
06/13,Dubois,PA,2,Sunrisers,World Class,72.45,1981
06/13,Lowell,MA,2,Bridgemen,World Class,67.25,1981
06/13,Park Ridge,IL,2,Blue Stars,World Class,52.7,1981
06/12,Dubuque,IA,3,Knights,World Class,56.85,1981
06/13,Dubois,PA,3,Westshoremen,World Class,71.5,1981
06/13,Lowell,MA,3,Garfield Cadets,World Class,60.05,1981
06/13,Park Ridge,IL,3,Knights,World Class,50.3,1981
06/12,Dubuque,IA,4,Rivermen,World Class,53.95,1981
06/13,Dubois,PA,4,Matadors,World Class,58.45,1981
06/13,Lowell,MA,4,North Star,World Class,57.9,1981
06/13,Park Ridge,IL,4,Guardsmen,World Class,42.05,1981
06/12,Dubuque,IA,5,Sundowners,World Class,34.75,1981
06/13,Dubois,PA,5,Rochester Crusaders,World Class,56.35,1981
06/13,Lowell,MA,5,Crossmen,World Class,57.5,1981
06/13,Park Ridge,IL,5,Royal Grenadiers,World Class,26.55,1981
06/12,Dubuque,IA,6,Emerald Knights,World Class,30.45,1981
06/13,Dubois,PA,6,Thunderbirds,World Class,51.95,1981
06/13,Lowell,MA,6,Defenders,World Class,53.35,1981
06/13,Park Ridge,IL,1,Cavalier Cadets,World Class,31.6,1981
06/13,Park Ridge,IL,2,Madison Junior Scouts,World Class,31.3,1981
06/13,Park Ridge,IL,3,Phantom Regiment Cadets,World Class,25.0,1981
06/13,Park Ridge,IL,4,Kiltie Kadets,World Class,20.3,1981
06/13,Park Ridge,IL,5,Los Charros,World Class,14.0,1981
06/14,Green Bay,WI,1,Madison Scouts,World Class,69.0,1981
06/20,Canton,IL,1,Phantom Regiment,World Class,70.2,1981
06/20,Lynn,MA,1,Sunrisers,World Class,75.6,1981
06/20,Hershey,PA,1,Reading Buccaneers,World Class,82.4,1981
06/14,Green Bay,WI,2,Phantom Regiment,World Class,67.85,1981
06/20,Canton,IL,2,Cavaliers,World Class,66.05,1981
06/20,Lynn,MA,2,Hawthorne Caballeros,World Class,74.45,1981
06/20,Hershey,PA,2,New York Skyliners,World Class,74.8,1981
06/14,Green Bay,WI,3,Cavaliers,World Class,59.9,1981
06/20,Canton,IL,3,Knights,World Class,60.25,1981
06/20,Lynn,MA,3,Connecticut Hurricanes,World Class,69.1,1981
06/20,Hershey,PA,3,Westshoremen,World Class,72.3,1981
06/14,Green Bay,WI,4,Blue Stars,World Class,50.85,1981
06/20,Canton,IL,4,Colts,World Class,49.25,1981
06/20,Lynn,MA,4,Matadors,World Class,62.1,1981
06/20,Hershey,PA,4,Rochester Crusaders,World Class,56.65,1981
06/14,Green Bay,WI,5,Knights,World Class,50.25,1981
06/20,Canton,IL,5,Emerald Knights,World Class,33.95,1981
06/20,Hershey,PA,5,Thunderbirds,World Class,52.35,1981
06/14,Green Bay,WI,6,Rivermen,World Class,46.2,1981
06/20,Canton,IL,6,Statesmen,World Class,25.7,1981
06/14,Green Bay,WI,7,Guardsmen,World Class,38.95,1981
06/14,Green Bay,WI,8,Colts,World Class,35.45,1981
06/14,Green Bay,WI,9,Pioneer,World Class,30.1,1981
06/20,Milwaukee,WI,1,Blue Stars,World Class,58.9,1981
06/21,Geneseo,IL,1,Phantom Regiment,World Class,74.4,1981
06/23,Shreveport,LA,1,Madison Scouts,World Class,73.9,1981
06/23,Salem,OR,1,Blue Devils,World Class,73.75,1981
06/20,Milwaukee,WI,2,Saginaires,World Class,37.7,1981
06/21,Geneseo,IL,2,Cavaliers,World Class,67.9,1981
06/23,Shreveport,LA,2,Crossmen,World Class,65.25,1981
06/23,Salem,OR,2,Freelancers,World Class,62.4,1981
06/20,Milwaukee,WI,3,Americanos,World Class,32.1,1981
06/21,Geneseo,IL,3,Knights,World Class,62.8,1981
06/23,Shreveport,LA,3,Sky Ryders,World Class,64.0,1981
06/23,Salem,OR,3,Seattle Imperials,World Class,50.8,1981
06/20,Milwaukee,WI,4,Sundowners,World Class,30.0,1981
06/21,Geneseo,IL,4,Colts,World Class,50.1,1981
06/23,Shreveport,LA,4,Memphis Blues,World Class,57.55,1981
06/23,Salem,OR,4,Valley Fever,World Class,50.3,1981
06/21,Geneseo,IL,5,Emerald Knights,World Class,30.8,1981
06/23,Shreveport,LA,5,Suncoast Sound,World Class,49.05,1981
06/23,Salem,OR,5,Blue Devils B,World Class,40.35,1981
06/21,Geneseo,IL,6,Statesmen,World Class,21.3,1981
06/23,Shreveport,LA,6,Colts,World Class,38.95,1981
06/23,Shreveport,LA,7,Imperial Guard,World Class,37.25,1981
06/24,Houston,TX,1,Madison Scouts,World Class,71.6,1981
06/25,Cary,NC,1,27th Lancers,World Class,74.65,1981
06/25,Tacoma,WA,1,Blue Devils,World Class,75.25,1981
06/26,Atlanta,GA,1,27th Lancers,World Class,75.75,1981
06/24,Houston,TX,2,Crossmen,World Class,66.45,1981
06/25,Cary,NC,2,Bridgemen,World Class,69.7,1981
06/25,Tacoma,WA,2,Valley Fever,World Class,52.8,1981
06/26,Atlanta,GA,2,Bridgemen,World Class,73.35,1981
06/24,Houston,TX,3,Sky Ryders,World Class,63.65,1981
06/25,Cary,NC,3,Spirit of Atlanta,World Class,63.35,1981
06/25,Tacoma,WA,3,Seattle Imperials,World Class,45.55,1981
06/26,Atlanta,GA,3,Spirit of Atlanta,World Class,63.85,1981
06/24,Houston,TX,4,Memphis Blues,World Class,58.3,1981
06/25,Cary,NC,4,North Star,World Class,60.35,1981
06/25,Tacoma,WA,4,Blue Devils B,World Class,41.75,1981
06/26,Atlanta,GA,4,North Star,World Class,61.85,1981
06/24,Houston,TX,5,Suncoast Sound,World Class,50.1,1981
06/25,Cary,NC,5,Defenders,World Class,53.2,1981
06/25,Tacoma,WA,5,Velvet Knights,World Class,34.9,1981
06/26,Atlanta,GA,5,Defenders,World Class,51.15,1981
