Date,City,State,Place,Corps,Class,Score,Year
06/10,Malden,MA,1,East Coast Jazz,World Class,45.3,1994
06/11,Menasha,WI,1,Madison Scouts,World Class,66.0,1994
06/12,Madison,WI,1,Madison Scouts,World Class,68.4,1994
06/17,Whitewater,WI,1,Cavaliers,World Class,70.2,1994
06/11,Menasha,WI,2,Pioneer,World Class,47.5,1994
06/12,Madison,WI,2,Colts,World Class,59.2,1994
06/17,Whitewater,WI,2,Phantom Regiment,World Class,68.4,1994
06/10,Malden,MA,1,Royal Cadets,World Class,57.2,1994
06/11,Menasha,WI,3,Blue Stars,World Class,32.7,1994
06/12,Madison,WI,3,Pioneer,World Class,48.7,1994
06/17,Whitewater,WI,3,Colts,World Class,57.2,1994
06/10,Malden,MA,2,Citations,World Class,54.7,1994
06/11,Menasha,WI,4,CapitolAires,World Class,32.0,1994
06/12,Madison,WI,4,Blue Stars,World Class,34.0,1994
06/17,Whitewater,WI,4,Pioneer,World Class,49.6,1994
06/10,Malden,MA,3,J's,World Class,51.3,1994
06/11,Menasha,WI,5,Marquis,World Class,28.0,1994
06/12,Madison,WI,5,CapitolAires,World Class,33.0,1994
06/17,Whitewater,WI,5,Minnesota Brass,World Class,43.1,1994
06/10,Malden,MA,4,Phoenix-MA,World Class,48.2,1994
06/11,Menasha,WI,6,Phantom Regiment Cadets,World Class,26.1,1994
06/12,Madison,WI,6,Phantom Regiment Cadets,World Class,22.7,1994
06/17,Whitewater,WI,6,Nite Express,World Class,38.5,1994
06/11,Menasha,WI,7,Kilties,World Class,23.1,1994
06/12,Madison,WI,7,Madison Junior Scouts,World Class,20.2,1994
06/17,Whitewater,WI,6,Northern Aurora,World Class,38.5,1994
06/10,Malden,MA,1,Fitchburg Kingsmen,World Class,41.8,1994
06/17,Whitewater,WI,8,Blue Stars,World Class,35.6,1994
06/17,Whitewater,WI,9,Quad City Knights,World Class,33.7,1994
06/17,Whitewater,WI,10,Marquis,World Class,26.7,1994
06/17,Phoenix,AZ,1,Madison Scouts,World Class,66.5,1994
06/18,Oshkosh,WI,1,Cavaliers,World Class,71.3,1994
06/18,Scarborough,Ontario,1,Cardinals,World Class,60.3,1994
06/18,Westminster,MA,1,Buccaneers,World Class,58.7,1994
06/17,Phoenix,AZ,2,Blue Knights,World Class,64.0,1994
06/18,Oshkosh,WI,2,Phantom Regiment,World Class,68.5,1994
06/18,Scarborough,Ontario,2,Kiwanis Kavaliers,World Class,58.7,1994
06/17,Phoenix,AZ,3,Troopers,World Class,55.5,1994
06/18,Oshkosh,WI,3,Glassmen,World Class,60.1,1994
06/18,Scarborough,Ontario,3,Patriots,World Class,56.3,1994
06/18,Westminster,MA,2,Citations,World Class,54.3,1994
06/18,Oshkosh,WI,4,Colts,World Class,56.8,1994
06/18,Scarborough,Ontario,4,Saint John's,World Class,55.9,1994
06/18,Westminster,MA,3,Royal Cadets,World Class,54.2,1994
06/17,Phoenix,AZ,1,Vanguard Cadets,World Class,64.8,1994
06/18,Oshkosh,WI,5,Pioneer,World Class,49.0,1994
06/18,Scarborough,Ontario,5,East Coast Jazz,World Class,54.9,1994
06/18,Westminster,MA,4,J's,World Class,50.2,1994
06/17,Phoenix,AZ,2,Trooper Cadets,World Class,54.0,1994
06/18,Oshkosh,WI,6,Minnesota Brass,World Class,42.8,1994
06/18,Scarborough,Ontario,6,Spartans,World Class,54.6,1994
06/18,Westminster,MA,5,Phoenix-MA,World Class,49.0,1994
06/18,Oshkosh,WI,7,Nite Express,World Class,38.3,1994
06/18,Scarborough,Ontario,7,Canadian Knights,World Class,49.0,1994
06/18,Oshkosh,WI,8,Northern Aurora,World Class,32.8,1994
06/18,Scarborough,Ontario,8,Ventures,World Class,47.1,1994
06/18,Westminster,MA,1,Fitchburg Kingsmen,World Class,41.9,1994
06/18,Scarborough,Ontario,9,Dutch Boy Cadets,World Class,42.2,1994
06/18,Westminster,MA,2,Braintree Braves,World Class,24.3,1994
06/18,Riverside,CA,1,Madison Scouts,World Class,71.2,1994
06/19,Oswego,IL,1,Cavaliers,World Class,70.5,1994
06/19,Monterey Park,CA,1,Madison Scouts,World Class,73.9,1994
06/19,Waltham,MA,1,East Coast Jazz,World Class,62.2,1994
06/18,Riverside,CA,2,Blue Knights,World Class,65.6,1994
06/19,Oswego,IL,2,Northern Aurora,World Class,49.9,1994
06/19,Monterey Park,CA,2,Blue Knights,World Class,68.4,1994
06/19,Waltham,MA,2,Buccaneers,World Class,54.7,1994
06/18,Riverside,CA,3,Velvet Knights,World Class,59.0,1994
06/19,Oswego,IL,3,CapitolAires,World Class,45.3,1994
06/19,Monterey Park,CA,3,Velvet Knights,World Class,60.5,1994
06/18,Riverside,CA,4,Troopers,World Class,56.0,1994
06/19,Oswego,IL,4,Quad City Knights,World Class,40.1,1994
06/19,Monterey Park,CA,4,Troopers,World Class,57.5,1994
06/19,Waltham,MA,1,Royal Cadets,World Class,61.4,1994
06/19,Oswego,IL,5,Chicago Vanguard,World Class,36.1,1994
06/19,Waltham,MA,2,Citations,World Class,58.7,1994
06/18,Riverside,CA,1,Vanguard Cadets,World Class,67.5,1994
06/19,Oswego,IL,6,Guardsmen,World Class,27.4,1994
06/19,Monterey Park,CA,1,Vanguard Cadets,World Class,71.6,1994
06/19,Waltham,MA,3,J's,World Class,52.5,1994
06/18,Riverside,CA,2,Pacific Crest,World Class,58.3,1994
06/19,Oswego,IL,7,Madison Junior Scouts,World Class,22.6,1994
06/19,Monterey Park,CA,2,Pacific Crest,World Class,61.1,1994
06/19,Waltham,MA,4,Phoenix-MA,World Class,50.6,1994
06/18,Riverside,CA,3,Trooper Cadets,World Class,55.1,1994
06/19,Monterey Park,CA,3,Trooper Cadets,World Class,54.4,1994
06/19,Waltham,MA,1,Fitchburg Kingsmen,World Class,54.6,1994
06/19,Waltham,MA,2,Braintree Braves,World Class,30.9,1994
06/19,Kitchener,Ontario,1,Kiwanis Kavaliers,World Class,65.4,1994
06/21,Otsego,MI,1,Cavaliers,World Class,70.9,1994
06/22,Merrillville,IN,1,Phantom Regiment,World Class,72.4,1994
06/23,Beavercreek,OH,1,Cavaliers,World Class,73.7,1994
06/21,Otsego,MI,2,Phantom Regiment,World Class,68.9,1994
06/22,Merrillville,IN,2,Colts,World Class,64.0,1994
06/23,Beavercreek,OH,2,Glassmen,World Class,63.6,1994
06/19,Kitchener,Ontario,1,Saint John's,World Class,56.6,1994
06/21,Otsego,MI,3,Colts,World Class,59.6,1994
06/22,Merrillville,IN,3,Pioneer,World Class,53.2,1994
06/23,Beavercreek,OH,3,Bluecoats,World Class,62.1,1994
06/19,Kitchener,Ontario,2,Ventures,World Class,53.5,1994
06/21,Otsego,MI,4,Bluecoats,World Class,59.0,1994
06/22,Merrillville,IN,4,Northern Aurora,World Class,50.3,1994
06/23,Beavercreek,OH,4,Kiwanis Kavaliers,World Class,44.1,1994
06/19,Kitchener,Ontario,3,Ridge Raiders,World Class,48.6,1994
06/21,Otsego,MI,5,Pioneer,World Class,51.2,1994
06/22,Merrillville,IN,5,CapitolAires,World Class,42.2,1994
06/23,Beavercreek,OH,5,CapitolAires,World Class,42.7,1994
06/19,Kitchener,Ontario,4,Canadian Knights,World Class,47.8,1994
06/21,Otsego,MI,6,Northern Aurora,World Class,43.2,1994
06/22,Merrillville,IN,6,Golden Lancers,World Class,34.0,1994
06/23,Beavercreek,OH,6,Knights,World Class,39.2,1994
06/19,Kitchener,Ontario,5,Dutch Boy Cadets,World Class,44.2,1994
06/21,Otsego,MI,7,Phantom Regiment Cadets,World Class,30.9,1994
06/22,Merrillville,IN,7,Phantom Regiment Cadets,World Class,32.9,1994
06/23,Beavercreek,OH,7,Marion Cadets,World Class,25.7,1994
06/21,Otsego,MI,8,Coachmen,World Class,27.4,1994
06/21,Otsego,MI,9,12th Command,World Class,26.0,1994
06/24,Gilroy,CA,1,Vanguard,World Class,73.0,1994
06/24,Winchester,KY,1,Cavaliers,World Class,74.0,1994
06/24,Manteca,CA,1,Blue Devils,World Class,75.5,1994
06/25,Bayonne,NJ,1,Cadets,World Class,69.9,1994
06/24,Gilroy,CA,2,Madison Scouts,World Class,72.9,1994
06/24,Winchester,KY,2,Glassmen,World Class,64.4,1994
06/24,Manteca,CA,2,Freelancers,World Class,61.0,1994
06/25,Bayonne,NJ,2,Boston Crusaders,World Class,58.7,1994
06/24,Gilroy,CA,3,Blue Knights,World Class,67.7,1994
06/24,Winchester,KY,3,Bluecoats,World Class,62.4,1994
06/24,Manteca,CA,3,Velvet Knights,World Class,59.1,1994
06/24,Gilroy,CA,4,Troopers,World Class,58.1,1994
06/24,Winchester,KY,4,Kiwanis Kavaliers,World Class,46.9,1994
06/25,Bayonne,NJ,1,Raiders,World Class,56.6,1994
06/24,Winchester,KY,5,CapitolAires,World Class,42.9,1994
06/24,Manteca,CA,1,Blue Devils B,World Class,63.0,1994
06/25,Bayonne,NJ,2,Spartans,World Class,56.2,1994
06/24,Gilroy,CA,1,Vanguard Cadets,World Class,67.6,1994
06/24,Winchester,KY,6,Marion Cadets,World Class,31.1,1994
06/24,Manteca,CA,2,Pacific Crest,World Class,57.3,1994
06/25,Bayonne,NJ,3,Jersey Surf,World Class,53.9,1994
06/24,Gilroy,CA,2,Trooper Cadets,World Class,52.9,1994
06/24,Winchester,KY,7,12th Command,World Class,26.9,1994
06/24,Manteca,CA,3,Mandarins,World Class,56.9,1994
