Date,City,State,Place,Corps,Class,Score,Year
06/02,Hamden,CT,1,Hawthorne Caballeros,World Class,78.15,1979
06/02,Bayonne,NJ,1,Crossmen,World Class,69.1,1979
06/02,Rome,NY,1,North Star,World Class,73.55,1979
06/08,East Rutherford,NJ,1,Crossmen,World Class,70.45,1979
06/02,Hamden,CT,2,Sunrisers,World Class,76.95,1979
06/02,Bayonne,NJ,2,27th Lancers,World Class,63.5,1979
06/02,Rome,NY,2,Defenders,World Class,58.75,1979
06/08,East Rutherford,NJ,2,Bridgemen,World Class,67.1,1979
06/02,Hamden,CT,3,Reading Buccaneers,World Class,76.5,1979
06/02,Bayonne,NJ,3,Long Island Kingsmen,World Class,57.6,1979
06/02,Rome,NY,3,Marquis,World Class,58.45,1979
06/08,East Rutherford,NJ,3,Long Island Kingsmen,World Class,61.8,1979
06/02,Hamden,CT,4,New York Skyliners,World Class,70.85,1979
06/02,Bayonne,NJ,4,Royal Brigade,World Class,57.2,1979
06/08,East Rutherford,NJ,4,Royal Brigade,World Class,59.25,1979
06/02,Hamden,CT,5,Connecticut Hurricanes,World Class,65.85,1979
06/02,Bayonne,NJ,5,Garfield Cadets,World Class,55.55,1979
06/08,East Rutherford,NJ,5,Garfield Cadets,World Class,53.9,1979
06/08,East Rutherford,NJ,6,Black Watch-NJ,World Class,50.2,1979
06/09,Saratoga,NY,1,Long Island Kingsmen,World Class,62.8,1979
06/09,South Milwaukee,WI,1,Madison Scouts,World Class,71.2,1979
06/09,Lynn,MA,1,North Star,World Class,70.65,1979
06/10,Gloversville,NY,1,Hawthorne Caballeros,World Class,71.3,1979
06/09,Saratoga,NY,2,Cadets of Greece,World Class,53.55,1979
06/09,South Milwaukee,WI,2,Cavaliers,World Class,60.5,1979
06/09,Lynn,MA,2,Bridgemen,World Class,67.2,1979
06/10,Gloversville,NY,2,Reading Buccaneers,World Class,69.6,1979
06/09,Saratoga,NY,3,Bengal Lancers,World Class,40.25,1979
06/09,South Milwaukee,WI,3,Guardsmen,World Class,57.6,1979
06/09,Lynn,MA,3,Boston Crusaders,World Class,59.25,1979
06/10,Gloversville,NY,3,Sunrisers,World Class,69.3,1979
06/09,Saratoga,NY,4,Saint Ignatius,World Class,38.95,1979
06/09,South Milwaukee,WI,4,Knights,World Class,37.9,1979
06/09,Lynn,MA,4,Defenders,World Class,53.1,1979
06/10,Gloversville,NY,4,New York Skyliners,World Class,68.75,1979
06/09,Saratoga,NY,5,New York Lancers,World Class,36.95,1979
06/09,South Milwaukee,WI,5,CapitolAires,World Class,28.05,1979
06/09,Lynn,MA,5,Silver Sabres,World Class,50.9,1979
06/10,Gloversville,NY,5,Connecticut Hurricanes,World Class,61.1,1979
06/09,Lynn,MA,6,Arbella,World Class,48.0,1979
06/10,Gloversville,NY,6,Westshoremen,World Class,57.75,1979
06/09,Lynn,MA,7,Marquis,World Class,46.0,1979
06/10,Troy,NY,1,Bridgemen,World Class,67.45,1979
06/10,Naperville,IL,1,Guardsmen,World Class,60.1,1979
06/10,Oshkosh,WI,1,Madison Scouts,World Class,73.7,1979
06/15,Commack,NY,1,Bridgemen,World Class,65.9,1979
06/10,Troy,NY,2,Boston Crusaders,World Class,58.1,1979
06/10,Naperville,IL,2,Pioneer,World Class,53.55,1979
06/10,Oshkosh,WI,2,Phantom Regiment,World Class,73.2,1979
06/15,Commack,NY,2,Boston Crusaders,World Class,59.05,1979
06/10,Troy,NY,3,Royal Brigade,World Class,56.5,1979
06/10,Naperville,IL,3,Knights,World Class,45.25,1979
06/10,Oshkosh,WI,3,Cavaliers,World Class,64.25,1979
06/15,Commack,NY,3,Royal Brigade,World Class,58.85,1979
06/10,Troy,NY,4,Garfield Cadets,World Class,50.95,1979
06/10,Oshkosh,WI,4,Blue Stars,World Class,61.45,1979
06/15,Commack,NY,4,Garfield Cadets,World Class,55.75,1979
06/15,Dubuque,IA,1,Madison Scouts,World Class,75.65,1979
06/15,Arlington Heights,IL,1,Phantom Regiment,World Class,69.25,1979
06/16,Concord,CA,1,Vanguard,World Class,74.3,1979
06/16,Saginaw,MI,1,Pioneer,World Class,59.05,1979
06/15,Dubuque,IA,2,Blue Stars,World Class,67.8,1979
06/15,Arlington Heights,IL,2,Guardsmen,World Class,59.2,1979
06/16,Concord,CA,2,Blue Devils,World Class,74.0,1979
06/16,Saginaw,MI,2,Saginaires,World Class,58.05,1979
06/15,Dubuque,IA,3,Colts,World Class,48.2,1979
06/15,Arlington Heights,IL,3,Kilties,World Class,42.45,1979
06/16,Concord,CA,3,Freelancers,World Class,60.0,1979
06/16,Saginaw,MI,3,Kilties,World Class,57.9,1979
06/15,Dubuque,IA,4,Argonne Rebels,World Class,47.6,1979
06/15,Arlington Heights,IL,4,Pioneer,World Class,38.0,1979
06/16,Concord,CA,4,San Jose Raiders,World Class,39.0,1979
06/16,Saginaw,MI,4,CapitolAires,World Class,49.4,1979
06/15,Dubuque,IA,5,Knights,World Class,39.0,1979
06/15,Arlington Heights,IL,5,CapitolAires,World Class,27.35,1979
06/16,Saginaw,MI,5,Bandettes,World Class,33.45,1979
06/16,Saginaw,MI,6,Vaqueros,World Class,31.1,1979
06/16,Ajax,Ontario,1,Avant Garde,World Class,64.4,1979
06/16,Bristol,RI,1,Bridgemen,World Class,75.15,1979
06/16,Canton,OH,1,Phantom Regiment,World Class,76.35,1979
06/16,Hershey,PA,1,Reading Buccaneers,World Class,76.25,1979
06/16,Ajax,Ontario,2,Squires,World Class,59.2,1979
06/16,Bristol,RI,2,Crossmen,World Class,74.15,1979
06/16,Canton,OH,2,Cavaliers,World Class,68.15,1979
06/16,Hershey,PA,2,Hawthorne Caballeros,World Class,75.65,1979
06/16,Ajax,Ontario,3,Krescendos,World Class,44.85,1979
06/16,Bristol,RI,3,Long Island Kingsmen,World Class,63.15,1979
06/16,Canton,OH,3,Blue Stars,World Class,65.4,1979
06/16,Hershey,PA,3,New York Skyliners,World Class,75.2,1979
06/16,Bristol,RI,4,Boston Crusaders,World Class,59.85,1979
06/16,Canton,OH,4,Guardsmen,World Class,64.76,1979
06/16,Hershey,PA,4,Westshoremen,World Class,56.35,1979
06/16,Bristol,RI,5,Garfield Cadets,World Class,58.45,1979
06/16,Canton,OH,5,Argonne Rebels,World Class,45.85,1979
06/16,Hershey,PA,5,Wind Gap Blue Eagles,World Class,32.65,1979
06/16,Canton,OH,6,Knights,World Class,41.05,1979
06/16,Waverly,NY,1,Sunrisers,World Class,75.15,1979
06/17,Lockport,NY,1,Rochester Crusaders,World Class,66.1,1979
06/17,Secaucus,NJ,1,North Star,World Class,68.1,1979
06/17,Bellville,IL,1,Pioneer,World Class,62.55,1979
06/16,Waverly,NY,2,Connecticut Hurricanes,World Class,69.85,1979
06/17,Lockport,NY,2,Thunderbirds,World Class,62.85,1979
06/17,Secaucus,NJ,2,Long Island Kingsmen,World Class,61.6,1979
06/17,Bellville,IL,2,Saginaires,World Class,58.2,1979
06/16,Waverly,NY,3,Rochester Crusaders,World Class,58.15,1979
06/17,Secaucus,NJ,3,Boston Crusaders,World Class,60.3,1979
06/17,Bellville,IL,3,Kilties,World Class,56.6,1979
06/16,Waverly,NY,4,Thunderbirds,World Class,46.2,1979
06/17,Secaucus,NJ,4,Black Watch,World Class,52.3,1979
06/17,Geneseo,IL,1,Madison Scouts,World Class,76.7,1979
06/17,San Jose,CA,1,Vanguard,World Class,73.3,1979
06/23,Kenosha,WI,1,Phantom Regiment,World Class,76.05,1979
06/23,Welland,Ontario,1,Ambassadors,World Class,49.8,1979
06/17,Geneseo,IL,2,Phantom Regiment,World Class,76.1,1979
06/17,San Jose,CA,2,Blue Devils,World Class,71.95,1979
06/23,Kenosha,WI,2,Pioneer,World Class,55.35,1979
06/23,Welland,Ontario,2,Bluewater Buccaneers,World Class,40.2,1979
06/17,Geneseo,IL,3,Blue Stars,World Class,68.35,1979
06/17,San Jose,CA,3,Freelancers,World Class,59.9,1979
06/23,Kenosha,WI,3,Kilties,World Class,52.85,1979
06/23,Welland,Ontario,3,Golden Lions,World Class,23.2,1979
06/17,Geneseo,IL,4,Guardsmen,World Class,66.4,1979
06/17,San Jose,CA,4,San Jose Raiders,World Class,25.8,1979
06/23,Kenosha,WI,4,CapitolAires,World Class,43.9,1979
06/23,Welland,Ontario,4,Oshawa Rebels,World Class,23.1,1979
06/17,Geneseo,IL,5,Argonne Rebels,World Class,47.75,1979
06/23,Kenosha,WI,5,Illiana Lancers,World Class,34.3,1979
06/23,Altoona,PA,1,Spirit of Atlanta,World Class,71.4,1979
06/23,Boston,MA,1,New York Skyliners,World Class,75.45,1979
06/23,Rochester,NY,1,Reading Buccaneers,World Class,79.8,1979
06/23,Johnsonburg,PA,1,Reading Buccaneers,World Class,79.8,1979
06/23,Altoona,PA,2,Crossmen,World Class,70.05,1979
06/23,Boston,MA,2,Sunrisers,World Class,73.4,1979
06/23,Rochester,NY,2,Hawthorne Caballeros,World Class,75.0,1979
06/23,Johnsonburg,PA,2,Westshoremen,World Class,62.1,1979
06/23,Altoona,PA,3,27th Lancers,World Class,55.5,1979
