Date,City,State,Place,Corps,Class,Score,Year
06/22,Indianapolis,IN,1,Bluecoats,World Class,72.3,2017
06/23,Clovis,CA,1,Blue Devils,World Class,71.75,2017
06/24,Massillon,OH,1,Bluecoats,World Class,72.7,2017
06/24,Whitewater,WI,1,Cavaliers,World Class,71.05,2017
06/22,Indianapolis,IN,2,Carolina Crown,World Class,70.95,2017
06/23,Clovis,CA,2,Vanguard,World Class,70.05,2017
06/24,Massillon,OH,2,Carolina Crown,World Class,71.45,2017
06/24,Whitewater,WI,2,Crossmen,World Class,65.9,2017
06/22,Indianapolis,IN,3,Cavaliers,World Class,70.15,2017
06/23,Clovis,CA,3,Blue Knights,World Class,66.0,2017
06/24,Massillon,OH,3,Cadets,World Class,69.2,2017
06/24,Whitewater,WI,3,Blue Stars,World Class,65.65,2017
06/22,Indianapolis,IN,4,Cadets,World Class,68.3,2017
06/23,Clovis,CA,4,Phantom Regiment,World Class,64.65,2017
06/24,Massillon,OH,4,Boston Crusaders,World Class,68.15,2017
06/24,Whitewater,WI,4,Madison Scouts,World Class,64.2,2017
06/22,Indianapolis,IN,5,Blue Stars,World Class,64.15,2017
06/23,Clovis,CA,5,Academy,World Class,63.65,2017
06/24,Massillon,OH,5,Troopers,World Class,61.4,2017
06/24,Whitewater,WI,5,Colts,World Class,58.25,2017
06/22,Indianapolis,IN,6,Crossmen,World Class,63.8,2017
06/23,Clovis,CA,6,Mandarins,World Class,60.5,2017
06/24,Whitewater,WI,6,Pioneer,World Class,48.3,2017
06/23,Clovis,CA,7,Pacific Crest,World Class,60.5,2017
06/24,Whitewater,WI,1,Colt Cadets,Open Class,44.2,2017
06/23,Clovis,CA,1,Blue Devils B,Open Class,57.85,2017
06/23,Clovis,CA,2,Vanguard Cadets,Open Class,55.15,2017
06/23,Clovis,CA,3,Golden Empire,Open Class,49.7,2017
06/23,Clovis,CA,4,Blue Devils C,Open Class,44.95,2017
06/24,Sacramento,CA,1,Blue Knights,World Class,67.55,2017
06/24,West Pittston,PA,1,White Sabers,DCA Open Class,70.7,2017
06/25,Michigan City,IN,1,Carolina Crown,World Class,72.7,2017
06/25,Stanford,CA,1,Blue Devils,World Class,72.0,2017
06/24,Sacramento,CA,2,Phantom Regiment,World Class,65.5,2017
06/24,West Pittston,PA,2,Bushwackers,DCA Open Class,68.9,2017
06/25,Michigan City,IN,2,Cavaliers,World Class,71.5,2017
06/25,Stanford,CA,2,Vanguard,World Class,71.05,2017
06/24,Sacramento,CA,3,Academy,World Class,64.1,2017
06/24,West Pittston,PA,3,Connecticut Hurricanes,DCA Open Class,63.35,2017
06/25,Michigan City,IN,3,Blue Stars,World Class,66.1,2017
06/25,Stanford,CA,3,Blue Knights,World Class,67.85,2017
06/24,Sacramento,CA,4,Mandarins,World Class,62.1,2017
06/24,West Pittston,PA,4,Skyliners,DCA Open Class,62.7,2017
06/25,Michigan City,IN,4,Crossmen,World Class,66.0,2017
06/25,Stanford,CA,4,Phantom Regiment,World Class,66.7,2017
06/24,Sacramento,CA,5,Pacific Crest,World Class,60.2,2017
06/25,Michigan City,IN,5,Madison Scouts,World Class,64.6,2017
06/25,Stanford,CA,5,Mandarins,World Class,64.3,2017
06/24,West Pittston,PA,1,Erie Thunderbirds,DCA A Class,59.6,2017
06/25,Michigan City,IN,6,Colts,World Class,60.6,2017
06/25,Stanford,CA,6,Academy,World Class,63.35,2017
06/24,Sacramento,CA,1,Golden Empire,Open Class,49.0,2017
06/25,Michigan City,IN,7,Pioneer,World Class,49.2,2017
06/25,Stanford,CA,7,Pacific Crest,World Class,60.65,2017
06/25,Michigan City,IN,1,Colt Cadets,Open Class,44.1,2017
06/25,Stanford,CA,1,Blue Devils B,Open Class,58.15,2017
06/25,Stanford,CA,2,Vanguard Cadets,Open Class,56.8,2017
