Date,City,State,Place,Corps,Class,Score,Year
06/07,Medford,MA,1,Phoenix,World Class,60.5,1997
06/13,Oswego,IL,1,Phantom Regiment,World Class,71.6,1997
06/14,Toledo,OH,1,Phantom Regiment,World Class,69.6,1997
06/14,Fitchburg,MA,1,J's,World Class,66.1,1997
06/07,Medford,MA,2,Citations,World Class,56.6,1997
06/13,Oswego,IL,2,Cavaliers,World Class,69.3,1997
06/14,Toledo,OH,2,Cadets,World Class,66.7,1997
06/14,Fitchburg,MA,2,Citations,World Class,66.0,1997
06/07,Medford,MA,3,Fitchburg Kingsmen,World Class,56.0,1997
06/13,Oswego,IL,3,Colts,World Class,64.1,1997
06/14,Toledo,OH,3,Cavaliers,World Class,66.4,1997
06/14,Fitchburg,MA,3,Phoenix,World Class,65.9,1997
06/07,Medford,MA,4,J's,World Class,54.5,1997
06/13,Oswego,IL,4,Pioneer,World Class,51.8,1997
06/14,Toledo,OH,4,Glassmen,World Class,61.2,1997
06/14,Fitchburg,MA,4,Fitchburg Kingsmen,World Class,64.6,1997
06/07,Medford,MA,5,Citation Juniors,World Class,39.0,1997
06/13,Oswego,IL,5,Blue Stars,World Class,40.8,1997
06/14,Toledo,OH,5,Colts,World Class,60.1,1997
06/14,Fitchburg,MA,5,Targets,World Class,51.1,1997
06/07,Medford,MA,6,Royal Cadets,World Class,25.2,1997
06/13,Oswego,IL,6,Capital Sound,World Class,37.7,1997
06/14,Toledo,OH,6,Empire Statesmen,World Class,56.6,1997
06/14,Fitchburg,MA,6,Citation Juniors,World Class,50.9,1997
06/07,Medford,MA,7,Braintree Braves,World Class,9.0,1997
06/13,Oswego,IL,7,Phantom Regiment Cadets,World Class,31.5,1997
06/14,Toledo,OH,7,Pioneer,World Class,51.8,1997
06/14,Fitchburg,MA,7,Royal Cadets,World Class,43.0,1997
06/14,Toledo,OH,8,Golden Lancers,World Class,38.4,1997
06/14,Fitchburg,MA,7,Buccaneers,World Class,43.0,1997
06/14,Fitchburg,MA,9,Braintree Braves,World Class,20.2,1997
06/14,Menasha,WI,1,Madison Scouts,World Class,70.8,1997
06/14,Red Bank,NJ,1,Syracuse Brigadiers,World Class,69.6,1997
06/15,Parma,OH,1,Cadets,World Class,66.0,1997
06/15,Athol,MA,1,Fitchburg Kingsmen,World Class,68.6,1997
06/14,Menasha,WI,2,Capital Sound,World Class,45.6,1997
06/14,Red Bank,NJ,2,Hawthorne Caballeros,World Class,68.3,1997
06/15,Parma,OH,2,Glassmen,World Class,61.2,1997
06/15,Athol,MA,2,Phoenix,World Class,68.5,1997
06/14,Menasha,WI,3,Blue Stars,World Class,44.7,1997
06/14,Red Bank,NJ,3,Bushwackers,World Class,65.0,1997
06/15,Parma,OH,3,Colts,World Class,57.5,1997
06/15,Athol,MA,3,J's,World Class,64.8,1997
06/14,Menasha,WI,4,Phantom Regiment Cadets,World Class,38.2,1997
06/14,Red Bank,NJ,4,Sunrisers,World Class,64.6,1997
06/15,Parma,OH,4,Pioneer,World Class,51.2,1997
06/15,Athol,MA,4,Targets,World Class,49.1,1997
06/14,Menasha,WI,5,Decorah Kilties,World Class,27.5,1997
06/14,Red Bank,NJ,5,Connecticut Hurricanes,World Class,59.1,1997
06/15,Parma,OH,5,Golden Lancers,World Class,41.6,1997
06/15,Athol,MA,5,Royal Cadets,World Class,46.5,1997
06/14,Menasha,WI,6,Coachmen,World Class,22.4,1997
06/14,Red Bank,NJ,6,Rochester Crusaders,World Class,57.7,1997
06/15,Parma,OH,6,Marion Cadets,World Class,40.2,1997
06/15,Athol,MA,6,Buccaneers,World Class,43.7,1997
06/14,Red Bank,NJ,7,New York Skyliners,World Class,56.8,1997
06/15,Parma,OH,7,Bluegrass Brass,World Class,34.3,1997
06/15,Athol,MA,7,Braintree Braves,World Class,11.7,1997
06/15,Parma,OH,8,Coachmen,World Class,21.4,1997
06/16,Upper Sandusky,OH,1,Phantom Regiment,World Class,70.2,1997
06/17,Cincinnati,OH,1,Madison Scouts,World Class,71.8,1997
06/18,Bridgeville,PA,1,Phantom Regiment,World Class,72.6,1997
06/19,Otsego,MI,1,Cadets,World Class,72.2,1997
06/16,Upper Sandusky,OH,2,Madison Scouts,World Class,69.9,1997
06/17,Cincinnati,OH,2,Phantom Regiment,World Class,71.7,1997
06/18,Bridgeville,PA,2,Madison Scouts,World Class,70.0,1997
06/19,Otsego,MI,2,Glassmen,World Class,66.3,1997
06/16,Upper Sandusky,OH,3,Colts,World Class,60.4,1997
06/17,Cincinnati,OH,3,Americanos,World Class,43.5,1997
06/18,Bridgeville,PA,3,Glassmen,World Class,67.0,1997
06/19,Otsego,MI,3,Colts,World Class,64.1,1997
06/16,Upper Sandusky,OH,4,Pioneer,World Class,54.2,1997
06/17,Cincinnati,OH,3,Marion Cadets,World Class,43.5,1997
06/18,Bridgeville,PA,4,Colts,World Class,62.4,1997
06/19,Otsego,MI,4,Pioneer,World Class,56.6,1997
06/16,Upper Sandusky,OH,5,Marion Cadets,World Class,42.7,1997
06/17,Cincinnati,OH,5,Golden Lancers,World Class,42.7,1997
06/18,Bridgeville,PA,5,Pioneer,World Class,57.8,1997
06/19,Otsego,MI,5,Kiwanis Kavaliers,World Class,52.8,1997
06/16,Upper Sandusky,OH,6,Golden Lancers,World Class,41.1,1997
06/17,Cincinnati,OH,6,Cincinnati Glory,World Class,36.0,1997
06/18,Bridgeville,PA,6,Golden Lancers,World Class,43.6,1997
06/19,Otsego,MI,6,Americanos,World Class,43.2,1997
06/16,Upper Sandusky,OH,7,Americanos,World Class,39.5,1997
06/17,Cincinnati,OH,7,Coachmen,World Class,26.0,1997
06/18,Bridgeville,PA,7,Americanos,World Class,43.2,1997
06/19,Otsego,MI,7,Golden Lancers,World Class,40.5,1997
06/18,Bridgeville,PA,8,Marion Cadets,World Class,42.0,1997
06/19,Otsego,MI,8,Coachmen,World Class,30.1,1997
06/20,Vallejo,CA,1,Blue Devils,World Class,78.5,1997
06/20,LaPorte,IN,1,Cadets,World Class,72.7,1997
06/21,Hayward,CA,1,Blue Devils,World Class,80.7,1997
06/21,Red Lion,PA,1,Hawthorne Caballeros,World Class,70.4,1997
06/20,Vallejo,CA,2,Cavaliers,World Class,73.2,1997
06/20,LaPorte,IN,2,Madison Scouts,World Class,72.3,1997
06/21,Hayward,CA,2,Cavaliers,World Class,74.4,1997
06/21,Red Lion,PA,2,Bushwackers,World Class,68.7,1997
06/20,Vallejo,CA,3,Vanguard,World Class,69.0,1997
06/20,LaPorte,IN,3,Glassmen,World Class,66.2,1997
06/21,Hayward,CA,3,Vanguard,World Class,71.2,1997
06/21,Red Lion,PA,3,Sunrisers,World Class,67.0,1997
06/20,LaPorte,IN,4,Colts,World Class,62.3,1997
06/21,Red Lion,PA,4,Westshoremen,World Class,65.5,1997
06/20,Vallejo,CA,1,Mandarins,World Class,63.9,1997
06/20,LaPorte,IN,5,Pioneer,World Class,56.5,1997
06/21,Hayward,CA,1,Blue Devils B,World Class,68.0,1997
06/21,Red Lion,PA,5,Reading Buccaneers,World Class,55.1,1997
06/20,Vallejo,CA,2,Pacific Crest,World Class,63.7,1997
06/20,LaPorte,IN,6,Capital Sound,World Class,44.8,1997
06/21,Hayward,CA,2,Pacific Crest,World Class,67.6,1997
06/20,Vallejo,CA,3,Blue Devils B,World Class,63.6,1997
06/20,LaPorte,IN,7,Blue Stars,World Class,47.1,1997
06/21,Hayward,CA,3,Mandarins,World Class,66.7,1997
06/20,Vallejo,CA,4,Vanguard Cadets,World Class,53.3,1997
06/20,LaPorte,IN,8,Golden Lancers,World Class,41.3,1997
06/21,Hayward,CA,4,Vanguard Cadets,World Class,57.1,1997
06/20,LaPorte,IN,9,Wabash Crusaders,World Class,25.1,1997
06/21,Malden,MA,1,East Coast Jazz,World Class,74.6,1997
06/21,Hamilton,Ontario,1,Emerald Knights,World Class,61.0,1997
06/21,Streator,IL,1,Phantom Regiment,World Class,74.5,1997
06/21,Waukesha,WI,1,Cadets,World Class,73.9,1997
06/21,Malden,MA,2,Spartans,World Class,72.9,1997
06/21,Hamilton,Ontario,2,Saint John's,World Class,58.0,1997
06/21,Streator,IL,2,Blue Knights,World Class,64.6,1997
06/21,Waukesha,WI,2,Madison Scouts,World Class,73.8,1997
06/21,Malden,MA,3,Phoenix,World Class,64.1,1997
06/21,Hamilton,Ontario,3,Conqueror II,World Class,53.4,1997
06/21,Streator,IL,3,Colts,World Class,64.1,1997
06/21,Waukesha,WI,3,Glassmen,World Class,66.4,1997
06/21,Malden,MA,4,Knight Storm,World Class,62.7,1997
06/21,Hamilton,Ontario,4,Ridge Raiders,World Class,36.3,1997
06/21,Streator,IL,4,Kiwanis Kavaliers,World Class,58.8,1997
06/21,Waukesha,WI,4,Blue Stars,World Class,47.0,1997
06/21,Malden,MA,5,Kips Bay Knight Club,World Class,58.8,1997
06/21,Hamilton,Ontario,5,Blue Saints,World Class,34.0,1997
06/21,Streator,IL,5,Capital Sound,World Class,47.6,1997
06/21,Waukesha,WI,5,Americanos,World Class,40.3,1997
06/21,Malden,MA,6,Citations,World Class,58.2,1997
06/21,Streator,IL,6,Phantom Regiment Cadets,World Class,43.6,1997
