Date,City,State,Place,Corps,Class,Score,Year
06/23,Indianapolis,IN,1,Bluecoats,World Class,69.7,2016
06/24,Fresno,CA,1,Blue Devils,World Class,68.95,2016
06/25,Massillon,OH,1,Bluecoats,World Class,71.5,2016
06/23,Indianapolis,IN,2,Carolina Crown,World Class,69.2,2016
06/24,Fresno,CA,2,Vanguard,World Class,66.8,2016
06/25,Massillon,OH,2,Carolina Crown,World Class,70.3,2016
06/23,Indianapolis,IN,3,Cadets,World Class,66.95,2016
06/24,Fresno,CA,3,Madison Scouts,World Class,64.25,2016
06/25,Massillon,OH,3,Phantom Regiment,World Class,66.7,2016
06/23,Indianapolis,IN,4,Cavaliers,World Class,65.4,2016
06/24,Fresno,CA,4,Blue Knights,World Class,62.45,2016
06/25,Massillon,OH,4,Boston Crusaders,World Class,62.4,2016
06/23,Indianapolis,IN,5,Phantom Regiment,World Class,63.45,2016
06/24,Fresno,CA,5,Academy,World Class,58.9,2016
06/25,Massillon,OH,5,Crossmen,World Class,61.5,2016
06/23,Indianapolis,IN,6,Boston Crusaders,World Class,60.45,2016
06/24,Fresno,CA,6,Mandarins,World Class,54.5,2016
06/24,Fresno,CA,7,Pacific Crest,World Class,53.7,2016
06/24,Fresno,CA,1,Blue Devils B,Open Class,50.2,2016
06/24,Fresno,CA,2,Vanguard Cadets,Open Class,50.15,2016
06/24,Fresno,CA,3,Golden Empire,Open Class,45.15,2016
06/24,Fresno,CA,4,Blue Devils C,Open Class,37.95,2016
06/25,Whitewater,WI,1,Cadets,World Class,67.2,2016
06/25,Sacramento,CA,1,Blue Devils,World Class,69.2,2016
06/25,Lake Lehman,PA,1,Fusion Core,DCA Open Class,77.2,2016
06/26,Michigan City,IN,1,Cadets,World Class,69.5,2016
06/25,Whitewater,WI,2,Cavaliers,World Class,66.2,2016
06/25,Sacramento,CA,2,Vanguard,World Class,67.15,2016
06/25,Lake Lehman,PA,2,White Sabers,DCA Open Class,71.9,2016
06/26,Michigan City,IN,2,Cavaliers,World Class,67.1,2016
06/25,Whitewater,WI,3,Blue Stars,World Class,61.9,2016
06/25,Sacramento,CA,3,Madison Scouts,World Class,63.35,2016
06/25,Lake Lehman,PA,3,Skyliners,DCA Open Class,69.2,2016
06/26,Michigan City,IN,3,Troopers,World Class,62.4,2016
06/25,Whitewater,WI,4,Troopers,World Class,58.4,2016
06/25,Sacramento,CA,4,Blue Knights,World Class,62.25,2016
06/25,Lake Lehman,PA,4,Bushwackers,DCA Open Class,68.7,2016
06/26,Michigan City,IN,4,Colts,World Class,59.4,2016
06/25,Whitewater,WI,5,Colts,World Class,58.1,2016
06/25,Sacramento,CA,5,Academy,World Class,58.0,2016
06/26,Michigan City,IN,5,Pioneer,World Class,47.1,2016
06/25,Whitewater,WI,6,Pioneer,World Class,48.2,2016
06/25,Sacramento,CA,6,Mandarins,World Class,54.7,2016
06/25,Sacramento,CA,7,Pacific Crest,World Class,54.05,2016
06/26,Michigan City,IN,1,Genesis,Open Class,54.4,2016
06/25,Whitewater,WI,1,Colt Cadets,Open Class,36.9,2016
06/26,Michigan City,IN,2,Colt Cadets,Open Class,38.7,2016
06/25,Whitewater,WI,1,Kilties,DCA A Class,43.7,2016
06/25,Sacramento,CA,2,Blue Devils B,Open Class,50.3,2016
06/26,Michigan City,IN,1,Kilties,DCA A Class,52.6,2016
06/25,Sacramento,CA,3,Golden Empire,Open Class,45.15,2016
06/25,Sacramento,CA,4,Blue Devils C,Open Class,37.95,2016
06/26,Stanford,CA,1,Blue Devils,World Class,71.4,2016
06/27,Hamilton,OH,1,Bluecoats,World Class,72.8,2016
06/28,Pittsburgh,PA,1,Bluecoats,World Class,73.1,2016
06/28,Dublin,OH,1,Cavaliers,World Class,71.1,2016
06/26,Stanford,CA,2,Vanguard,World Class,69.25,2016
06/27,Hamilton,OH,2,Carolina Crown,World Class,71.8,2016
