Date,City,State,Place,Corps,Class,Score,Year
06/24,Oceanside,CA,1,Vanguard,World Class,69.95,2022
06/25,Bridgeport,CT,1,Hawthorne Caballeros,DCA World Class,74.95,2022
06/25,Pasadena,CA,1,Blue Devils,World Class,72.3,2022
06/26,San Bernardino,CA,1,Blue Devils,World Class,73.5,2022
06/24,Oceanside,CA,2,Mandarins,World Class,65.3,2022
06/25,Bridgeport,CT,2,Bushwackers,DCA World Class,70.85,2022
06/25,Pasadena,CA,2,Vanguard,World Class,70.9,2022
06/26,San Bernardino,CA,2,Vanguard,World Class,71.85,2022
06/24,Oceanside,CA,3,Academy,World Class,61.45,2022
06/25,Pasadena,CA,3,Mandarins,World Class,66.45,2022
06/26,San Bernardino,CA,3,Mandarins,World Class,67.65,2022
06/24,Oceanside,CA,4,Pacific Crest,World Class,57.75,2022
06/25,Bridgeport,CT,1,Connecticut Hurricanes,DCA Open Class,68.35,2022
06/25,Pasadena,CA,4,Academy,World Class,62.15,2022
06/26,San Bernardino,CA,4,Academy,World Class,63.65,2022
06/25,Pasadena,CA,5,Pacific Crest,World Class,57.35,2022
06/26,San Bernardino,CA,5,Pacific Crest,World Class,58.25,2022
06/24,Oceanside,CA,2,Golden Empire,Open Class,46.75,2022
06/25,Pasadena,CA,1,Gold,Open Class,54.6,2022
06/26,San Bernardino,CA,1,Gold,Open Class,56.35,2022
06/24,Oceanside,CA,3,Impulse,Open Class,33.95,2022
06/25,Pasadena,CA,2,Golden Empire,Open Class,46.75,2022
06/26,San Bernardino,CA,2,Golden Empire,Open Class,47.05,2022
06/25,Pasadena,CA,3,Impulse,Open Class,37.5,2022
06/26,San Bernardino,CA,3,Impulse,Open Class,38.5,2022
06/24,Oceanside,CA,1,Bluecoats,World Class,71.7,2022
06/24,Oceanside,CA,2,Boston Crusaders,World Class,69.45,2022
06/24,Oceanside,CA,3,Cavaliers,World Class,67.6,2022
06/24,Oceanside,CA,4,Phantom Regiment,World Class,65.75,2022
06/24,Oceanside,CA,5,Blue Stars,World Class,65.15,2022
06/24,Oceanside,CA,6,Crossmen,World Class,63.35,2022
07/01,Muncie,IN,1,Carolina Crown,World Class,73.45,2022
07/02,Quincy,MA,1,Boston Crusaders,World Class,72.9,2022
07/02,Kent,OH,1,Carolina Crown,World Class,74.4,2022
07/02,Madison,WI,1,Cavaliers,World Class,72.3,2022
07/01,Muncie,IN,2,Cavaliers,World Class,70.2,2022
07/02,Quincy,MA,2,Cadets,World Class,69.15,2022
07/02,Kent,OH,2,Bluecoats,World Class,73.95,2022
07/02,Madison,WI,2,Blue Stars,World Class,70.0,2022
07/01,Muncie,IN,3,Phantom Regiment,World Class,67.75,2022
07/02,Quincy,MA,3,Jersey Surf,World Class,57.0,2022
07/02,Kent,OH,3,Music City,World Class,60.25,2022
07/02,Madison,WI,3,Colts,World Class,65.85,2022
07/01,Muncie,IN,4,Blue Stars,World Class,67.4,2022
07/02,Madison,WI,4,Madison Scouts,World Class,64.5,2022
07/01,Muncie,IN,5,Crossmen,World Class,63.15,2022
07/02,Quincy,MA,1,Spartans,Open Class,58.3,2022
07/02,Kent,OH,1,Cincinnati Tradition,DCA Open Class,64.35,2022
07/01,Muncie,IN,6,Colts,World Class,62.35,2022
07/02,Quincy,MA,2,7th Regiment,Open Class,46.75,2022
07/02,Madison,WI,1,River City Rhythm,Open Class,48.45,2022
07/02,Kent,OH,1,Columbus Saints,DCA A Class,49.7,2022
07/02,Madison,WI,2,Colt Cadets,Open Class,47.75,2022
07/02,Tempe,AZ,1,Blue Devils,World Class,75.45,2022
07/03,Lynn,MA,1,Boston Crusaders,World Class,74.75,2022
07/03,Lisle,IL,1,Cavaliers,World Class,73.4,2022
07/03,Cedarburg,WI,1,Blue Stars,World Class,72.15,2022
07/02,Tempe,AZ,2,Vanguard,World Class,74.05,2022
07/03,Lynn,MA,2,Cadets,World Class,71.35,2022
07/03,Lisle,IL,2,Crossmen,World Class,68.25,2022
07/03,Cedarburg,WI,2,Madison Scouts,World Class,65.0,2022
07/02,Tempe,AZ,3,Blue Knights,World Class,66.7,2022
07/03,Lynn,MA,3,Jersey Surf,World Class,59.1,2022
07/03,Lisle,IL,3,Colts,World Class,65.4,2022
07/02,Tempe,AZ,4,Academy,World Class,63.5,2022
07/03,Lisle,IL,4,Music City,World Class,64.15,2022
07/03,Cedarburg,WI,1,Colt Cadets,Open Class,49.85,2022
07/02,Tempe,AZ,5,Pacific Crest,World Class,59.9,2022
07/03,Lynn,MA,1,Spartans,Open Class,60.6,2022
07/03,Cedarburg,WI,2,River City Rhythm,Open Class,49.75,2022
07/03,Lynn,MA,2,7th Regiment,Open Class,48.8,2022
