Date,City,State,Place,Corps,Class,Score,Year
06/04,New Haven ,CT,1,New York Skyliners,World Class,82.336,1966
06/05,Hershey,PA,1,Reading Buccaneers,World Class,81.7,1966
06/11,Herkimer,NY,1,Reading Buccaneers,World Class,80.166,1966
06/11,Stratford,CT,1,Connecticut Hurricanes,World Class,83.73,1966
06/04,New Haven ,CT,2,Reading Buccaneers,World Class,79.483,1966
06/05,Hershey,PA,2,Westshoremen,World Class,77.08,1966
06/11,Herkimer,NY,2,New York Skyliners,World Class,79.933,1966
06/11,Stratford,CT,2,Hawthorne Caballeros,World Class,80.53,1966
06/04,New Haven ,CT,3,Yankee Rebels,World Class,79.0,1966
06/05,Hershey,PA,3,Hamburg Kingsmen,World Class,76.88,1966
06/11,Herkimer,NY,3,Lt. Norman Princemen,World Class,75.5,1966
06/11,Stratford,CT,3,Rochester Crusaders,World Class,77.53,1966
06/04,New Haven ,CT,4,Archer Epler Musketeers,World Class,74.533,1966
06/05,Hershey,PA,4,Archer Epler Musketeers,World Class,75.43,1966
06/11,Herkimer,NY,4,Archer Epler Musketeers,World Class,73.45,1966
06/11,Stratford,CT,4,Sunrisers,World Class,76.51,1966
06/04,New Haven ,CT,5,Les Metropolitans,World Class,65.033,1966
06/05,Hershey,PA,5,Reilly Raiders,World Class,67.7,1966
06/11,Herkimer,NY,5,Reilly Raiders,World Class,64.85,1966
06/11,Stratford,CT,5,Marksmen,World Class,69.41,1966
06/11,Herkimer,NY,6,Les Metropolitans,World Class,64.81,1966
06/11,New Haven ,CT,1,Connecticut Hurricanes,World Class,84.95,1966
06/12,Harrisburg,PA,1,Hanover Lancers,World Class,78.16,1966
06/18,Toronto,Ontario,1,Hawthorne Caballeros,World Class,83.55,1966
06/18,Hershey,PA,1,Reading Buccaneers,World Class,81.07,1966
06/11,New Haven ,CT,2,Sunrisers,World Class,77.13,1966
06/12,Harrisburg,PA,2,Westshoremen,World Class,76.43,1966
06/18,Toronto,Ontario,2,Rochester Crusaders,World Class,82.35,1966
06/18,Hershey,PA,2,Westshoremen,World Class,77.08,1966
06/11,New Haven ,CT,3,Archer Epler Musketeers,World Class,69.55,1966
06/12,Harrisburg,PA,3,Sentinels,World Class,66.66,1966
06/18,Toronto,Ontario,3,Canadian Commanders,World Class,80.65,1966
06/18,Hershey,PA,3,Hamburg Kingsmen,World Class,76.88,1966
06/11,New Haven ,CT,4,Les Diplomates,World Class,68.33,1966
06/12,Harrisburg,PA,4,Stateliners,World Class,55.68,1966
06/18,Toronto,Ontario,4,Les Diplomates,World Class,78.95,1966
06/18,Hershey,PA,4,Archer Epler Musketeers,World Class,75.43,1966
06/11,New Haven ,CT,5,Interstatesmen,World Class,66.28,1966
06/18,Hershey,PA,5,Reilly Raiders,World Class,67.7,1966
06/11,New Haven ,CT,6,Lt. Norman Princemen,World Class,60.11,1966
06/18,Allentown,PA,1,New York Skyliners,World Class,80.21,1966
06/18,Charleston,MA,1,Connecticut Hurricanes,World Class,84.95,1966
06/18,Torrington,VT,1,New York Skyliners,World Class,84.18,1966
06/25,Boston,MA,1,Connecticut Hurricanes,World Class,83.83,1966
06/18,Allentown,PA,2,Reading Buccaneers,World Class,79.85,1966
06/18,Charleston,MA,2,Sunrisers,World Class,77.13,1966
06/18,Torrington,VT,2,Connecticut Hurricanes,World Class,83.8,1966
06/25,Boston,MA,2,New York Skyliners,World Class,82.92,1966
