Date,City,State,Place,Corps,Class,Score,Year
06/03,Rockford,IL,1,Phantom Regiment,World Class,69.95,1978
06/03,Bayonne,NJ,1,Crossmen,World Class,69.5,1978
06/05,Newton,CT,1,Sunrisers,World Class,74.15,1978
06/08,Vancouver,WA,1,Black Watch-WA,World Class,59.5,1978
06/03,Rockford,IL,2,Guardsmen,World Class,60.2,1978
06/03,Bayonne,NJ,2,North Star,World Class,66.85,1978
06/05,Newton,CT,2,Hawthorne Caballeros,World Class,73.15,1978
06/08,Vancouver,WA,2,Seattle Cascades,World Class,56.85,1978
06/03,Rockford,IL,3,Pioneer,World Class,43.95,1978
06/03,Bayonne,NJ,3,Boston Crusaders,World Class,65.1,1978
06/05,Newton,CT,3,New York Skyliners,World Class,72.45,1978
06/08,Vancouver,WA,3,3rd Regiment,World Class,32.25,1978
06/03,Rockford,IL,4,CapitolAires,World Class,35.25,1978
06/03,Bayonne,NJ,4,27th Lancers,World Class,60.35,1978
06/05,Newton,CT,4,Matadors,World Class,67.7,1978
06/03,Rockford,IL,5,Phantom Regiment Cadets,World Class,26.45,1978
06/03,Bayonne,NJ,5,Garfield Cadets,World Class,54.75,1978
06/05,Newton,CT,5,Reading Buccaneers,World Class,60.9,1978
06/08,Vancouver,WA,1,Continentals-WA,World Class,30.8,1978
06/05,Newton,CT,6,Westshoremen,World Class,51.6,1978
06/08,Vancouver,WA,2,Drifters,World Class,,1978
06/08,Vancouver,WA,1,Marauders,World Class,33.2,1978
06/09,Platteville,WI,1,Madison Scouts,World Class,67.9,1978
06/10,Durand,WI,1,Blue Knights-MN,World Class,87.3,1978
06/10,Kitchner,Ontario,1,Ambassadors,World Class,49.8,1978
06/10,Kitchner,Ontario,1,Squires,World Class,56.4,1978
06/09,Platteville,WI,2,Blue Stars,World Class,59.05,1978
06/10,Durand,WI,2,Wausau Story,World Class,85.2,1978
06/10,Kitchner,Ontario,2,Kiwanis Kavaliers,World Class,47.5,1978
06/10,Kitchner,Ontario,2,Cardinals,World Class,55.15,1978
06/09,Platteville,WI,3,Colts,World Class,47.2,1978
06/10,Durand,WI,3,Sundowners,World Class,81.5,1978
06/10,Kitchner,Ontario,3,Saint Andrews,World Class,38.7,1978
06/10,Kitchner,Ontario,3,Oakland Crusaders,World Class,50.8,1978
06/09,Platteville,WI,4,Emerald Knights,World Class,40.25,1978
06/10,Durand,WI,4,CapitolAires,World Class,76.5,1978
06/10,Kitchner,Ontario,4,Coachmen,World Class,29.5,1978
06/10,Kitchner,Ontario,4,Les Chatelaines,World Class,50.4,1978
06/09,Platteville,WI,5,Pioneer,World Class,33.85,1978
06/10,Milwaukee,WI,1,Blue Stars,World Class,61.55,1978
06/10,Nutley,NJ,1,Crossmen,World Class,73.35,1978
06/10,Frankenmuth,MI,1,Saginaires,World Class,58.25,1978
06/10,Fort Dodge,IA,1,Phantom Regiment,World Class,72.9,1978
06/10,Milwaukee,WI,2,Guardsmen,World Class,60.75,1978
06/10,Nutley,NJ,2,Royal Brigade,World Class,60.05,1978
06/10,Frankenmuth,MI,2,Bandettes,World Class,34.95,1978
06/10,Fort Dodge,IA,2,Madison Scouts,World Class,67.7,1978
06/10,Milwaukee,WI,3,Kilties,World Class,59.25,1978
06/10,Nutley,NJ,3,Long Island Kingsmen,World Class,59.7,1978
06/10,Frankenmuth,MI,3,Midshipmen,World Class,33.65,1978
06/10,Fort Dodge,IA,3,Colts,World Class,50.55,1978
06/10,Milwaukee,WI,4,Cavaliers,World Class,55.0,1978
06/10,Nutley,NJ,4,Garfield Cadets,World Class,59.0,1978
06/10,Frankenmuth,MI,4,Lions of London,World Class,30.65,1978
06/10,Fort Dodge,IA,4,Emerald Knights,World Class,44.4,1978
06/10,Milwaukee,WI,5,Vaqueros,World Class,39.65,1978
06/10,Nutley,NJ,5,Black Watch-NJ,World Class,48.9,1978
06/10,Frankenmuth,MI,5,General Putnam's Men,World Class,28.65,1978
06/10,Fort Dodge,IA,5,Silver Sabres,World Class,39.5,1978
06/10,Fort Dodge,IA,6,Knights,World Class,39.45,1978
06/10,Lynn,MA,1,Bridgemen,World Class,80.45,1978
06/10,Johnstown,NY,1,Sunrisers,World Class,79.55,1978
06/10,Lewistown,PA,1,New York Skyliners,World Class,69.6,1978
06/11,Cedar Rapids,IA,1,Phantom Regiment,World Class,77.75,1978
06/10,Lynn,MA,2,North Star,World Class,77.35,1978
06/10,Johnstown,NY,2,Hawthorne Caballeros,World Class,72.2,1978
06/10,Lewistown,PA,2,Rochester Crusaders,World Class,55.85,1978
06/11,Cedar Rapids,IA,2,Madison Scouts,World Class,70.95,1978
06/10,Lynn,MA,3,Boston Crusaders,World Class,74.25,1978
06/10,Johnstown,NY,3,Connecticut Hurricanes,World Class,68.45,1978
06/10,Lewistown,PA,3,Westshoremen,World Class,53.9,1978
06/11,Cedar Rapids,IA,3,Colts,World Class,52.65,1978
06/10,Lynn,MA,4,Defenders,World Class,61.0,1978
06/10,Johnstown,NY,4,Matadors,World Class,63.9,1978
06/10,Lewistown,PA,4,Reading Buccaneers,World Class,53.5,1978
06/11,Cedar Rapids,IA,4,Silver Sabres,World Class,40.05,1978
06/10,Johnstown,NY,5,Royalaires,World Class,46.25,1978
06/10,Lewistown,PA,5,Thunderbirds,World Class,47.35,1978
06/11,Cedar Rapids,IA,5,Knights,World Class,36.7,1978
06/11,Troy,NY,1,Bridgemen,World Class,72.9,1978
06/11,Aurora,IL,1,Kilties,World Class,59.9,1978
06/11,Toronto,Ontario,1,Squires,World Class,61.12,1978
06/16,Canton,IL,1,Phantom Regiment,World Class,79.85,1978
06/11,Troy,NY,2,Garfield Cadets,World Class,61.3,1978
06/11,Aurora,IL,2,Guardsmen,World Class,59.6,1978
06/11,Toronto,Ontario,2,Cardinals,World Class,60.4,1978
06/16,Canton,IL,2,Madison Scouts,World Class,74.85,1978
06/11,Troy,NY,3,Long Island Kingsmen,World Class,57.1,1978
06/11,Aurora,IL,3,Cavaliers,World Class,50.7,1978
06/11,Toronto,Ontario,3,Oakland Crusaders,World Class,52.1,1978
06/16,Canton,IL,3,Colts,World Class,56.85,1978
06/11,Troy,NY,4,Royal Brigade,World Class,55.55,1978
06/11,Aurora,IL,4,Vaqueros,World Class,41.45,1978
06/11,Toronto,Ontario,4,Ventures,World Class,51.15,1978
06/16,Canton,IL,4,Knights,World Class,51.05,1978
06/11,Troy,NY,5,Connecticut Classics,World Class,41.95,1978
06/11,Aurora,IL,5,Pioneer,World Class,39.95,1978
06/11,Toronto,Ontario,5,Les Chatelaines,World Class,50.9,1978
06/16,Canton,IL,5,Pioneer,World Class,45.1,1978
06/11,Troy,NY,6,Brassmen,World Class,34.85,1978
06/11,Aurora,IL,6,Skokie Imperials,World Class,39.3,1978
06/16,Canton,IL,6,CapitolAires,World Class,43.8,1978
06/16,New York,NY,1,Sunrisers,World Class,82.15,1978
06/17,Hershey,PA,1,New York Skyliners,World Class,72.05,1978
