Date,City,State,Place,Corps,Class,Score,Year
06/03,New Haven,CT,1,New York Skyliners,World Class,76.45,1967
06/03,Hamilton,Ontario,1,Reading Buccaneers,World Class,86.683,1967
06/10,Stratford,CT,1,Connecticut Hurricanes,World Class,79.883,1967
06/10,Herkimer,NY,1,Reading Buccaneers,World Class,82.2,1967
06/03,New Haven,CT,2,Sunrisers,World Class,73.18,1967
06/03,Hamilton,Ontario,2,Rochester Crusaders,World Class,81.916,1967
06/10,Stratford,CT,2,Hawthorne Caballeros,World Class,79.25,1967
06/10,Herkimer,NY,2,New York Skyliners,World Class,80.1,1967
06/03,New Haven,CT,3,Yankee Rebels,World Class,71.95,1967
06/03,Hamilton,Ontario,3,Syracuse Brigadiers,World Class,81.633,1967
06/10,Stratford,CT,3,Sunrisers,World Class,73.333,1967
06/10,Herkimer,NY,3,Syracuse Brigadiers,World Class,79.2,1967
06/03,New Haven,CT,4,Archer Epler Musketeers,World Class,69.0,1967
06/03,Hamilton,Ontario,4,Hamburg Kingsmen,World Class,73.566,1967
06/10,Stratford,CT,4,Yankee Rebels,World Class,72.866,1967
06/10,Herkimer,NY,4,Rochester Crusaders,World Class,77.35,1967
06/03,New Haven,CT,5,Connecticut Yankees,World Class,68.81,1967
06/03,Hamilton,Ontario,5,Les Diplomats,World Class,72.58,1967
06/10,Stratford,CT,5,Marksmen,World Class,58.433,1967
06/10,Herkimer,NY,5,Canadian Commanders,World Class,76.35,1967
06/10,Herkimer,NY,6,Les Diplomats,World Class,74.91,1967
06/10,Stratford,CT,1,Connecticut Hurricanes,World Class,79.883,1967
06/14,Boston,MA,1,Connecticut Hurricanes,World Class,80.45,1967
06/17,Irwin,PA,1,Rockets,World Class,77.6,1967
06/17,Hershey,PA,1,Reading Buccaneers,World Class,84.6,1967
06/10,Stratford,CT,2,Hawthorne Caballeros,World Class,79.25,1967
06/14,Boston,MA,2,Reading Buccaneers,World Class,78.18,1967
06/17,Irwin,PA,2,Hamburg Kingsmen,World Class,73.983,1967
06/17,Hershey,PA,2,New York Skyliners,World Class,82.35,1967
06/10,Stratford,CT,3,Sunrisers,World Class,73.333,1967
06/14,Boston,MA,3,Hawthorne Caballeros,World Class,77.3,1967
06/17,Irwin,PA,3,Interstate Ambassadors,World Class,64.4,1967
06/17,Hershey,PA,3,Syracuse Brigadiers,World Class,78.88,1967
06/10,Stratford,CT,4,Yankee Rebels,World Class,72.866,1967
06/14,Boston,MA,4,Sunrisers,World Class,74.81,1967
06/17,Irwin,PA,4,Erie Thunderbirds,World Class,58.3,1967
06/17,Hershey,PA,4,Yankee Rebels,World Class,77.51,1967
06/10,Stratford,CT,5,Marksmen,World Class,58.433,1967
06/14,Boston,MA,5,Syracuse Brigadiers,World Class,72.51,1967
06/17,Hershey,PA,5,Westshoremen,World Class,71.86,1967
06/14,Boston,MA,6,Grey Knight Crusaders,World Class,72.1,1967
06/14,Boston,MA,7,Archer Epler Musketeers,World Class,63.83,1967
06/24,Chambersburg,PA,1,New York Skyliners,World Class,82.76,1967
06/24,Boston,MA,1,Connecticut Hurricanes,World Class,80.45,1967
06/24,Chambersburg,PA,2,Yankee Rebels,World Class,79.81,1967
06/24,Boston,MA,2,Reading Buccaneers,World Class,78.18,1967
06/24,Chambersburg,PA,3,Westshoremen,World Class,74.61,1967
06/24,Boston,MA,3,Hawthorne Caballeros,World Class,77.3,1967
06/24,Chambersburg,PA,4,Rockets,World Class,73.6,1967
06/24,Boston,MA,4,Sunrisers,World Class,74.8,1967
06/24,Boston,MA,5,Syracuse Brigadiers,World Class,72.51,1967
06/24,Boston,MA,6,Rochester Crusaders,World Class,72.1,1967
06/24,Boston,MA,7,Westshoremen,World Class,63.83,1967
07/01,Bridgeport,CT,1,Connecticut Hurricanes,World Class,76.45,1967
07/01,Oswego,NY,1,Syracuse Brigadiers,World Class,82.17,1967
07/02,Rome,NY,1,Syracuse Brigadiers,World Class,85.79,1967
07/08,Paterson,NJ,1,Connecticut Hurricanes,World Class,80.27,1967
07/01,Bridgeport,CT,2,Reading Buccaneers,World Class,73.18,1967
07/01,Oswego,NY,2,Rochester Crusaders,World Class,81.35,1967
07/02,Rome,NY,2,Rochester Crusaders,World Class,85.37,1967
07/08,Paterson,NJ,2,Reading Buccaneers,World Class,79.83,1967
07/01,Bridgeport,CT,3,New York Skyliners,World Class,71.95,1967
07/01,Oswego,NY,3,Canadian Commanders,World Class,76.68,1967
07/02,Rome,NY,3,Les Diplomates,World Class,81.0,1967
07/08,Paterson,NJ,3,New York Skyliners,World Class,76.68,1967
07/01,Bridgeport,CT,4,Yankee Rebels,World Class,69.0,1967
07/01,Oswego,NY,4,Westshoremen,World Class,76.0,1967
07/02,Rome,NY,4,Connecticut Yankees,World Class,75.0,1967
07/08,Paterson,NJ,4,Yankee Rebels,World Class,76.1,1967
07/01,Bridgeport,CT,5,Sunrisers,World Class,68.81,1967
07/01,Oswego,NY,5,Marksmen,World Class,72.96,1967
07/02,Rome,NY,5,Marksmen,World Class,73.0,1967
07/08,Paterson,NJ,5,Sunrisers,World Class,75.95,1967
07/08,Hershey,PA,1,Rockets,World Class,79.883,1967
07/08,Syracuse,NY,1,Rochester Crusaders,World Class,82.36,1967
07/14,McKee's Rock,PA,1,Rockets,World Class,80.117,1967
07/15,Baltimore,MD,1,Connecticut Hurricanes,World Class,83.7,1967
