Date,City,State,Place,Corps,Class,Score,Year
06/10,Appleton,WI,1,Madison Scouts,World Class,73.5,1989
06/10,Three Oaks,MI,1,Pioneer,World Class,36.0,1989
06/10,Stony Creek,Ontario,1,Ventures,World Class,52.8,1989
06/11,Sun Prairie,WI,1,Madison Scouts,World Class,63.4,1989
06/10,Appleton,WI,2,Quad City Knights,World Class,41.6,1989
06/10,Three Oaks,MI,2,Black Knights,World Class,27.2,1989
06/10,Stony Creek,Ontario,2,Kiwanis Kavaliers,World Class,49.4,1989
06/11,Sun Prairie,WI,2,Cavaliers,World Class,61.8,1989
06/10,Appleton,WI,3,Phantom Regiment Cadets,World Class,39.1,1989
06/10,Three Oaks,MI,3,Coachmen,World Class,21.0,1989
06/10,Stony Creek,Ontario,3,Cardinals,World Class,39.8,1989
06/11,Sun Prairie,WI,3,Quad City Knights,World Class,33.0,1989
06/10,Appleton,WI,4,Blue Stars,World Class,34.4,1989
06/10,Three Oaks,MI,4,Joliet Kingsmen,World Class,17.2,1989
06/11,Sun Prairie,WI,4,Bandettes,World Class,25.8,1989
06/10,Appleton,WI,5,Bandettes,World Class,33.9,1989
06/10,Three Oaks,MI,5,Racine Scouts,World Class,11.3,1989
06/10,Stony Creek,Ontario,1,Saint John's,World Class,22.1,1989
06/11,Sun Prairie,WI,5,Madison Junior Scouts,World Class,20.8,1989
06/10,Appleton,WI,6,Guardsmen,World Class,24.8,1989
06/10,Stony Creek,Ontario,2,Ridge Raiders,World Class,12.9,1989
06/11,Sun Prairie,WI,6,Guardsmen,World Class,19.6,1989
06/10,Appleton,WI,7,Northmen-WI,World Class,19.4,1989
06/16,Goshen,IN,1,Phantom Regiment,World Class,72.1,1989
06/17,Rock Island,IL,1,Madison Scouts,World Class,67.1,1989
06/17,Canton,OH,1,Phantom Regiment,World Class,71.5,1989
06/17,Morgan Hill,CA,1,Vanguard,World Class,74.7,1989
06/16,Goshen,IN,2,Star of Indiana,World Class,68.9,1989
06/17,Rock Island,IL,2,Sky Ryders,World Class,60.7,1989
06/17,Canton,OH,2,Cavaliers,World Class,67.3,1989
06/17,Morgan Hill,CA,2,Blue Devils,World Class,71.3,1989
06/16,Goshen,IN,3,Bluecoats,World Class,63.7,1989
06/17,Rock Island,IL,3,Quad City Knights,World Class,36.1,1989
06/17,Canton,OH,3,Bluecoats,World Class,63.2,1989
06/16,Goshen,IN,4,Colts,World Class,46.1,1989
06/17,Rock Island,IL,4,Phantom Regiment Cadets,World Class,29.3,1989
06/17,Canton,OH,4,Colts,World Class,46.3,1989
06/17,Morgan Hill,CA,1,Vanguard Cadets,World Class,58.5,1989
06/16,Goshen,IN,5,Glassmen,World Class,38.4,1989
06/17,Rock Island,IL,5,Emerald Knights-IA,World Class,27.6,1989
06/17,Canton,OH,5,Glassmen,World Class,38.8,1989
06/17,Morgan Hill,CA,2,Blue Devils B,World Class,53.5,1989
06/16,Goshen,IN,6,Quad City Knights,World Class,37.8,1989
06/17,Rock Island,IL,6,Northern Aurora,World Class,25.3,1989
06/17,Canton,OH,6,Limited Edition,World Class,36.8,1989
06/17,Morgan Hill,CA,3,Mandarins,World Class,50.7,1989
06/16,Goshen,IN,7,Northmen-WI,World Class,22.7,1989
06/17,Canton,OH,7,Northmen-WI,World Class,25.5,1989
06/16,Goshen,IN,8,Guardsmen,World Class,17.9,1989
06/17,Canton,OH,8,Guardsmen,World Class,21.6,1989
06/18,Oswego,IL,1,Star of Indiana,World Class,67.3,1989
06/18,Rochester,MN,1,Madison Scouts,World Class,71.7,1989
06/18,Youngstown,OH,1,Phantom Regiment,World Class,74.5,1989
06/19,Cedar Rapids,IA,1,Madison Scouts,World Class,70.7,1989
06/18,Oswego,IL,2,Quad City Knights,World Class,41.6,1989
06/18,Rochester,MN,2,Sky Ryders,World Class,64.3,1989
