Date,City,State,Place,Corps,Class,Score,Year
06/06,Wheaton,IL,1,Cavaliers,World Class,72.8,1987
06/07,Janesville,WI,1,Cavaliers,World Class,71.2,1987
06/11,Peterborough,Ontario,1,Dutch Boy,World Class,72.6,1987
06/13,Menasha,WI,1,Cavaliers,World Class,76.1,1987
06/06,Wheaton,IL,2,Madison Scouts,World Class,67.3,1987
06/07,Janesville,WI,2,Madison Scouts,World Class,66.0,1987
06/13,Menasha,WI,2,Madison Scouts,World Class,70.1,1987
06/06,Wheaton,IL,3,Knights,World Class,39.4,1987
06/07,Janesville,WI,3,Phantom Regiment Cadets,World Class,32.4,1987
06/11,Peterborough,Ontario,2,Ventures,World Class,60.4,1987
06/13,Menasha,WI,3,Colts,World Class,48.7,1987
06/06,Wheaton,IL,4,Guardsmen,World Class,39.1,1987
06/07,Janesville,WI,4,Madison Junior Scouts,World Class,25.7,1987
06/11,Peterborough,Ontario,3,Saint Francis Sancians,World Class,53.3,1987
06/13,Menasha,WI,4,Knights,World Class,43.8,1987
06/06,Wheaton,IL,5,Phantom Regiment Cadets,World Class,27.0,1987
06/07,Janesville,WI,5,Pioneer,World Class,21.4,1987
06/11,Peterborough,Ontario,4,Canadian Knights,World Class,40.3,1987
06/13,Menasha,WI,5,Guardsmen,World Class,38.8,1987
06/06,Wheaton,IL,6,Madison Junior Scouts,World Class,26.0,1987
06/07,Janesville,WI,6,CapitolAires,World Class,17.1,1987
06/11,Peterborough,Ontario,4,Kiwanis Kavaliers,World Class,40.3,1987
06/13,Menasha,WI,6,Blue Stars,World Class,33.6,1987
06/11,Peterborough,Ontario,6,Bandettes,World Class,33.1,1987
06/13,Menasha,WI,7,Phantom Regiment Cadets,World Class,31.0,1987
06/13,Menasha,WI,8,CapitolAires,World Class,22.2,1987
06/13,Menasha,WI,9,Pioneer,World Class,18.4,1987
06/13,Kitchner,Ontario,1,Dutch Boy,Open Class,56.6,1987
06/13,Colonie,NY,1,Hawthorne Caballeros,Open Class,70.1,1987
06/13,Kitchner,Ontario,1,Empire Statesmen,Open Class,72.5,1987
06/14,Elgin,IL,1,Madison Scouts,Open Class,76.4,1987
06/13,Colonie,NY,2,Sunrisers,Open Class,66.9,1987
06/13,Kitchner,Ontario,2,Guelph Royalaires,Open Class,53.8,1987
06/14,Elgin,IL,2,Colts,Open Class,59.0,1987
06/13,Kitchner,Ontario,1,Ventures,Open Class,44.2,1987
06/13,Colonie,NY,3,New York Skyliners,Open Class,61.3,1987
06/13,Kitchner,Ontario,3,Excalibur,Open Class,30.4,1987
06/14,Elgin,IL,3,Knights,Open Class,47.1,1987
06/13,Kitchner,Ontario,2,Kiwanis Kavaliers,Open Class,29.1,1987
06/13,Colonie,NY,4,Reading Buccaneers,Open Class,59.7,1987
06/14,Elgin,IL,4,Guardsmen,Open Class,43.2,1987
06/13,Kitchner,Ontario,3,Conqueror II,Open Class,26.5,1987
06/13,Colonie,NY,5,Connecticut Hurricanes,Open Class,51.8,1987
06/14,Elgin,IL,5,Phantom Regiment Cadets,Open Class,33.9,1987
06/13,Kitchner,Ontario,4,Oshawa Rebels,Open Class,15.4,1987
06/14,Elgin,IL,6,Emerald Knights-IA,Open Class,32.7,1987
06/13,Kitchner,Ontario,5,Cardinals,Open Class,14.3,1987
06/14,Elgin,IL,7,Madison Junior Scouts,Open Class,27.4,1987
06/14,Elgin,IL,8,Northmen-WI,Open Class,18.7,1987
06/19,Whitewater,WI,1,Cavaliers,Open Class,80.2,1987
06/19,Waterbury,CT,1,Hawthorne Caballeros,Open Class,78.4,1987
06/20,Somerville,MA,1,Garfield Cadets,Open Class,72.6,1987
06/20,Hershey,PA,1,Hawthorne Caballeros,Open Class,78.3,1987
06/19,Whitewater,WI,2,Madison Scouts,Open Class,76.0,1987
06/19,Waterbury,CT,2,New York Skyliners,Open Class,71.2,1987
06/20,Somerville,MA,2,Boston Crusaders,Open Class,55.2,1987
06/20,Hershey,PA,2,Steel City Ambassadors,Open Class,76.7,1987
06/19,Whitewater,WI,3,Star of Indiana,Open Class,71.1,1987
06/19,Waterbury,CT,3,Connecticut Hurricanes,Open Class,66.2,1987
06/20,Somerville,MA,3,Diplomats,Open Class,42.2,1987
06/20,Hershey,PA,3,Sunrisers,Open Class,72.0,1987
06/19,Whitewater,WI,4,Bluecoats,Open Class,68.8,1987
06/19,Waterbury,CT,4,New Image,Open Class,61.4,1987
06/20,Somerville,MA,4,Saint Francis Sancians,Open Class,39.2,1987
06/20,Hershey,PA,4,Rochester Crusaders,Open Class,71.0,1987
06/19,Whitewater,WI,5,Phantom Regiment,Open Class,68.7,1987
06/20,Somerville,MA,5,Bridgemen,Open Class,34.4,1987
06/20,Hershey,PA,5,Reading Buccaneers,Open Class,69.5,1987
06/19,Whitewater,WI,6,Sky Ryders,Open Class,62.4,1987
06/20,Hershey,PA,6,New York Skyliners,Open Class,67.2,1987
06/19,Whitewater,WI,7,Minnesota Brass,Open Class,44.2,1987
06/20,Hershey,PA,7,Westshoremen,Open Class,64.8,1987
06/19,Whitewater,WI,8,Colts,Open Class,41.9,1987
06/19,Whitewater,WI,9,Knights,Open Class,38.8,1987
06/19,Whitewater,WI,10,Glassmen,Open Class,31.4,1987
06/19,Whitewater,WI,11,Northern Aurora,Open Class,30.7,1987
06/20,Milwaukee,WI,1,Phantom Regiment,Open Class,76.3,1987
