Date,City,State,Place,Corps,Class,Score,Year
06/18,Wildwood,NJ,1,Reading Buccaneers,DCA Open Class,79.05,2011
06/18,Saginaw,TX,1,Carolina Crown,World Class,74.65,2011
06/19,Round Rock,TX,1,Cavaliers,World Class,74.35,2011
06/21,Indianapolis,IN,1,Madison Scouts,World Class,69.1,2011
06/18,Wildwood,NJ,2,Hawthorne Caballeros,DCA Open Class,72.55,2011
06/18,Saginaw,TX,2,Cavaliers,World Class,74.3,2011
06/19,Round Rock,TX,2,Cadets,World Class,72.6,2011
06/21,Indianapolis,IN,2,Troopers,World Class,63.7,2011
06/18,Saginaw,TX,3,Blue Devils,World Class,74.05,2011
06/19,Round Rock,TX,3,Blue Devils,World Class,72.55,2011
06/21,Indianapolis,IN,3,Crossmen,World Class,60.9,2011
06/18,Wildwood,NJ,1,Carolina Gold,DCA A Class,70.5,2011
06/18,Saginaw,TX,4,Cadets,World Class,71.05,2011
06/19,Round Rock,TX,4,Carolina Crown,World Class,70.6,2011
06/21,Indianapolis,IN,4,Pioneer,World Class,50.9,2011
06/18,Wildwood,NJ,2,Fusion Core,DCA A Class,70.15,2011
06/18,Saginaw,TX,5,Phantom Regiment,World Class,69.95,2011
06/19,Round Rock,TX,5,Bluecoats,World Class,70.15,2011
06/18,Wildwood,NJ,3,Windsor Regiment,DCA A Class,65.3,2011
06/18,Saginaw,TX,6,Bluecoats,World Class,68.9,2011
06/19,Round Rock,TX,6,Phantom Regiment,World Class,69.1,2011
06/18,Wildwood,NJ,4,Sunrisers,DCA A Class,57.85,2011
06/18,Saginaw,TX,7,Vanguard,World Class,68.45,2011
06/19,Round Rock,TX,7,Vanguard,World Class,67.5,2011
06/18,Saginaw,TX,8,Blue Stars,World Class,64.75,2011
06/19,Round Rock,TX,8,Blue Stars,World Class,66.2,2011
06/21,Martin,TN,1,Cavaliers,World Class,75.1,2011
06/21,Albuquerque,NM,1,Cadets,World Class,72.6,2011
06/22,Mesa,AZ,1,Cadets,World Class,75.0,2011
