corps,logo,live
7th Regiment,7th,true
Academy,aca,true
Battalion,bta-white,true
Blue Devils,bd,true
Blue Devils B,bdb,true
Blue Devils C,bdc,true
Blue Knights,bk,true
Blue Stars,bs,true
Bluecoats,blo,true
Boston Crusaders,bac,true
Carolina Crown,crw,true
Cavaliers,cav,true
Colt Cadets,cc,true
Colts,clt,true
Columbians,col,true
Crossmen,xmn,true
Genesis,gen,true
Gold,gld,true
Golden Empire,ge,true
Guardians,gua,true
Impulse,imp,true
Jersey Surf,srf,true
Les Stentors,les,true
Madison Scouts,mad,true
Mandarins,man,true
Music City,mc,true
Pacific Crest,pac,true
Phantom Regiment,pr,true
Raiders,rai,true
River City Rhythm,rcr,true
Seattle Cascades,cas,true
Spartans,spr,true
Spirit of Atlanta,soa,true
Troopers,tro,true
Vanguard,scv,true
Vanguard Cadets,scvc,true
Vessel,ves,true
Pioneer,pio,true
Southwind,sw,true
Louisiana Stars,las,true
Legends,leg,true
Heat Wave,hw,true
Oregon Crusaders,oc,true
Cadets,cad,true
Glassmen,gme,true
12th Command
1st Baptist Cadets
1st Canadian Cavaliers
1st Canadian Regiment
1st Defenders
20th Maine Regiment
21st Lancers
27th Lancer Cadets
27th Lancers,27th,true
2e Décade
2nd Decade
2nd Signals Regiment
3 Townsmen-ONT
32nd Hussar
3e Régiment
3ième Régiment
3rd Canadian Regiment
3rd Generation
3rd Regiment
3rd Regiment of Portland
3rd Regiment-Portland
4 AS
4th Brigade
507 Hornets
5th Column RCASC
5th Maine Regiment
5th Regiment
6 Midshipmen-MI
71st Lancers
76'ers
76er's
76ers
7th Regiment
84th Bucktail Regiment
88.20
Abenakls
Abenski
Abénakis
Academe Musicale
Academie Cadets
Academie Musicale
Académie Musicale
Admirals
Adventuriers
Aiglons
Ainad
Ajax Sea Cadets
Alabama Charioteers
Alberta Girls
Albion Grenadiers
Albion Royalaires
Albuquerque Dukes
Alleghany Monarchs
Allegheny Grenadiers
Allegheny Night Storm
Allegiance Elite
Alliance
Alliance Musicale
Alpine Girls
Ambassadears
Ambassadeurs
Ambassadors
Ambassadors (ONT)
Ambassadors (PA)
Ambassadors-MA
Ambassadors-NY
Ambassadors-ONT
Ambassadors-PA
Ambassadors-WI
American Patrol
American Woodmen
Americanos
Amvet Brigadiers
Anaheim Kingsmen,ana,true
Andrew Johnson Presidents
Angels
Angels of Ohio
Annunciators
App Grenadiers
Appalachian Grenadiers
Appleknockers
Arbella
Arc En Ciel
Arc en Ceil
Arc en Ciel
Arc-en-Ceil
Arc-en-Ciel
Archer Epler Muskateers
Archer Epler Musketeers
Arcs-en-ciel
Argon Cadets
Argonauts
Argonne Rebels
Aristocrats
