Season,Date,Corps Name,Score
2023,2023-07-22,Bluecoats,90.950
2023,2023-07-29,Bluecoats,91.975
2023,2023-07-30,Bluecoats,92.950
2023,2023-08-02,Bluecoats,95.250
2023,2023-08-03,Bluecoats,94.700
2023,2023-08-04,Bluecoats,95.250
2023,2023-08-10,Bluecoats,96.688
2023,2023-08-11,Bluecoats,96.988
2023,2023-08-12,Bluecoats,97.738
2024,2024-07-02,Bluecoats,78.750
2024,2024-07-06,Bluecoats,81.900
2024,2024-07-07,Bluecoats,83.400
2024,2024-07-13,Bluecoats,87.050
2024,2024-07-14,Bluecoats,88.350
2024,2024-07-16,Bluecoats,89.150
2024,2024-07-18,Bluecoats,90.500
2024,2024-07-19,Bluecoats,92.100
2024,2024-07-20,Bluecoats,93.025
2024,2024-07-26,Bluecoats,94.450
2024,2024-07-27,Bluecoats,94.425
2024,2024-07-28,Bluecoats,94.700
2024,2024-07-30,Bluecoats,95.225
2024,2024-08-02,Bluecoats,95.900
